Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Kepada Kepada Pemasok, Karyawan Dan Beban Operasional Lainnya",Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Kas Operasional Lainnya,"Total Pembayaran Kepada Kepada Pemasok, Karyawan Dan Beban Operasional Lainnya",Pembayaran Pajak,Pembayaran Bunga,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Piutang Lain-Lain Pihak Berelasi,Pembayaran Uang Muka Proyek,Akuisisi Kepentingan Non Pengendali,Penerimaan (Penempatan) Bank Yang Dibatasi Penggunaannya,Penerimaan Dari Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal Dari Pelaksanaan Waran,Penerimaan Dari Utang Lain-Lain Pihak Berelasi,Pembayaran Untuk Utang Lain-Lain Pihak Berelasi,Penerimaan Pinjaman Bank,Pembayaran Utang Bank,Penerimaan Atas Pelepasan Saham Diperoleh Kembali,Setoran Modal,Penerimaan Penawaran Umum Saham Perdana,Pembayaran Pembiayaan Konsumen,Biaya Emisi Saham,Pembayaran Dividend,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-121164911676.000000,111736269080.000000,,-175693334421.000000,-14690195997.000000,,-190383530418.000000,-3628962567.000000,-41222951990.000000,2334264219.000000,-121164911676.000000,11542764127.000000,5710000000.000000,-1000000000.000000,-750000000.000000,7758700650.000000,,-175936523.000000,11542764127.000000,-118605169080.000000,,6885262920.000000,-989065333.000000,-108033850000.000000,-18133850000.000000,769333333.000000,897000000.000000,,,,,-118605169080.000000,-228227316629.000000,47504844396.000000,-180722472233.000000
12M 2021,-3440652651.000000,160537684383.000000,,-115476472087.000000,-14091989470.000000,,-129568461557.000000,-2581071950.000000,-32970312500.000000,1141508973.000000,-3440652651.000000,-120340607136.000000,,-93700000000.000000,,-3442468249.000000,,-23198138887.000000,-120340607136.000000,115441356410.000000,126675000.000000,13193407.000000,,,-32587975497.000000,,270000000.000000,151397000000.000000,,-3777536500.000000,,115441356410.000000,-8339903377.000000,35345227767.000000,27005324390.000000
12M 2022,42075243385.000000,134674026778.000000,,-30244586905.000000,-14223282136.000000,,-44467869041.000000,-6412506064.000000,-42097331082.000000,378922794.000000,42075243385.000000,-3153409832.000000,,-1290660000.000000,,-1362614586.000000,12958500.000000,-513093746.000000,-3153409832.000000,-59501846833.000000,3540000.000000,,,,-59482024503.000000,,,,-23362330.000000,,,-59501846833.000000,-20580013280.000000,27005324390.000000,6425311110.000000
12M 2023,48470043634.000000,137688718129.000000,,-41711201939.000000,-10821204851.000000,,-52532406790.000000,-4087508690.000000,-32956095048.000000,357336033.000000,48470043634.000000,-12748351053.000000,313720204.000000,-13064232399.000000,,42378883.000000,,-40217741.000000,-12748351053.000000,-36900977948.000000,11175.000000,,,,-36875505415.000000,,,,-25483708.000000,,,-36900977948.000000,-1179285367.000000,6317532003.000000,5138246636.000000
12M 2024,38755898071.000000,144084558244.000000,,-53657496964.000000,-12351918849.000000,,-66009415813.000000,-1584239134.000000,-38080277577.000000,345272351.000000,38755898071.000000,-32384590682.000000,,-32263323034.000000,,166314605.000000,,-287582253.000000,-32384590682.000000,-5443475825.000000,32355450.000000,,,,-5462889947.000000,,,,-12941328.000000,,,-5443475825.000000,927831564.000000,5138046636.000000,6065878200.000000
