Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,(121 B),(1 B),(122 B),-20.24
12M 2021,(3 B),(117 B),(120 B),-15.89
12M 2022,42 B,(2 B),40 B,5.32
12M 2023,48 B,(13 B),35 B,4.67
12M 2024,39 B,(33 B),6 B,0.82
