Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,201113764686.000000,-137313243773.000000,63800520913.000000,-35340579440.000000,-5369447872.000000,-29971131568.000000,-35340579440.000000,28459941473.000000,-4561074610.000000,2334264219.000000,,-5627571236.000000,-1267767593.000000,-4561074610.000000,23898866863.000000,-7410260.000000,23891456603.000000,,23891456603.000000,1149771399.000000,25041228002.000000,23891456603.000000,23810723029.000000,80733574.000000,23891456603.000000,25041228002.000000,24960494428.000000,80733574.000000,25041228002.000000
12M 2021,372941087252.000000,-289115102695.000000,83825984557.000000,-43916817710.000000,-13391682002.000000,-30525135708.000000,-43916817710.000000,39909166847.000000,-7304163928.000000,1141508973.000000,,-9095086565.000000,649413664.000000,-7304163928.000000,32605002919.000000,-5793700.000000,32599209219.000000,,32599209219.000000,539486691.000000,33138695910.000000,32599209219.000000,32617109328.000000,-17900109.000000,32599209219.000000,33138695910.000000,33156596019.000000,-17900109.000000,33138695910.000000
12M 2022,210537267933.000000,-170167775147.000000,40369492786.000000,-53484535396.000000,-16040575397.000000,-37443959999.000000,-53484535396.000000,-13115042610.000000,-4134553627.000000,378922794.000000,,-4772170446.000000,258694025.000000,-4134553627.000000,-17249596237.000000,-81491520.000000,-17331087757.000000,,-17331087757.000000,-991588891.000000,-18322676648.000000,-17331087757.000000,-17257739174.000000,-73348583.000000,-17331087757.000000,-18322676648.000000,-18249328065.000000,-73348583.000000,-18322676648.000000
12M 2023,95125448551.000000,-77017510609.000000,18107937942.000000,-36402637125.000000,-14672034429.000000,-21730602696.000000,-36402637125.000000,-18294699183.000000,-1146854384.000000,,,-1736930261.000000,590075877.000000,-1146854384.000000,-19441553567.000000,-791734331.000000,-20233287898.000000,,-20233287898.000000,321047414.000000,-19912240484.000000,-20233287898.000000,-20210191516.000000,-23096382.000000,-20233287898.000000,-19912240484.000000,-19889144102.000000,-23096382.000000,-19912240484.000000
12M 2024,87150570699.000000,-62127244471.000000,25023326228.000000,-82765937305.000000,-18577264425.000000,-64188672880.000000,-82765937305.000000,-57742611077.000000,-824835314.000000,345272351.000000,,-1463475376.000000,293367711.000000,-824835314.000000,-58567446391.000000,-120763758.000000,-58688210149.000000,,-58688210149.000000,985813991.000000,-57702396158.000000,-58688210149.000000,-58320112682.000000,-368097467.000000,-58688210149.000000,-57702396158.000000,-57334298691.000000,-368097467.000000,-57702396158.000000
