Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,35345227767.000000,35847578220.000000,,35847578220.000000,35847578220.000000,154528590.000000,,154528590.000000,154528590.000000,748525286789.000000,46960118289.000000,866832739655.000000,,7201656893.000000,100866595841.000000,108068252734.000000,974900992389.000000,,,476104905285.000000,,,27051752048.000000,27051752048.000000,,111552658.000000,1297320530.000000,1408873188.000000,,1312068641.000000,,110000000000.000000,21418104.000000,110021418104.000000,336310793304.000000,476104905285.000000,324349474713.000000,,321500000000.000000,51071306.000000,321551071306.000000,,,,,2798403407.000000,324349474713.000000,800454379998.000000,,151127000000.000000,,21862249803.000000,,21862249803.000000,21862249803.000000,1396594558.000000,60768031.000000,174446612392.000000,974900992390.000000,6045080000.000000
12M 2021,,,27005324390.000000,56834268796.000000,,56834268796.000000,56834268796.000000,864198106.000000,,864198106.000000,864198106.000000,559479431126.000000,42598412620.000000,686781635038.000000,,28804833945.000000,197092980974.000000,225897814919.000000,912679449957.000000,,,305474234246.000000,,,8359248227.000000,8359248227.000000,,98359251.000000,689970199.000000,788329450.000000,,1413271839.000000,,150912024503.000000,23362330.000000,150935386833.000000,143977997897.000000,305474234246.000000,251603768910.000000,,248000000000.000000,27708976.000000,248027708976.000000,,,,,3576059934.000000,251603768910.000000,557078003156.000000,,189271585000.000000,109871553500.000000,54479359131.000000,,54479359131.000000,54479359131.000000,1378694448.000000,600254722.000000,355601446801.000000,912679449957.000000,7570863400.000000
12M 2022,,,6317532003.000000,67513228275.000000,,67513228275.000000,67513228275.000000,112479107.000000,107779107.000000,4700000.000000,112479107.000000,466775996936.000000,36787347916.000000,577506584237.000000,,27204009124.000000,199756255560.000000,226960264684.000000,804466848921.000000,,,221816481140.000000,,,44797874163.000000,44797874163.000000,,205941097.000000,,205941097.000000,,1077481957.000000,,97730000000.000000,25483666.000000,97755483666.000000,77979700257.000000,221816481140.000000,245368057627.000000,,241700000000.000000,2225310.000000,241702225310.000000,,,,,3665832317.000000,245368057627.000000,467184538767.000000,,189272293000.000000,109874385500.000000,37221619957.000000,,37221619957.000000,37221619957.000000,1305345865.000000,-391334169.000000,337282310153.000000,804466848920.000000,7570891720.000000
12M 2023,,,5138046636.000000,33607973618.000000,,33607973618.000000,33607973618.000000,20301553.000000,,20301553.000000,20301553.000000,476634465876.000000,26876894275.000000,542277681958.000000,,25363995047.000000,212765788162.000000,238129783209.000000,780407465167.000000,,,220364482391.000000,,,67174022468.000000,67174022468.000000,,,,,,2678245803.000000,,63884594585.000000,2225268.000000,63886819853.000000,86625394267.000000,220364482391.000000,242672901933.000000,,238669700000.000000,,238669700000.000000,,,,,4003201933.000000,242672901933.000000,463037384324.000000,,189272303925.000000,109874385750.000000,17011428440.000000,,17011428440.000000,17011428440.000000,1282249483.000000,-70286755.000000,317370080843.000000,780407465167.000000,7570892157.000000
12M 2024,,,6065878200.000000,30116912908.000000,,30116912908.000000,30116912908.000000,2112159356.000000,,2112159356.000000,2112159356.000000,435555738828.000000,27133619881.000000,500984309173.000000,,24313138164.000000,244866416591.000000,269179554755.000000,770163863928.000000,,,280295649841.000000,,,62648398568.000000,62648398568.000000,,,,,,6462367128.000000,,70941868638.000000,171074402.000000,71112943040.000000,140071941105.000000,280295649841.000000,230168173952.000000,,226149536000.000000,267340111.000000,226416876111.000000,,,,,3751297841.000000,230168173952.000000,510463823793.000000,,189277696500.000000,109901348625.000000,-41308684242.000000,,-41308684242.000000,-41308684242.000000,914152016.000000,915527236.000000,259700040135.000000,770163863928.000000,7571107860.000000
