Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Piutang Pihak Berelasi,Goodwill,Deposito Berjangka,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lain-Lain,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lain-Lain,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Others,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2022,,,1188707439.000000,13660752738.000000,13660752738.000000,,13660752738.000000,7551295555.000000,7347400.000000,7543948155.000000,7551295555.000000,,648448665.000000,23049204397.000000,,,,,,50834683.000000,11326335823.000000,,814332570.000000,12191503076.000000,35240707473.000000,,,21666875303.000000,9500000000.000000,,5588843050.000000,,5588843050.000000,,,,,,4974573389.000000,,666666660.000000,,936792204.000000,1603458864.000000,,21666875303.000000,3868994674.000000,,2500000013.000000,,2500000013.000000,,,1368994661.000000,3868994674.000000,25535869977.000000,,6250000000.000000,155000000.000000,3292631549.000000,,3292631549.000000,3292631549.000000,,7205947.000000,9704837496.000000,,35240707473.000000,62500.000000
12M 2023,,,277494718.000000,55814571598.000000,55814571598.000000,,55814571598.000000,32041634.000000,32041634.000000,,32041634.000000,,10180525295.000000,66304633245.000000,,,,,,114565284.000000,14589333590.000000,,162866514.000000,14866765388.000000,81171398633.000000,,,26207225473.000000,5000000000.000000,,18595656875.000000,,18595656875.000000,,,,,313041382.000000,2298527216.000000,,,,,,,26207225473.000000,466437031.000000,,,,,,,466437031.000000,466437031.000000,26673662504.000000,,27500000000.000000,20051487330.000000,6972561721.000000,,6972561721.000000,6972561721.000000,,-26312922.000000,54497736129.000000,,81171398633.000000,1100000000.000000
12M 2024,,,678396930.000000,48002354529.000000,28190075232.000000,19812279297.000000,48002354529.000000,33029166.000000,33029166.000000,,33029166.000000,,12421207934.000000,61134988559.000000,,,,,,298211685.000000,13004580193.000000,,4030000000.000000,17332791878.000000,78467780437.000000,,,19776661708.000000,8989346907.000000,,8577569072.000000,,8577569072.000000,,,,,,1733746481.000000,,,,475999248.000000,475999248.000000,,19776661708.000000,1514823446.000000,,,,,,,1514823446.000000,1514823446.000000,21291485154.000000,,27500282225.000000,20053462905.000000,9648065853.000000,1753628292.000000,7894437561.000000,9648065853.000000,,-25515700.000000,57176295283.000000,,78467780437.000000,1100011289.000000
