Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2022,1.06,1.06,1.31,3.63,0.0,0.0,1.18,0.36,2.63
12M 2023,2.53,2.53,0.09,1.49,0.0,0.0,0.09,0.06,0.49
12M 2024,3.09,3.09,0.16,1.37,0.0,0.0,0.15,0.11,0.37
