Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,,,0.00,0.00,,0.00%,0.00%,0.00%,2.29
12M 2022,0.00 B,30820.83,0.00,0.00,,5.47%,19.85%,70.23%,2.08
12M 2023,1.10 B,1.59,38.99,0.83,,2.16%,3.22%,9.60%,4.08
12M 2024,1.10 B,2.43,16.87,0.52,,3.41%,4.68%,8.10%,3.84
