Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,46791237029.000000,-36605346942.000000,10185890087.000000,-6351372523.000000,,-6243867782.000000,-107504741.000000,-6351372523.000000,3834517564.000000,-1672702576.000000,-1677113730.000000,4411154.000000,,,,,-1672702576.000000,2161814988.000000,-507176213.000000,-525318100.000000,18141887.000000,-507176213.000000,1654638775.000000,13219805.000000,,1667858580.000000,1654638775.000000,1654638775.000000,,1654638775.000000,1667858580.000000,1667858580.000000,,1667858580.000000
12M 2022,71431135616.000000,-60754273700.000000,10676861916.000000,-5910239213.000000,,-6030668439.000000,120429226.000000,-5910239213.000000,4766622703.000000,-2276539721.000000,-2287170052.000000,10630331.000000,,,,,-2276539721.000000,2490082982.000000,-563781102.000000,-572999100.000000,9217998.000000,-563781102.000000,1926301880.000000,1248268.000000,,1927550148.000000,1926301880.000000,1926301880.000000,,1926301880.000000,1927550148.000000,1927550148.000000,,1927550148.000000
12M 2023,82557863238.000000,-69711382580.000000,12846480658.000000,-9556105041.000000,,-9585337104.000000,29232063.000000,-9556105041.000000,3290375617.000000,-796486286.000000,-805541212.000000,9054926.000000,,,,,-796486286.000000,2493889331.000000,-740261039.000000,-785022797.000000,44761758.000000,-740261039.000000,1753628292.000000,-34767137.000000,,1718861155.000000,1753628292.000000,1753628292.000000,,1753628292.000000,1718861155.000000,1718861155.000000,,1718861155.000000
12M 2024,86386331661.000000,-70954995320.000000,15431336341.000000,-10826959321.000000,,-11554629464.000000,727670143.000000,-10826959321.000000,4604377020.000000,-1181178705.000000,-1198948080.000000,17769375.000000,,,,,-1181178705.000000,3423198315.000000,-747694182.000000,-931565440.000000,183871258.000000,-747694182.000000,2675504133.000000,797222.000000,,2676301355.000000,2675504133.000000,2675504133.000000,,2675504133.000000,2676301355.000000,2676301355.000000,,2676301355.000000
