Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Untuk Beban Usaha,Hasil Penjualan Kendaraan Bekas,Pembelian Aset Tetap - Kendaraan Sewa,Pembelian Persediaan Kendaraan Bekas,Penerimaan Dari:,Penghasilan Bunga,Kupon Obligasi,Pengembalian Pajak,Total Penerimaan Dari:,Pembayaran Beban Bunga,Pembayaran Pajak,Peneriman (Pembayaran) Lainnya,Pembayaran Imbalan Karyawan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Uang Jaminan,Kenaikan Piutang Pihak Berelasi,Penurunan Piutang Pihak Berelasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penempatan Deposito Berjangka,Penerimaan Dividen,Pembayaran Pembelian Saham Kepentingan Non-Pengendali Entitas Anak,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Penempatan Aset Keuangan Tersedia Untuk Dijual,Pencairan (Penempatan) Uang Jaminan,Pembayaran Investasi,Kas Entitas Anak Yang Didekonsolidasi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Penerbitan Saham Baru,Hasil Dari Pelaksanaan Opsi Saham,Penambahan Pinjaman Jangka Panjang,Penambahan Pinjaman Jangka Pendek,Penerimaan Utang Promes,Pembayaran Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Pendek,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Beban Keuangan,Penerimaan Dari Penerbitan Obligasi,Penambahan Setoran Modal,Pembayaran Liabilitas Sewa,Penerimaan Uang Muka Setoran Modal,Penerimaan Setoran Modal Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,5508370649.000000,52768091738.000000,-40623351408.000000,-2838109062.000000,-1781126463.000000,,,,,,,,,-1572584317.000000,-444549839.000000,,,5508370649.000000,-5256805101.000000,,-17596702673.000000,14086714725.000000,160000000.000000,-1906817153.000000,,,,,,,,,,,-5256805101.000000,704292628.000000,,-177169462.000000,,,,16436300000.000000,,-666666660.000000,-12636300000.000000,-1851871250.000000,,,,-400000000.000000,,,704292628.000000,,,955858176.000000,-2967150737.000000,-2011292561.000000
12M 2022,-1852673806.000000,71741194039.000000,-65026030722.000000,-3495605844.000000,-2299202632.000000,,,,,,,,,-2220113707.000000,-552914940.000000,,,-1852673806.000000,-3460446561.000000,-4750000000.000000,-11421051654.000000,12865635093.000000,,-155030000.000000,,,,,,,,,,,-3460446561.000000,5160532798.000000,1348000000.000000,-1348000000.000000,,,,24076850000.000000,,-666666660.000000,-25824362292.000000,-775288250.000000,,,8750000000.000000,-400000000.000000,,,5160532798.000000,,,-152587569.000000,-2011292561.000000,-2163880130.000000
12M 2023,-28793239493.000000,38558148043.000000,-52015583967.000000,-4570370761.000000,-7605250500.000000,,,,,,,,,-628701326.000000,-2531480982.000000,,,-28793239493.000000,1857102951.000000,,,6099364716.000000,,-4242261765.000000,,,,,,,,,,,1857102951.000000,26177511390.000000,,,,,,,,-2500000012.000000,-2752487708.000000,-591318980.000000,,,32396487330.000000,-375169240.000000,,,26177511390.000000,,,-758625152.000000,1036119870.000000,277494718.000000
12M 2024,-5618765157.000000,98557015564.000000,-81570849811.000000,-4792513235.000000,-15991310998.000000,,,,,,,,,-1107807260.000000,-713299417.000000,,,-5618765157.000000,559142234.000000,,,-100000000.000000,210000000.000000,-310857766.000000,,-4000000000.000000,,,,,4760000000.000000,,,,559142234.000000,5460525135.000000,,,,,,3989346907.000000,,,,1468920428.000000,,,2257800.000000,,,,5460525135.000000,,,400902212.000000,277494718.000000,678396930.000000
