Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Retensi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Bank,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,2915016121.000000,5355658649.000000,5355658649.000000,5355658649.000000,1332588209.000000,1332588209.000000,1332588209.000000,9847350700.000000,5530847008.000000,2379660011.000000,27361120698.000000,,4188217454.000000,39666667.000000,195566670.000000,3518384829.000000,3518384829.000000,3518384829.000000,6348795755.000000,14290631375.000000,41651752073.000000,,,18020244863.000000,,,100000000.000000,195013603.000000,,,17725231260.000000,18020244863.000000,4346754480.000000,387200153.000000,,2913256633.000000,2913256633.000000,3959554327.000000,4346754480.000000,22366999343.000000,,2500000000.000000,-2367254277.000000,12419272608.000000,,12419272608.000000,12419272608.000000,1178546918.000000,4227947243.000000,17958512492.000000,40325511835.000000,2500.000000
12M 2021,,,47593384445.000000,1004965367.000000,1004965367.000000,1004965367.000000,5561276824.000000,5561276824.000000,5561276824.000000,,3682313538.000000,8845276279.000000,66687216453.000000,,10642349238.000000,33716667.000000,145190968.000000,9730133928.000000,9730133928.000000,9730133928.000000,5700162585.000000,26251553386.000000,92938769839.000000,,,34941512681.000000,,,3437548896.000000,212331461.000000,128294400.000000,17025987222.000000,14137350702.000000,34941512681.000000,1065631438.000000,174868692.000000,170829640.000000,135944376.000000,135944376.000000,719933106.000000,1065631438.000000,36007144119.000000,,7000000000.000000,-2324429894.000000,28114556135.000000,,28114556135.000000,28114556135.000000,4787764503.000000,15714235123.000000,53292125867.000000,89299269986.000000,7000.000000
12M 2022,,,26422484979.000000,7080485099.000000,7080485099.000000,7080485099.000000,4380041447.000000,4380041447.000000,4380041447.000000,,7279171947.000000,18059040782.000000,63221224254.000000,,23075979077.000000,27766667.000000,280591433.000000,6511533141.000000,6511533141.000000,6511533141.000000,519427262.000000,30415297580.000000,93636521834.000000,,,21718345216.000000,,,5210013677.000000,173543250.000000,128294400.000000,16048903889.000000,157590000.000000,21718345216.000000,1480343865.000000,,42764800.000000,1500000.000000,1500000.000000,1437579065.000000,1480343865.000000,23198689081.000000,,52500000000.000000,827482342.000000,16147557902.000000,,16147557902.000000,16147557902.000000,175081818.000000,104447936.000000,69754569998.000000,92953259079.000000,52500.000000
12M 2023,,,9191124442.000000,30614415415.000000,30614415415.000000,30614415415.000000,4374271291.000000,4374271291.000000,4374271291.000000,,11809133283.000000,11365497365.000000,67354441796.000000,,30331792609.000000,21816667.000000,447309528.000000,7131015097.000000,7131015097.000000,7131015097.000000,2235541716.000000,40167475617.000000,107521917413.000000,,,19484064968.000000,,,10807458010.000000,42764800.000000,,8449964947.000000,183877211.000000,19484064968.000000,2053102553.000000,,,,,2574512129.000000,2053102553.000000,21537167521.000000,,52500000000.000000,827482342.000000,22116477084.000000,150000000.000000,21966477084.000000,22116477084.000000,175524088.000000,83960955.000000,75703444469.000000,97240611990.000000,52500.000000
12M 2024,,,25290899262.000000,52902407347.000000,52902407347.000000,52902407347.000000,19920758583.000000,19920758583.000000,19920758583.000000,,11633284725.000000,11929681583.000000,121677031500.000000,,49779105014.000000,15866667.000000,989544762.000000,9010681488.000000,9010681488.000000,9010681488.000000,3046682017.000000,62841879948.000000,184518911448.000000,,,24998388158.000000,,,719363500.000000,1009858358.000000,,21920386958.000000,1348779342.000000,24998388158.000000,4462591002.000000,1761879610.000000,,,,3075405966.000000,4462591002.000000,29460979160.000000,,65625000000.000000,55125512396.000000,28814141929.000000,350000000.000000,28464141929.000000,28814141929.000000,180907863.000000,46194888.000000,149791757076.000000,179252736236.000000,52500.000000
