Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Lain-Lain,Pembayaran Pajak,Penerimaan Tagihan Pengembalian Pajak,Penerimaan Bunga,Pembayaran Bunga,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Hak Guna Usaha,Akuisisi Dan Penambahan Kepemilikan Saham Di Entitas Anak,Hasil Penjualan Aset Tetap,Pelepasan Entitas Anak Ehdi,Delisting Atas Agio Saham Entitas Anak Ape,Uang Muka Investasi,Investasi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Penerimaan Setoran Modal Masyarakat,Pembayaran Pinjaman Bank,Pencairan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Pembagian Dividen,Penerimaan Agio Saham,Setoran Modal Saham,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,12140891981.000000,73218340292.000000,-52457277456.000000,-9039873354.000000,,,419702499.000000,,,12140891981.000000,-7463817262.000000,-4339973635.000000,-760210838.000000,,,-2363632789.000000,,,,-7463817262.000000,-18000000000.000000,,,-18000000000.000000,,,,,,,,,-18000000000.000000,,-13322925281.000000,,16237941402.000000,2915016121.000000
12M 2021,29919456536.000000,98346778208.000000,-63219952450.000000,-5357922888.000000,,,150553666.000000,,,29919456536.000000,-7040441812.000000,-7171122641.000000,,,130680829.000000,,,,,-7040441812.000000,21799353600.000000,17000000000.000000,,,,,384883200.000000,-85529600.000000,,,,4500000000.000000,21799353600.000000,,44678368324.000000,,2915016121.000000,47593384445.000000
12M 2022,19142650651.000000,89133533835.000000,-55617398131.000000,-14503344060.000000,,,129859007.000000,,,19142650651.000000,-48710856315.000000,-13678785211.000000,,-34970516500.000000,124000000.000000,,-183762968.000000,,-1791636.000000,-48710856315.000000,8397306198.000000,16000000000.000000,,-17000000000.000000,,,,-128294400.000000,,-3674399402.000000,,13200000000.000000,8397306198.000000,,-21170899466.000000,,47593384445.000000,26422484979.000000
12M 2023,-260922075.000000,59090457752.000000,-59904040891.000000,316663097.000000,,,275476497.000000,-39478530.000000,,-260922075.000000,-9282683650.000000,-9340050317.000000,,,57366667.000000,,,,,-9282683650.000000,-7687754812.000000,,,,16879203022.000000,-24438663434.000000,,-128294400.000000,,,,,-7687754812.000000,,-17231360537.000000,,26422484979.000000,9191124442.000000
12M 2024,-46834686196.000000,95607562318.000000,-139423362492.000000,-416166357.000000,-2959019824.000000,128052642.000000,530630834.000000,-302383317.000000,,-46834686196.000000,-16613936755.000000,-16213936755.000000,,,,,,-400000000.000000,,-16613936755.000000,79548397772.000000,,13125000000.000000,,38435694327.000000,-24662888999.000000,,-1391876832.000000,-255560778.000000,,54298030054.000000,,79548397772.000000,,16099774821.000000,,9191124442.000000,25290899263.000000
