Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,12 B,(5 B),7 B,2816283.00
12M 2021,30 B,(7 B),23 B,3249761.98
12M 2022,19 B,(14 B),5 B,104073.63
12M 2023,(0 B),(9 B),(10 B),-182875.66
12M 2024,(47 B),(16 B),(63 B),-1200926.15
