Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Jasa,Penerimaan Dari Nasabah (Pembayaran Kepada):,Pihak Berelasi,Pihak Ketiga,Total Penerimaan Dari Nasabah (Pembayaran Kepada):,Penjualan Portofolio Efek/Aset Keuangan,Pihak Ketiga,Pihak Berelasi,Total Penjualan Portofolio Efek/Aset Keuangan,Penerimaan Dari Perdagangan Portofolio Efek - Pihak Ketiga,Penerimaan Dari Bunga,(Penambahan) Penarikan Deposito Pada Lembaga Kliring Dan Penjaminan,Pembayaran Pajak Penghasilan,Penerimaan Bunga - Margin,Pembayaran Bunga,Pembayaran Bunga Obligasi,Penerimaan Dividen Dan Bunga Lainnya,"Pembayaran Kepada Karyawan, Tenaga Ahli Dan Beban Operasional Lainnya",Beban Operasional Lainnya,Pembelian Portofolio Efek/Aset Keuangan,Pihak Ketiga,Pihak Berelasi,Total Pembelian Portofolio Efek/Aset Keuangan,(Pembelian) Penjualan Reverse Repo/Efek Yang Dibeli Dengan Janji Dijual Kembali,Penerimaan (Pembayaran) Kepada Lembaga Kliring Dan Penjaminan,Pembayaran Piutang Manajemen Investasi,Pembayaran (Pembelian) Kepada Lembaga Kliring Dan Penjaminan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Lain - Lain,Penerimaan Dari Jasa Penjamin Emisi,Pembayaran Bunga Kepada Nasabah,Penerimaan Dari Komisi Perantara Perdagangan Efek,Pembayaran Kepada Dari Nasabah - Pihak Ketiga,Pembayaran Kepada Dari Nasabah - Pihak Berelasi,Pembayaran Kepada Rekening Nasabah,Penerimaan (Pembayaran) Kepada Rekening Nasabah - Pihak Ketiga,Pembayaran Pendapatan Diterima Dimuka,Pembelian Dari Beli Efek Dengan Janji Dijual Kembali,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Pelepasan Kepentingan Terhadap Entitas Anak,Pengembalian Modal Disetor Kepada Kepentingan Non Pengendali,(Pengurangan) Penambahan Aset Lain-Lain,Penambahan Aset Lain-Lain,Penerimaan Dari Pencairan Aset Lain-Lain,Total (Pengurangan) Penambahan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Kas,Penerimaan (Pembayaran) Utang Bank,Pembayaran Utang Bank,Penerimaan Utang Bank,Pembayaran Dividen Kas - Entitas Anak,Saham Treasury,Pembayaran Utang Obligasi,Penerimaan Setoran Modal Dari Pihak Non-Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,439090106147.000000,22355028607.000000,,48495215179.000000,57764388215.000000,106259603394.000000,,9026733530.000000,113383147481.000000,122409881011.000000,1283726920.000000,8711720440.000000,-734961681.000000,-19921669483.000000,121326887250.000000,-2717283522.000000,-33712500001.000000,,-6300251857.000000,-39218572660.000000,,-68457909890.000000,-60944053081.000000,-129401962971.000000,176145562604.000000,92088496000.000000,,-112285836500.000000,,,,152659193.000000,-51696869333.000000,27132303335.000000,,,,157214145401.000000,,,439090106147.000000,-2307422816.000000,50000000.000000,-1998089465.000000,,,-359333351.000000,,,-359333351.000000,-2307422816.000000,-141000000000.000000,-18000000000.000000,,-23000000000.000000,,,,-100000000000.000000,,-141000000000.000000,295782683331.000000,17854149872.000000,313636833203.000000
12M 2009,-50475993000.000000,25356310020.000000,,4191751660.000000,-112110497794.000000,-107918746134.000000,,55999501946.000000,7906050263.000000,63905552209.000000,117159511322.000000,32141893494.000000,-40307445506.000000,-9894335320.000000,36793458127.000000,,-23500000000.000000,,-7430906520.000000,-40723920621.000000,,-38993286141.000000,-154252405514.000000,-193245691655.000000,41744523371.000000,15975823000.000000,,-51578925500.000000,,,,411691799.000000,-23065016467.000000,38921780396.000000,,,,74778450985.000000,,,-50475993000.000000,-2860330537.000000,163200000.000000,-3083418722.000000,,,59888185.000000,,,59888185.000000,-2860330537.000000,-18000000000.000000,-18000000000.000000,,,,,,,,-18000000000.000000,-71336323537.000000,313636833203.000000,242300509666.000000
12M 2010,-85260320109.000000,57415715401.000000,,-102463597210.000000,-99817014303.000000,-202280611513.000000,,27102826791.000000,119298934205.000000,146401760996.000000,168839178272.000000,18239881190.000000,-10218358547.000000,-4138233309.000000,67811432097.000000,-105888890.000000,-23500000000.000000,,-40094922215.000000,-28713054934.000000,,-25563647543.000000,-276210460628.000000,-301774108171.000000,-20889635182.000000,138839520000.000000,,-25826650000.000000,,,-167582584.000000,986511930.000000,-15205146969.000000,45371282744.000000,,,,-56251410425.000000,,,-85260320109.000000,-2498543241.000000,17980000.000000,-2487230883.000000,,,-29292358.000000,,,-29292358.000000,-2498543241.000000,-36000000000.000000,-36000000000.000000,,,,,,,,-36000000000.000000,-123758863350.000000,242300509666.000000,118541646316.000000
12M 2011,-20383472933.000000,180038474494.000000,,43333974101.000000,53221794816.000000,96555768917.000000,,70971204736.000000,110246898769.000000,181218103505.000000,72304836978.000000,86505633134.000000,22769094606.000000,-15010425865.000000,,-38454815158.000000,,,-76282543905.000000,,,-72840968061.000000,-256129469093.000000,-328970437154.000000,-203300871485.000000,-17756291000.000000,,,20000000000.000000,,,,,,,,,,,,-20383472933.000000,-5347537460.000000,947800000.000000,-5655843622.000000,,,-639493838.000000,,,-639493838.000000,-5347537460.000000,-54850000000.000000,-57600000000.000000,,,,,,,2750000000.000000,-54850000000.000000,-80581010393.000000,118541646316.000000,37960635923.000000
12M 2012,92388001071.000000,282811580324.000000,,253863973590.000000,-448061395236.000000,-194197421646.000000,,26444843334.000000,201428849770.000000,227873693104.000000,61338549785.000000,88822739090.000000,26806469323.000000,-41759021329.000000,,-23904756684.000000,,,-118267891051.000000,,,-8541112452.000000,-229908874697.000000,-238449987149.000000,211506752804.000000,-190192705500.000000,,,,,,,,,,,,,,,92388001071.000000,-4448191269.000000,9500000.000000,-3905458246.000000,,,-552233023.000000,,,-552233023.000000,-4448191269.000000,-115717658200.000000,-72000000000.000000,,-20000000000.000000,176000000000.000000,,,-199717658200.000000,,-115717658200.000000,-27777848398.000000,37960635923.000000,10182787525.000000
12M 2013,202258125440.000000,356463816353.000000,,-200541024517.000000,147801174582.000000,-52739849935.000000,,9941217779.000000,38084926438.000000,48026144217.000000,12459728243.000000,89310126014.000000,-4693048629.000000,-63166504038.000000,,-11245619180.000000,,,-180247630594.000000,,,-14239288552.000000,-114323154249.000000,-128562442801.000000,18442980790.000000,118210425000.000000,,,,,,,,,,,,,,,202258125440.000000,-30439842085.000000,605209091.000000,-29684688394.000000,,,-1360362782.000000,,,-1360362782.000000,-30439842085.000000,-167128091051.000000,-119328091051.000000,,-176000000000.000000,128200000000.000000,,,,,-167128091051.000000,4690192304.000000,10182787525.000000,14872979829.000000
12M 2014,153124219907.000000,397368780548.000000,,-33681756267.000000,109215968261.000000,75534211994.000000,,13551686583.000000,30300773177.000000,43852459760.000000,24510711681.000000,87046152952.000000,-7863840.000000,-64226777024.000000,,-14739444402.000000,,,-197644735725.000000,,,-18802378324.000000,-135015010000.000000,-153817388324.000000,-40939939413.000000,-3811948300.000000,,,,,,,,,,,,,,,153124219907.000000,-2212433960.000000,373631148.000000,-2427830379.000000,,,-158234729.000000,,,-158234729.000000,-2212433960.000000,-144307868662.000000,-85107868662.000000,69000000000.000000,-128200000000.000000,,,,,,-144307868662.000000,6603917285.000000,14872979829.000000,21476897114.000000
12M 2015,259135048615.000000,377920871177.000000,,54336076958.000000,-47547337518.000000,6788739440.000000,,71736498825.000000,23587680167.000000,95324178992.000000,11606253162.000000,68615511625.000000,3490677077.000000,-56003736347.000000,,-9848302878.000000,,,-213501039057.000000,,,-77264512969.000000,-25855865000.000000,-103120377969.000000,80670891893.000000,-2808618500.000000,,,,,,,,,,,,,,,259135048615.000000,-2869250490.000000,86322727.000000,-3075823517.000000,,,,-227049700.000000,347300000.000000,120250300.000000,-2869250490.000000,-273809806814.000000,-307400000000.000000,121000000000.000000,-69000000000.000000,,,-18409806814.000000,,,-273809806814.000000,-17544008689.000000,21476897114.000000,3932888425.000000
12M 2016,-29172837607.000000,364388388849.000000,,37227716974.000000,-267430206127.000000,-230202489153.000000,,663286187434.000000,7072056218.000000,670358243652.000000,7842590082.000000,99268335829.000000,-6605690536.000000,-41850825835.000000,,-30492361741.000000,,,-201375880806.000000,,,-669374105218.000000,-2337051892.000000,-671711157110.000000,-56798021838.000000,68006031000.000000,,,,,,,,,,,,,,,-29172837607.000000,-1574381118.000000,91954545.000000,-1213335368.000000,,,,-455165845.000000,2165550.000000,-453000295.000000,-1574381118.000000,42033528000.000000,-68966472000.000000,232000000000.000000,-121000000000.000000,,,,,,42033528000.000000,11286309275.000000,3932888425.000000,15219197700.000000
12M 2017,-109802668326.000000,306942830991.000000,,-23904821620.000000,240929821221.000000,217024999601.000000,,680276804588.000000,27037541725.000000,707314346313.000000,6191204850.000000,91581459909.000000,-1460093345.000000,-41545320732.000000,,-22008819364.000000,,,-212469912065.000000,,,-685382421848.000000,-7936195995.000000,-693318617843.000000,-313242056541.000000,-154812690100.000000,,,,,,,,,,,,,,,-109802668326.000000,-2146531230.000000,874254545.000000,-2815636775.000000,,,,-235699000.000000,30550000.000000,-205149000.000000,-2146531230.000000,119175438000.000000,480500000000.000000,-129324562000.000000,-232000000000.000000,,,,,,119175438000.000000,7226238444.000000,15219197700.000000,22445436144.000000
