Period,Aset,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Deposito Pada Lembaga Kliring Dan Penjaminan,Piutang Pada Lembaga Kliring Dan Penjaminan,Piutang Nasabah,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Nasabah,Portofolio Efek,Pihak Berelasi,Pihak Ketiga,Total Portofolio Efek,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Obligasi,Utang Bank,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Nasabah,Pihak Berelasi,Pihak Ketiga,Total Utang Nasabah,Beban Akrual,Utang Pajak,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,66930854410.000000,246705978793.000000,313636833203.000000,3692750105.000000,20330287500.000000,,4140219122.000000,111554073414.000000,,115694292536.000000,,120639164657.000000,60153655185.000000,180792819842.000000,,201575841.000000,88308557.000000,289884398.000000,3203325833.000000,2479842566.000000,293443660552.000000,933563696535.000000,,,198062610600.000000,,28064142000.000000,351895621203.000000,396668.000000,351895224535.000000,351895621203.000000,4952920002.000000,5812862445.000000,,167582581.000000,39986547182.000000,628942286013.000000,,90000000000.000000,4585630888.000000,209087714328.000000,5029684302.000000,204058030026.000000,209087714328.000000,,948065306.000000,,304621410522.000000,933563696535.000000,720000000.000000
12M 2009,,,50693904261.000000,191606605405.000000,242300509666.000000,44000195611.000000,71909213000.000000,,1740000.000000,126743563251.000000,,126745303251.000000,,266876619908.000000,43256339380.000000,310132959288.000000,,25926111.000000,68477843.000000,94403954.000000,4163098884.000000,743498482.000000,230760675503.000000,1030849857639.000000,,,198629651400.000000,,44039965000.000000,255027885784.000000,53669206.000000,254974216578.000000,255027885784.000000,7839979555.000000,2369426295.000000,,167582581.000000,85934588281.000000,594009078896.000000,,90000000000.000000,4585630888.000000,340454468245.000000,5129684302.000000,335324783943.000000,340454468245.000000,,1800679610.000000,,436840778743.000000,1030849857639.000000,720000000.000000
12M 2010,,,68800037540.000000,49741608776.000000,118541646316.000000,54218554158.000000,97735863000.000000,,104024140001.000000,304615690413.000000,,408639830414.000000,,445700786331.000000,19804520132.000000,465505306463.000000,,25864007.000000,71459419.000000,97323426.000000,4142763537.000000,4734115483.000000,257710105063.000000,1411325507860.000000,,,199151887980.000000,,182879485000.000000,334641801434.000000,1612471997.000000,333029329437.000000,334641801434.000000,5254813317.000000,12291704786.000000,,,40606152064.000000,774825844581.000000,,90000000000.000000,4585630888.000000,538919370553.000000,5329684302.000000,533589686251.000000,538919370553.000000,,2994661838.000000,,636499663279.000000,1411325507860.000000,720000000.000000
12M 2011,,,19431805527.000000,18528830396.000000,37960635923.000000,31449459552.000000,57621099500.000000,,67799271404.000000,285625386929.000000,,353424658333.000000,,594290616656.000000,18967023457.000000,613257640113.000000,,1422444.000000,258474856.000000,259897300.000000,6896187390.000000,2477158859.000000,459180168826.000000,1562526905796.000000,,,199717658200.000000,20000000000.000000,125008430500.000000,377665442929.000000,8721577501.000000,368943865428.000000,377665442929.000000,4649117615.000000,23696486021.000000,,,27033734695.000000,777770869960.000000,,90000000000.000000,4585630888.000000,682413249033.000000,5529684302.000000,676883564731.000000,682413249033.000000,,7757155915.000000,,784756035836.000000,1562526905796.000000,720000000.000000
12M 2012,,,,10182787525.000000,10182787525.000000,4642990229.000000,280975263000.000000,,4440726747.000000,553692298650.000000,,558133025397.000000,,623833934158.000000,,623833934158.000000,,,688605498.000000,688605498.000000,7217034468.000000,1596450420.000000,174597571334.000000,1661867662029.000000,,,,176000000000.000000,158169888500.000000,332681705250.000000,199227006434.000000,133454698816.000000,332681705250.000000,7158732511.000000,30022157048.000000,,,5238733126.000000,709271216435.000000,,90000000000.000000,4585630888.000000,841300308234.000000,5729684302.000000,835570623932.000000,841300308234.000000,,16710506472.000000,,952596445594.000000,1661867662029.000000,720000000.000000
12M 2013,,,,14872979829.000000,14872979829.000000,9336038858.000000,56199956000.000000,,7826544518.000000,398529446009.000000,,406355990527.000000,,681941702937.000000,,681941702937.000000,,,1258164292.000000,1258164292.000000,32154278422.000000,1887488125.000000,166075123859.000000,1370081722849.000000,,,,128200000000.000000,51605006500.000000,128164820445.000000,2071799688.000000,126093020757.000000,128164820445.000000,4058221360.000000,21297797354.000000,,,6229410516.000000,339555256175.000000,,90000000000.000000,4585630888.000000,913493705035.000000,5929684302.000000,907564020733.000000,913493705035.000000,,22447130751.000000,,1030526466674.000000,1370081722849.000000,720000000.000000
12M 2014,,,,21476897114.000000,21476897114.000000,9343902698.000000,188113682200.000000,,39438466771.000000,399468370822.000000,,438906837593.000000,,926023039556.000000,,926023039556.000000,,,666503340.000000,666503340.000000,28545870487.000000,2314901310.000000,210109774230.000000,1825501408528.000000,,,,69000000000.000000,179706784400.000000,236249879505.000000,1965674.000000,236247913831.000000,236249879505.000000,6188667293.000000,14192678480.000000,,,7719010672.000000,513057020350.000000,,90000000000.000000,4585630888.000000,1188172518802.000000,6129684302.000000,1182042834500.000000,1188172518802.000000,,29686238488.000000,,1312444388178.000000,1825501408528.000000,720000000.000000
12M 2015,,,,3932888425.000000,3932888425.000000,5853225621.000000,122231621100.000000,,18089131091.000000,338828322094.000000,,356917453185.000000,,819652616721.000000,,819652616721.000000,,,1534756491.000000,1534756491.000000,26095273812.000000,2645607661.000000,126783972904.000000,1465647415920.000000,,,,121000000000.000000,111016104800.000000,161049234537.000000,32988706952.000000,128060527585.000000,161049234537.000000,6474135430.000000,6681704205.000000,,,8672016735.000000,414893195707.000000,,90000000000.000000,4585630888.000000,948754642863.000000,6329684302.000000,942424958561.000000,948754642863.000000,,25881359909.000000,-18467413447.000000,1050754220213.000000,1465647415920.000000,720000000.000000
12M 2016,,,,15219197700.000000,15219197700.000000,12458916157.000000,349760697700.000000,,10955227190.000000,874744047349.000000,,885699274539.000000,,902817153495.000000,,902817153495.000000,,,847669787.000000,847669787.000000,29420442979.000000,2787981307.000000,178361100410.000000,2377372434074.000000,,,,232000000000.000000,406551212400.000000,459628566738.000000,63082520025.000000,396546046713.000000,459628566738.000000,8123086716.000000,12813765281.000000,,,10127825012.000000,1129244456147.000000,,90000000000.000000,4973455888.000000,1146015412724.000000,6529684302.000000,1139485728422.000000,1146015412724.000000,,19128645364.000000,-11989536049.000000,1248127977927.000000,2377372434074.000000,720000000.000000
12M 2017,,,,22445436144.000000,22445436144.000000,13919009502.000000,335536705200.000000,,24389871033.000000,765968297855.000000,,790358168888.000000,,943301185592.000000,,943301185592.000000,,,3261551411.000000,3261551411.000000,27576373429.000000,3491219007.000000,490428176860.000000,2630317826033.000000,,,,480500000000.000000,237514529800.000000,581312460688.000000,52612342248.000000,528700118440.000000,581312460688.000000,8279236113.000000,7629545143.000000,,,19842454059.000000,1335078225803.000000,,90000000000.000000,4973455888.000000,1194604830057.000000,6729684302.000000,1187875145755.000000,1194604830057.000000,,19101819778.000000,-13440505493.000000,1295239600230.000000,2630317826033.000000,720000000.000000
