Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,54.98,,0.16,,,0.0
12M 2009,,,,,,,,,60.34,53.22,0.23,0.2,,,0.0
12M 2010,,,,,,,,,87.44,85.9,0.3,0.23,,,0.0
12M 2011,,,,,,,,,63.32,50.79,0.24,0.23,,,0.0
12M 2012,,,,,,,,,60.98,59.41,0.27,0.28,,,0.0
12M 2013,,,,,,,,,22.4,18.08,0.29,0.3,,,0.0
12M 2014,,,,,,,,,21.32,22.23,0.4,0.34,,,0.0
12M 2015,,,,,,,,,12.35,12.82,0.2,0.24,,,0.0
12M 2016,,,,,,,,,19.78,18.39,0.29,0.23,,,0.0
12M 2017,,,,,,,,,15.89,16.42,0.18,0.19,,,0.0
12M 2018,,,,,,,,,11.75,11.63,0.15,0.16,,,0.0
12M 2019,,,,,,,,,11.88,12.46,0.18,0.18,,,0.0
12M 2020,,,,,,,,,10.96,11.45,0.13,0.14,,,0.0
12M 2021,,,,,,,,,15.89,16.96,0.17,0.18,,,0.0
12M 2022,,,,,,,,,19.48,21.04,0.25,0.24,,,0.0
12M 2023,,,,,,,,,13.03,12.26,0.18,0.18,,,0.0
12M 2024,,,,,,,,,11.24,11.13,0.17,0.17,,,0.0
