Period,Total Pendapatan,Komisi Dari Transaksi Perantara Pedagang Efek,Jasa Kegiatan Manager Investasi,Keuntungan Atas Perdagangan Efek,Others,Total Keuntungan Atas Perdagangan Efek,Jasa Penjaminan Emisi Dan Penjualan Efek,Others,Total Pendapatan,Total Beban Usaha,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Beban Umum Dan Administrasi,Others,Total Beban Umum Dan Administrasi,Beban Pemasaran,Beban Penyusutan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,173891483624.000000,27132303335.000000,22355028607.000000,,1283726920.000000,1283726920.000000,152659193.000000,122967765569.000000,173891483624.000000,-41880054308.000000,-10320658796.000000,-13182141297.000000,,,-13182141297.000000,-12519732207.000000,-1507114525.000000,-4350407483.000000,-41880054308.000000,132011429316.000000,-84464228927.000000,8711720440.000000,,8711720440.000000,50000000.000000,286485571.000000,-88126652856.000000,-5385782082.000000,-84464228927.000000,47547200389.000000,-11265203385.000000,-14036210300.000000,2771006915.000000,-11265203385.000000,36281997004.000000,195339729.000000,36477336733.000000,,,,,36477336733.000000,36281997004.000000,195339729.000000,36477336733.000000,,,,
12M 2009,222257879342.000000,38921780396.000000,25356310020.000000,,117159511322.000000,117159511322.000000,411691799.000000,40408585805.000000,222257879342.000000,-55153616391.000000,-19331874284.000000,-15257877539.000000,,,-15257877539.000000,-14160139287.000000,-1979895671.000000,-4423829610.000000,-55153616391.000000,167104262951.000000,-13725140677.000000,32141893494.000000,,32141893494.000000,19450000.000000,-283780349.000000,-46565016467.000000,962312645.000000,-13725140677.000000,153379122274.000000,-3159754053.000000,-1423409970.000000,-1736344083.000000,-3159754053.000000,150219368221.000000,-852614304.000000,149366753917.000000,,,,,149366753917.000000,150219368221.000000,-852614304.000000,149366753917.000000,,,,
12M 2010,363137976053.000000,45371282744.000000,57415715401.000000,,168839178272.000000,168839178272.000000,986511930.000000,90525287706.000000,363137976053.000000,-87687039275.000000,-31483669071.000000,-18080689479.000000,,,-18080689479.000000,-30861680565.000000,-2490091230.000000,-4770908930.000000,-87687039275.000000,275450936778.000000,-24659063566.000000,18239881190.000000,,18239881190.000000,505000.000000,-64033897.000000,-38811035859.000000,-4024380000.000000,-24659063566.000000,250791873212.000000,-10069894799.000000,-14060511800.000000,3990617001.000000,-10069894799.000000,240721978413.000000,-1193982228.000000,239527996185.000000,,,,,239527996185.000000,240721978413.000000,-1193982228.000000,239527996185.000000,,,,
12M 2011,349487595180.000000,48049842511.000000,131240481950.000000,,72304836978.000000,72304836978.000000,748150033.000000,97144283708.000000,349487595180.000000,-101393565426.000000,-28584085482.000000,-17397212312.000000,,,-17397212312.000000,-46872576149.000000,-2684280114.000000,-5855411369.000000,-101393565426.000000,248094029754.000000,-11288004273.000000,16996674060.000000,,16996674060.000000,729660345.000000,47506554.000000,-38454815158.000000,9392969926.000000,-11288004273.000000,236806025481.000000,-33699652924.000000,-31442696300.000000,-2256956624.000000,-33699652924.000000,203106372557.000000,,203106372557.000000,,,,203106372557.000000,203106372557.000000,201093878480.000000,2012494077.000000,203106372557.000000,203106372557.000000,201093878480.000000,2012494077.000000,203106372557.000000
12M 2012,430336097959.000000,47375378273.000000,232765623873.000000,,61338549785.000000,61338549785.000000,58367185.000000,88798178843.000000,430336097959.000000,-126078302909.000000,-44066622975.000000,-63499514918.000000,,,-63499514918.000000,-4465491580.000000,-3583064968.000000,-10463608468.000000,-126078302909.000000,304257795050.000000,-16556488653.000000,2024529840.000000,,2024529840.000000,7953800.000000,132561672.000000,-23904756684.000000,5183222719.000000,-16556488653.000000,287701306397.000000,-47860896639.000000,-46980188200.000000,-880708439.000000,-47860896639.000000,239840409758.000000,,239840409758.000000,,,,239840409758.000000,239840409758.000000,230887059201.000000,8953350557.000000,239840409758.000000,239840409758.000000,230887059201.000000,8953350557.000000,239840409758.000000
12M 2013,440919785442.000000,75995663068.000000,286526092305.000000,,-9968801562.000000,-9968801562.000000,82250601.000000,88284581030.000000,440919785442.000000,-179724703051.000000,-63181281383.000000,-89914242295.000000,,,-89914242295.000000,-7519689301.000000,-4571129036.000000,-14538361036.000000,-179724703051.000000,261195082391.000000,-8681989465.000000,1389786626.000000,,1389786626.000000,428893687.000000,744949402.000000,-11245619180.000000,,-8681989465.000000,252513092926.000000,-55254980795.000000,-55546018500.000000,291037705.000000,-55254980795.000000,197258112131.000000,,197258112131.000000,,,,197258112131.000000,197258112131.000000,190993396801.000000,6264715330.000000,197258112131.000000,197258112131.000000,190993396801.000000,6264715330.000000,197258112131.000000
12M 2014,646992190729.000000,60341874310.000000,341655201311.000000,,158627119736.000000,158627119736.000000,862861100.000000,85505134272.000000,646992190729.000000,-210380725443.000000,-69189555432.000000,,-44656918168.000000,-62284480484.000000,-106941398652.000000,-10945778092.000000,-5973719857.000000,-17330273410.000000,-210380725443.000000,436611465286.000000,-12900574055.000000,1924172268.000000,,1924172268.000000,311112691.000000,-396414612.000000,-14739444402.000000,,-12900574055.000000,423710891231.000000,-56685101065.000000,-57112514250.000000,427413185.000000,-56685101065.000000,367025790166.000000,,367025790166.000000,,,,367025790166.000000,367025790166.000000,357478813767.000000,9546976399.000000,367025790166.000000,367025790166.000000,357478813767.000000,9546976399.000000,367025790166.000000
12M 2015,337318051442.000000,53649232642.000000,317847152483.000000,,-102560368630.000000,-102560368630.000000,1479891586.000000,66902143361.000000,337318051442.000000,-221292124489.000000,-78959466549.000000,,-42014574785.000000,-66477376824.000000,-108491951609.000000,-8524620039.000000,-5505008381.000000,-19811077911.000000,-221292124489.000000,116025926953.000000,-7073579553.000000,2313045320.000000,,2313045320.000000,64910916.000000,396767089.000000,-9848302878.000000,,-7073579553.000000,108952347400.000000,-44576585794.000000,-44852460051.000000,275874257.000000,-44576585794.000000,64375761606.000000,,64375761606.000000,410435794.000000,410435794.000000,410435794.000000,64786197400.000000,64375761606.000000,63191678499.000000,1184083107.000000,64375761606.000000,64786197400.000000,63589888944.000000,1196308456.000000,64786197400.000000
12M 2016,549092657990.000000,67486965941.000000,292250663014.000000,,89654213397.000000,89654213397.000000,254861986.000000,99445953652.000000,549092657990.000000,-208957091013.000000,-71143064251.000000,,-39836711223.000000,-60556910409.000000,-100393621632.000000,-10555405878.000000,-4926903637.000000,-21938095615.000000,-208957091013.000000,340135566977.000000,-29017625895.000000,1132880518.000000,,1132880518.000000,91954545.000000,249900783.000000,-30492361741.000000,,-29017625895.000000,311117941082.000000,-51615680915.000000,-51632962832.000000,17281917.000000,-51615680915.000000,259502260167.000000,,259502260167.000000,6450144546.000000,6450144546.000000,6450144546.000000,265952404713.000000,259502260167.000000,254427241861.000000,5075018306.000000,259502260167.000000,265952404713.000000,260905119259.000000,5047285454.000000,265952404713.000000
12M 2017,452778824796.000000,65005576137.000000,230611649123.000000,,60670965417.000000,60670965417.000000,2612003182.000000,93878630937.000000,452778824796.000000,-222480892953.000000,-76350761372.000000,,-45009973467.000000,-65551340425.000000,-110561313892.000000,-8679238722.000000,-4498081346.000000,-22391497621.000000,-222480892953.000000,230297931843.000000,-19736118482.000000,1528560359.000000,,1528560359.000000,712629545.000000,31510982.000000,-22008819368.000000,,-19736118482.000000,210561813361.000000,-30807348829.000000,-31074924150.000000,267575321.000000,-30807348829.000000,179754464532.000000,,179754464532.000000,-1518280229.000000,-1518280229.000000,-1518280229.000000,178236184303.000000,179754464532.000000,177213979333.000000,2540485199.000000,179754464532.000000,178236184303.000000,175763009889.000000,2473174414.000000,178236184303.000000
