Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Operasional Lainnya,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Tanah Untuk Dikembangkan,Pembayaran Uang Muka Pembelian Tanah,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal,Penerimaan Dan Penawaran Umum Perdana,Biaya Emisi Saham,Penerimaan Utang Non Usaha Pihak Berelasi,Penerimaan Setoran Modal Dari Pelaksanaan Waran,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-1546768350.000000,5673592800.000000,-6414386150.000000,-616650000.000000,-189325000.000000,-1546768350.000000,,,,,,,,,,,,,-1546768350.000000,2095850218.000000,549081868.000000
12M 2019,6061630042.000000,9725150568.000000,-2155065386.000000,-1332735580.000000,-175719560.000000,6061630042.000000,-258690000000.000000,,-139765000000.000000,-118925000000.000000,-258690000000.000000,255504284680.000000,10054284680.000000,250000000000.000000,-4550000000.000000,,,255504284680.000000,2875914722.000000,549081868.000000,3424996590.000000
12M 2020,305393345.000000,8567421975.000000,-6628366687.000000,-1355161071.000000,-278500872.000000,305393345.000000,-340258142.000000,-340258142.000000,,,-340258142.000000,101865855.000000,,,,,101865855.000000,101865855.000000,67001058.000000,3424996590.000000,3491997648.000000
12M 2021,32615595.000000,24203494230.000000,-21262236501.000000,-2193738440.000000,-714903694.000000,32615595.000000,,,,,,,,,,,,,32615595.000000,3491997648.000000,3524613243.000000
12M 2022,-2408694422.000000,4139255260.000000,-4990664857.000000,-1335430277.000000,-221854548.000000,-2408694422.000000,,,,,,,,,,,,,-2408694422.000000,3524613243.000000,1115918821.000000
12M 2023,-651309028.000000,10733453107.000000,-9901662399.000000,-1283798562.000000,-199301174.000000,-651309028.000000,,,,,,,,,,,,,-651309028.000000,1115918821.000000,464609793.000000
12M 2024,71229317081.000000,117652078882.000000,-45088914996.000000,-1087779119.000000,-246067686.000000,71229317081.000000,,,,,,,,,,,,,71229317081.000000,464609793.000000,71693926874.000000
