Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,7865363636.000000,-6238316592.000000,1627047044.000000,-949682306.000000,-100360538.000000,-849321768.000000,-949682306.000000,677364738.000000,-159575942.000000,-196634091.000000,37058149.000000,-159575942.000000,517788796.000000,,,,,517788796.000000,,517788796.000000,-6260438.000000,511528358.000000,517788796.000000,517788796.000000,,517788796.000000,511528358.000000,511528358.000000,,511528358.000000
12M 2019,10130203636.000000,-7041142545.000000,3089061091.000000,-1965718974.000000,-129814993.000000,-1835903981.000000,-1965718974.000000,1123342117.000000,259537577.000000,-253255091.000000,512792668.000000,259537577.000000,1382879694.000000,,,,,1382879694.000000,,1382879694.000000,8088714.000000,1390968408.000000,1382879694.000000,1382879694.000000,,1382879694.000000,1390968408.000000,1390968408.000000,,1390968408.000000
12M 2020,12688128000.000000,-7536083579.000000,5152044421.000000,-4425264065.000000,-958960095.000000,-3466303970.000000,-4425264065.000000,726780356.000000,296181620.000000,-387203200.000000,683384820.000000,296181620.000000,1022961976.000000,,,,,1022961976.000000,,1022961976.000000,-7902922.000000,1015059054.000000,1022961976.000000,1022961976.000000,,1022961976.000000,1015059054.000000,1015059054.000000,,1015059054.000000
12M 2021,23946969756.000000,-16762878830.000000,7184090926.000000,-5315002427.000000,-897399275.000000,-4417603152.000000,-5315002427.000000,1869088499.000000,-602500872.000000,-598674244.000000,-3826628.000000,-602500872.000000,1266587627.000000,,,,,1266587627.000000,,1266587627.000000,-8577175.000000,1258010452.000000,1266587627.000000,1266587627.000000,,1266587627.000000,1258010452.000000,1258010452.000000,,1258010452.000000
12M 2022,6034680552.000000,-2863887671.000000,3170792881.000000,-3164798406.000000,-65083735.000000,-3099714671.000000,-3164798406.000000,5994475.000000,161074715.000000,-225867014.000000,386941729.000000,161074715.000000,167069190.000000,,,,,167069190.000000,,167069190.000000,48599650.000000,215668840.000000,167069190.000000,167069190.000000,,167069190.000000,215668840.000000,215668840.000000,,215668840.000000
12M 2023,8367950449.000000,-4874514933.000000,3493435516.000000,-3263500932.000000,-56468809.000000,-3207032123.000000,-3263500932.000000,229934584.000000,-52164011.000000,-224198762.000000,172034751.000000,-52164011.000000,177770573.000000,,,,,177770573.000000,,177770573.000000,53935321.000000,231705894.000000,177770573.000000,177770573.000000,,177770573.000000,231705894.000000,231705894.000000,,231705894.000000
12M 2024,115892295549.000000,-87761631378.000000,28130664171.000000,-4163756243.000000,-346649522.000000,-3817106721.000000,-4163756243.000000,23966907928.000000,167060514.000000,-291577140.000000,458637654.000000,167060514.000000,24133968442.000000,,,,,24133968442.000000,,24133968442.000000,22713404.000000,24156681846.000000,24133968442.000000,24133968442.000000,,24133968442.000000,24156681846.000000,24156681846.000000,,24156681846.000000
