Period,Total Pendapatan,Pendapatan Keuangan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Penyusutan,Beban Eksplorasi,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Bunga,Keuntungan Atas Penjualan Entitas Anak,Keuntungan (Rugi) Atas Transaksi Derivatif,Final,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1283818230.000000,,1283818230.000000,1283818230.000000,-785679927.000000,-122985148.000000,-62938673.000000,-599756106.000000,-785679927.000000,498138303.000000,-154362809.000000,,,-154362809.000000,343775494.000000,153456133.000000,-63417846.000000,9945631.000000,,260461557.000000,-10041234.000000,,-8782921.000000,-34709054.000000,153456133.000000,497231627.000000,-208170830.000000,289060797.000000,,-8856702.000000,280204095.000000,,,280204095.000000,289060797.000000,-8856702.000000,280204095.000000,,,,
12M 2009,667801378.000000,,667801378.000000,667801378.000000,-438685002.000000,-77462893.000000,-24190154.000000,-337031955.000000,-438685002.000000,229116376.000000,-156920127.000000,,,-156920127.000000,72196249.000000,-21645893.000000,-60675320.000000,-2647875.000000,,30672020.000000,6696929.000000,,-15850157.000000,20158510.000000,-21645893.000000,50550356.000000,-28167426.000000,22382930.000000,,-3150936.000000,19231994.000000,,,19231994.000000,22382930.000000,-3150936.000000,19231994.000000,,,,
12M 2010,929853450.000000,,929853450.000000,929853450.000000,-642089857.000000,-102747239.000000,-24057135.000000,-515285483.000000,-642089857.000000,287763593.000000,-173271412.000000,,,-173271412.000000,114492181.000000,101336434.000000,-88475835.000000,-1833063.000000,,250734352.000000,1609956.000000,,-3792208.000000,-56906768.000000,101336434.000000,215828615.000000,-127671353.000000,88157262.000000,,-5097686.000000,83059576.000000,,,83059576.000000,88157262.000000,-5097686.000000,83059576.000000,,,,
12M 2011,1143294528.000000,,1143294528.000000,1143294528.000000,-768122286.000000,-109424152.000000,-34527314.000000,-624170820.000000,-768122286.000000,375172242.000000,-150899254.000000,,,-150899254.000000,224272988.000000,-9995402.000000,-89499052.000000,-1952409.000000,9479235.000000,78416575.000000,,,,-6439751.000000,-9995402.000000,214277586.000000,-125058051.000000,89219535.000000,,,89219535.000000,-2097858.000000,87121677.000000,89219535.000000,85073777.000000,4145758.000000,89219535.000000,87121677.000000,81398644.000000,5723033.000000,87121677.000000
12M 2012,909049493.000000,,909049493.000000,909049493.000000,-512816152.000000,-85353665.000000,-17306526.000000,-410155961.000000,-512816152.000000,396233341.000000,-143042815.000000,,,-143042815.000000,253190526.000000,-72664980.000000,-95932889.000000,1188018.000000,21573568.000000,,,,5362723.000000,-4856400.000000,-72664980.000000,180525546.000000,-156339016.000000,24186530.000000,-5332473.000000,,18854057.000000,-12765539.000000,6088518.000000,18854057.000000,12593288.000000,6260769.000000,18854057.000000,6088518.000000,-172251.000000,6260769.000000,6088518.000000
12M 2013,888947406.000000,,888947406.000000,888947406.000000,-521728686.000000,-101609714.000000,-14079817.000000,-406039155.000000,-521728686.000000,367218720.000000,-121485761.000000,,,-121485761.000000,245732959.000000,-51996147.000000,-77083376.000000,4554295.000000,11751425.000000,,,,-13650350.000000,22431859.000000,-51996147.000000,193736812.000000,-153860688.000000,39876124.000000,-23897548.000000,,15978576.000000,-39498706.000000,-23520130.000000,15978576.000000,12583421.000000,3395155.000000,15978576.000000,-23520130.000000,-26915285.000000,3395155.000000,-23520130.000000
12M 2014,750730519.000000,,750730519.000000,750730519.000000,-479773988.000000,-96973184.000000,-24385209.000000,-358415595.000000,-479773988.000000,270956531.000000,-110313286.000000,,,-110313286.000000,160643245.000000,-49657741.000000,-71448789.000000,7067272.000000,10438876.000000,,,,,4284900.000000,-49657741.000000,110985504.000000,-97798875.000000,13186629.000000,530134.000000,,13716763.000000,20478948.000000,34195711.000000,13716763.000000,10113687.000000,3603076.000000,13716763.000000,34195711.000000,30592635.000000,3603076.000000,34195711.000000
12M 2015,628479277.000000,,628479277.000000,628479277.000000,-420216764.000000,-125936997.000000,-27792537.000000,-266487230.000000,-420216764.000000,208262513.000000,-118730035.000000,,,-118730035.000000,89532478.000000,-235919537.000000,-77328920.000000,7206901.000000,6080548.000000,1398972.000000,,,,-173277038.000000,-235919537.000000,-146387059.000000,-33548310.000000,-179935369.000000,-6238172.000000,,-186173541.000000,4357015.000000,-181816526.000000,-186173541.000000,-188134047.000000,1960506.000000,-186173541.000000,-181816526.000000,-183777032.000000,1960506.000000,-181816526.000000
12M 2016,600351828.000000,,600351828.000000,600351828.000000,-349774294.000000,-119774199.000000,-7016432.000000,-222983663.000000,-349774294.000000,250577534.000000,-97767360.000000,,,-97767360.000000,152810174.000000,107487999.000000,-106475205.000000,-27202127.000000,6221362.000000,,,-2473613.000000,,237417582.000000,107487999.000000,260298173.000000,-62781870.000000,197516303.000000,-10467324.000000,,187048979.000000,7911935.000000,194960914.000000,187048979.000000,184757556.000000,2291423.000000,187048979.000000,194960914.000000,192669491.000000,2291423.000000,194960914.000000
12M 2017,925642880.000000,,925642880.000000,925642880.000000,-504908710.000000,-163799155.000000,-10292704.000000,-330816851.000000,-504908710.000000,420734170.000000,-151393243.000000,-151393243.000000,,-151393243.000000,269340927.000000,63093515.000000,-140692358.000000,,32312213.000000,,,,,171473660.000000,63093515.000000,295482625.000000,-139833439.000000,155649186.000000,-23840413.000000,,131808773.000000,57838780.000000,189647553.000000,131808773.000000,127097650.000000,4711123.000000,131808773.000000,189647553.000000,184539368.000000,5108185.000000,189647553.000000
12M 2018,1218251548.000000,,1218251548.000000,1218251548.000000,-586075961.000000,-108791406.000000,-8578559.000000,-468705996.000000,-586075961.000000,632175587.000000,-160660792.000000,-160660792.000000,,-160660792.000000,471514795.000000,-205937202.000000,-188997148.000000,,12704418.000000,,,,,-29644472.000000,-205937202.000000,198836390.000000,-196480990.000000,2355400.000000,-30728336.000000,,-28372936.000000,8792612.000000,-19580324.000000,-28372936.000000,-51302236.000000,22929300.000000,-28372936.000000,-19580324.000000,-44858148.000000,25277824.000000,-19580324.000000
12M 2019,1438290853.000000,,1438290853.000000,1438290853.000000,-846558388.000000,-295818747.000000,-23925491.000000,-526814150.000000,-846558388.000000,591732465.000000,-229283518.000000,-229283518.000000,,-229283518.000000,362448947.000000,-141284092.000000,-251334573.000000,,12966781.000000,,,,,97083700.000000,-141284092.000000,179146124.000000,-199373250.000000,-20227126.000000,6694077.000000,,-13533049.000000,-12147539.000000,-25680588.000000,-13533049.000000,-27347601.000000,13814552.000000,-13533049.000000,-25680588.000000,-24937015.000000,-743573.000000,-25680588.000000
12M 2020,1093274485.000000,32065516.000000,1061208969.000000,1093274485.000000,-771563941.000000,-328720328.000000,-22963585.000000,-419880028.000000,-771563941.000000,321710544.000000,-152601362.000000,-152601362.000000,,-152601362.000000,169109182.000000,-297288473.000000,-282220004.000000,,18498105.000000,,,,,-33566574.000000,-297288473.000000,-98283621.000000,-72353410.000000,-170637031.000000,-6666489.000000,,-177303520.000000,-46481397.000000,-223784917.000000,-177303520.000000,-188975634.000000,11672114.000000,-177303520.000000,-223784917.000000,-225107758.000000,1322841.000000,-223784917.000000
12M 2021,1323241584.000000,39929548.000000,1283312036.000000,1323241584.000000,-757476367.000000,-304609719.000000,-17345926.000000,-435520722.000000,-757476367.000000,565765217.000000,-162221004.000000,-162221004.000000,,-162221004.000000,403544213.000000,-184248269.000000,-225134721.000000,,9117546.000000,,,,,31768906.000000,-184248269.000000,285700739.000000,-231900686.000000,53800053.000000,8800698.000000,,62600751.000000,22214217.000000,84814968.000000,62600751.000000,47019404.000000,15581347.000000,62600751.000000,84814968.000000,69417308.000000,15397660.000000,84814968.000000
