Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Pembiayaan,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Jangka Panjang,Aset Tetap,Properti Pertambangan,Properti Investasi,Aset Eksplorasi Dan Evaluasi,Aset Minyak Dan Gas Bumi,Goodwill,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Surat Berharga Jangka Menengah,Wesel Bayar,Obligasi Dolar Amerika Serikat,Obligasi Rupiah,Obligasi Konversi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Surat Berharga Jangka Menengah,Wesel Bayar,Obligasi Dolar Amerika Serikat,Obligasi Rupiah,Obligasi Konversi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,348549807.000000,173966655.000000,129828410.000000,6790493.000000,123037917.000000,129828410.000000,156207621.000000,,156207621.000000,156207621.000000,,31991299.000000,22256778.000000,862800570.000000,,10141898.000000,,10141898.000000,10141898.000000,,57526218.000000,,157416423.000000,,,,757319052.000000,,,135019485.000000,1117423076.000000,1980223646.000000,,,387778301.000000,50198115.000000,90044202.000000,,,90044202.000000,29466130.000000,,,29466130.000000,46066447.000000,44324107.000000,,9861934.000000,,,,,107825032.000000,,,117686966.000000,9992334.000000,,387778301.000000,847120204.000000,,,288387656.000000,,,88676776.000000,,,148112162.000000,,525176594.000000,25012524.000000,89645349.000000,,207285737.000000,847120204.000000,1234898505.000000,,101154464.000000,108626898.000000,528400524.000000,6492210.000000,521908314.000000,528400524.000000,12172226.000000,-5028971.000000,745325141.000000,1980223646.000000,3332451450.000000
12M 2009,,,253025979.000000,191626219.000000,120375590.000000,19433501.000000,100942089.000000,120375590.000000,150612267.000000,1684573.000000,148927694.000000,150612267.000000,,39973612.000000,35608780.000000,791222447.000000,,15224924.000000,,15224924.000000,15224924.000000,,92944598.000000,,235921275.000000,,,,798472696.000000,,,106723438.000000,1249286931.000000,2040509378.000000,,,509163054.000000,60982254.000000,95374974.000000,,,95374974.000000,31294599.000000,,,31294599.000000,27033024.000000,43644138.000000,,67265025.000000,,,88075075.000000,,,,,155340100.000000,,95493965.000000,509163054.000000,803698477.000000,,,368491424.000000,,41829672.000000,,158686102.000000,,,,569007198.000000,58205673.000000,72175948.000000,,104309658.000000,803698477.000000,1312861531.000000,,101154464.000000,108626898.000000,503502562.000000,6492210.000000,497010352.000000,503502562.000000,18883307.000000,-4519384.000000,727647847.000000,2040509378.000000,3332451450.000000
12M 2010,,,178859393.000000,168047197.000000,180708045.000000,49132431.000000,131575614.000000,180708045.000000,393162934.000000,263276006.000000,129886928.000000,393162934.000000,,34138382.000000,66923836.000000,1021839787.000000,,4079566.000000,,4079566.000000,4079566.000000,,70684839.000000,10966515.000000,252757374.000000,,,,839660802.000000,,,78079354.000000,1256228450.000000,2278068237.000000,,,500318424.000000,85620671.000000,,3987300.000000,128637226.000000,132624526.000000,27671863.000000,,,27671863.000000,65028789.000000,45420442.000000,,89741220.000000,,20523889.000000,,,,,,110265109.000000,345721.000000,33341303.000000,500318424.000000,962919385.000000,,,493330538.000000,,128881891.000000,,166236215.000000,,,,788448644.000000,20753538.000000,68060310.000000,,85656893.000000,962919385.000000,1463237809.000000,,101154464.000000,108626898.000000,578089187.000000,6492210.000000,571596977.000000,578089187.000000,28775488.000000,-1815609.000000,814830428.000000,2278068237.000000,3332451450.000000
12M 2011,,,703951167.000000,247304920.000000,202328229.000000,69701987.000000,132626242.000000,202328229.000000,62216151.000000,,62216151.000000,62216151.000000,,43704972.000000,43143358.000000,1302648797.000000,,59491328.000000,46827782.000000,12663546.000000,59491328.000000,,65339990.000000,132315027.000000,116347753.000000,,,,828552860.000000,,,82701704.000000,1284748662.000000,2587397459.000000,,,811517621.000000,121399984.000000,,,113004919.000000,113004919.000000,35430475.000000,,,35430475.000000,41569149.000000,67734171.000000,,291675148.000000,,64928129.000000,,,56563960.000000,,,413167237.000000,,19211686.000000,811517621.000000,920532871.000000,,69997758.000000,466382311.000000,,40320379.000000,,108354996.000000,79387679.000000,,,764443123.000000,10511274.000000,78248136.000000,1202270.000000,66128068.000000,920532871.000000,1732050492.000000,,101154464.000000,108626898.000000,641164651.000000,6492210.000000,634672441.000000,641164651.000000,9891696.000000,-5490742.000000,855346967.000000,2587397459.000000,3332451450.000000
12M 2012,,,523651774.000000,311668012.000000,147129298.000000,32701117.000000,114428181.000000,147129298.000000,79157762.000000,,79157762.000000,79157762.000000,,36503594.000000,46551740.000000,1144662180.000000,,106121133.000000,101615237.000000,4505896.000000,106121133.000000,,59541169.000000,200540593.000000,120410982.000000,,,109552742.000000,849387645.000000,,,65624260.000000,1511178524.000000,2655840704.000000,,,432172379.000000,60000000.000000,,69936.000000,95194668.000000,95264604.000000,43589966.000000,,,43589966.000000,32800113.000000,72224141.000000,,62855699.000000,,40386422.000000,,,,,,103242121.000000,,25051434.000000,432172379.000000,1380444140.000000,,125735136.000000,654384407.000000,,,,307542144.000000,99334607.000000,,,1186996294.000000,13849625.000000,90167043.000000,17985673.000000,71445505.000000,1380444140.000000,1812616519.000000,,101154464.000000,108626898.000000,643546639.000000,6492210.000000,637054429.000000,643546639.000000,8152465.000000,-18256281.000000,843224185.000000,2655840704.000000,3332451450.000000
12M 2013,,,263973998.000000,253437152.000000,143634520.000000,18982522.000000,124651998.000000,143634520.000000,75940543.000000,,75940543.000000,75940543.000000,,37164353.000000,47295564.000000,821446130.000000,,144132820.000000,142600440.000000,1532380.000000,144132820.000000,,42600507.000000,319458987.000000,85700769.000000,610264.000000,,155729959.000000,902468908.000000,,,59531126.000000,1710233340.000000,2531679470.000000,,,410053890.000000,60000000.000000,,359576.000000,94193530.000000,94553106.000000,50795338.000000,,,50795338.000000,25348897.000000,70696891.000000,,928203.000000,,,,,80768414.000000,,,81696617.000000,,26963041.000000,410053890.000000,1224869165.000000,,130947913.000000,374867214.000000,,,,285711915.000000,98466256.000000,,,889993298.000000,9698707.000000,99150300.000000,162135400.000000,63891460.000000,1224869165.000000,1634923055.000000,,101154464.000000,183439833.000000,652794730.000000,6492210.000000,646302520.000000,652794730.000000,11547620.000000,-52180232.000000,896756415.000000,2531679470.000000,3332451450.000000
12M 2014,,,206639912.000000,268628303.000000,101593782.000000,12442828.000000,89150954.000000,101593782.000000,112288441.000000,80850.000000,112207591.000000,112288441.000000,,39316612.000000,22656589.000000,751123639.000000,,160651501.000000,159313967.000000,1337534.000000,160651501.000000,,31071315.000000,337131659.000000,88513473.000000,2282185.000000,,181670432.000000,1093013247.000000,,,56989428.000000,1951323240.000000,2702446879.000000,,,467737784.000000,,,1416478.000000,90488378.000000,91904856.000000,41152140.000000,,,41152140.000000,23904636.000000,76854830.000000,,183696183.000000,,,,,,,,183696183.000000,,50225139.000000,467737784.000000,1314390337.000000,,,544669226.000000,,,79752616.000000,280253368.000000,97406084.000000,,,1002081294.000000,9121822.000000,112887298.000000,113762545.000000,76537378.000000,1314390337.000000,1782128121.000000,,101154464.000000,183439833.000000,657875049.000000,6492210.000000,651382839.000000,657875049.000000,9550696.000000,-31701284.000000,920318758.000000,2702446879.000000,3332451450.000000
12M 2015,,,463175233.000000,225930397.000000,98541084.000000,20220257.000000,78320827.000000,98541084.000000,122823905.000000,2227846.000000,120596059.000000,122823905.000000,,40067047.000000,94325610.000000,1044863276.000000,,30541525.000000,29620713.000000,920812.000000,30541525.000000,,31146229.000000,208691221.000000,68961789.000000,,361520701.000000,93834836.000000,986432198.000000,37125795.000000,,46691258.000000,1864945552.000000,2909808828.000000,,,526615346.000000,,,57936.000000,77324045.000000,77381981.000000,,1740327.000000,72809232.000000,74549559.000000,10927712.000000,86746293.000000,,179502491.000000,,,,78827354.000000,,,,258329845.000000,,18679956.000000,526615346.000000,1681599623.000000,,,908214456.000000,,,71999347.000000,252946827.000000,18742971.000000,,69973057.000000,1321876658.000000,11610868.000000,110531012.000000,157631685.000000,79949400.000000,1681599623.000000,2208214969.000000,,101154464.000000,181487838.000000,446502241.000000,6492210.000000,440010031.000000,446502241.000000,5111202.000000,-32661886.000000,701593859.000000,2909808828.000000,3332451450.000000
12M 2016,,,164560884.000000,66885629.000000,183206780.000000,694960.000000,182511820.000000,183206780.000000,351613501.000000,250745343.000000,100868158.000000,351613501.000000,,70290770.000000,297703221.000000,1134260785.000000,,51793728.000000,,51793728.000000,51793728.000000,,90359085.000000,924497143.000000,5170315.000000,,351258964.000000,70439368.000000,921245047.000000,16237204.000000,,31868964.000000,2462869818.000000,3597130603.000000,,,860560282.000000,16000000.000000,,,104920029.000000,104920029.000000,,,102524904.000000,102524904.000000,32378526.000000,75492247.000000,,228476617.000000,,,,17841893.000000,148700823.000000,,,395019333.000000,63767824.000000,70457419.000000,860560282.000000,1846061465.000000,,,1009552427.000000,,,127544863.000000,316889775.000000,,,68334183.000000,1522321248.000000,55477230.000000,104718481.000000,67505001.000000,96039505.000000,1846061465.000000,2706621747.000000,,101154464.000000,180657446.000000,631259797.000000,6492210.000000,624767587.000000,631259797.000000,2956471.000000,-25519322.000000,890508856.000000,3597130603.000000,3332451450.000000
12M 2017,,,489040578.000000,26342281.000000,196155960.000000,,196155960.000000,196155960.000000,439214081.000000,279759962.000000,159454119.000000,439214081.000000,7876306.000000,88911512.000000,727509390.000000,1975050108.000000,,88047764.000000,,88047764.000000,88047764.000000,,89751633.000000,887327871.000000,67924100.000000,,,103766335.000000,1107832391.000000,67024515.000000,,774061140.000000,3185735749.000000,5160785857.000000,,,1293641095.000000,42000000.000000,,24689287.000000,115052560.000000,139741847.000000,,,171925141.000000,171925141.000000,46777130.000000,114744418.000000,,161395447.000000,1205049.000000,,73660258.000000,,129006725.000000,,,365267479.000000,55092235.000000,358092845.000000,1293641095.000000,2464472714.000000,,,1367229847.000000,27314985.000000,,53958848.000000,384704834.000000,348648809.000000,,,2181857323.000000,17325215.000000,136726242.000000,20131692.000000,108432242.000000,2464472714.000000,3758113809.000000,,109266128.000000,366137292.000000,758357447.000000,6492210.000000,751865237.000000,758357447.000000,145205321.000000,23705860.000000,1402672048.000000,5160785857.000000,17728923467.000000
