Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.74,2409.04,0.74,2409.04,"1,948 B","5,751 B","7,698 B","3,882 B","5,201 B"
12M 2009,1.17,1999.24,1.17,1999.24,"2,033 B","5,349 B","7,382 B","5,004 B","2,651 B"
12M 2010,1.52,2120.79,1.52,2120.79,"1,764 B","7,089 B","8,853 B","7,245 B","4,689 B"
12M 2011,1.01,2300.59,1.01,2300.59,"4,847 B","6,943 B","11,790 B","5,407 B","4,454 B"
12M 2012,0.64,2423.18,0.64,2423.18,"1,579 B","11,652 B","13,231 B","8,167 B","6,890 B"
12M 2013,0.62,3240.19,0.62,3240.19,"1,728 B","12,834 B","14,562 B","11,342 B","5,018 B"
12M 2014,1.07,3400.16,1.07,3400.16,"2,285 B","13,882 B","16,168 B","13,597 B","3,526 B"
12M 2015,0.26,2883.16,0.28,2729.47,"3,564 B","19,445 B","23,008 B","16,619 B","7,149 B"
12M 2016,0.35,3578.49,0.36,3513.03,"6,379 B","20,443 B","26,822 B","24,611 B","3,677 B"
12M 2017,0.90,960.92,0.95,909.71,"6,264 B","29,833 B","36,097 B","29,471 B","9,232 B"
12M 2018,0.67,990.23,0.71,935.80,"5,991 B","35,349 B","41,340 B","35,286 B","10,501 B"
12M 2019,0.91,928.33,0.96,876.32,"1,982 B","43,020 B","45,002 B","38,660 B","13,750 B"
12M 2020,1.03,575.46,1.10,537.85,"4,762 B","34,248 B","39,010 B","34,829 B","9,156 B"
12M 2021,0.76,609.33,0.79,587.14,"4,626 B","38,321 B","42,947 B","36,079 B","9,929 B"
12M 2022,1.05,965.97,1.08,941.74,"7,063 B","42,488 B","49,551 B","40,196 B","5,801 B"
12M 2023,1.03,1123.12,1.05,1099.12,"6,245 B","44,930 B","51,175 B","45,711 B","1,923 B"
12M 2024,0.81,1361.87,0.82,1336.76,"7,131 B","46,890 B","54,021 B","43,728 B","5,034 B"
