Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Uang Muka Dari Pelanggan,Penerimaan Dari Kas Anadarko,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Adjustment,Arus Kas Dari Aktivitas Investasi,Penambahan Investasi Jangka Pendek,Penerimaan Dari Pencairan Investasi Jangka Pendek,Penambahan Aset Minyak Dan Gas Bumi,Akuisisi Atau Investasi Di Entitas Anak/Entitas Asosiasi,Akuisisi Bisnis Setelah Dikurangi Kas Yang Diperoleh,Uang Muka Diterima Dari Pihak Berelasi,Penambahan Aset Eksplorasi Dan Evaluasi,Penerimaan Dari Pelepasan Entita Anak,Dividen Kas Dari Entitas Asosiasi,Penerimaan Piutang Dari Entitas Asosiasi,Investasi Pada Saham,Investasi Pada Proyek,Pembayaran Uang Muka,Penambahan (Pengurangan) Aset Lain-Lain,Penambahan Kepemilikan Di Kepentingan Nonpengendali,Penambahan Properti Pertambangan,Perolehan Aset Tetap,Penambahan Investasi Jangka Panjang,Pengurangan Dari Investasi Jangka Panjang,Penambahan Akun Akun Pihak Berelasi,Penerimaan Dividen,Penerimaan Dari Pelepasan Entitas Anak Neto,Penerimaan Bunga,Uang Muka Pembelian Saham,Uang Muka Untuk Investasi,Penambahan Property Investasi,Uang Muka Atas Penjualan Hak Partisipasi,Penambahan Piutang Lain-Lain,Penambahan Utang Lain-Lain,Pengurangan (Penerimaan) Piutang Lain - Lain Pihak Berelasi,Investasi Pada Ventura Bersama,Penambahan Pada Aset Konsesi,Penempatan Wesel Tagih,Penerimaan Dari Pelepasan Aset Tetap,Penerimaan Dari Uang Muka Proyek,Pembayaran Komitmen Eksplorasi Kepada Pemerintah,Penerimaan Dari Pelunasan Obligasi Konversi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Pinjaman Bank,Perolehan Utang Jangka Panjang Lainnya,Pembelian Kembali Obligasi Dolar As,Perolehan Dari Pihak Yang Berelasi,(Pembelian) Penjualan Saham Treasuri,Pembayaran Pinjaman Bank,Pembayaran Utang Jangka Panjang Lainnya,Pembayaran Atas Obligasi Treasuri,Pembelian Saham Treasury,Utang Dari Perusahaan Afiliasi,Pembayaran Dari Pihak Yang Berelasi,Pembayaran Beban Keuangan,Penarikan (Penempatan) Rekening Bank Yang Dibatasi Penggunaannya,Tambahan Modal Disetor Yang Berasal Dari Penerbitan Saham Melalui Pelaksanaan Waran,Pembayaran Liabilitas Sewa,Tambahan Modal Disetor Yang Berasal Dari Penerbitan Saham,Pembayaran Dividen,Pembayaran Dividen Oleh Entitas Anak,Pembelian Obligasi,Penyelesaian Transaksi Derivatif,Setoran Modal Dari Pemegang Saham Non Pengendali,Perolehan Wesel Treasuri,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penurunan/Kenaikan Neto Kas Dan Setara Kas Dari Operasi Yang Dihentikan,Penurunan/Kenaikan Neto Kas Dan Setara Kas Dari Aset Yang Tersedia Untuk Dijual,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,384845931.000000,1354460217.000000,4641042.000000,13868990.000000,-814205365.000000,-173918953.000000,384845931.000000,,-96088994.000000,,-123424950.000000,-241234339.000000,-8000031.000000,,,,,,,,-14932180.000000,,,,,-13970303.000000,,,312070.000000,10630816.000000,296558349.000000,11355335.000000,,,,-14500000.000000,,,,,,,1116239.000000,,,,-96088994.000000,-206585166.000000,247834935.000000,,,,-52459694.000000,-96289289.000000,-135344000.000000,,,,,-65940473.000000,-38086645.000000,,,,,,,,,-66300000.000000,,-206585166.000000,82171771.000000,266378036.000000,,,,348549807.000000
12M 2009,76596277.000000,675928130.000000,2996449.000000,,-514402378.000000,-87925924.000000,76596277.000000,,-154098928.000000,,6492010.000000,-182136169.000000,-2044706.000000,,,,,,,,,,-6580832.000000,,,-43097423.000000,,,,,62504089.000000,9431179.000000,,,,,,,,,,,1332924.000000,,,,-154098928.000000,-18021177.000000,174253767.000000,201674468.000000,,,,-33001326.000000,-228403583.000000,,,,,-75044074.000000,20301633.000000,,,,-44087788.000000,,,-5314274.000000,,-28400000.000000,,-18021177.000000,-95523828.000000,348549807.000000,,,,253025979.000000
12M 2010,87924143.000000,775264418.000000,4446561.000000,,-624926210.000000,-66860626.000000,87924143.000000,,-207690649.000000,,-6298438.000000,-154134874.000000,-2208440.000000,,,,,,,,,,-8853396.000000,,,-59869790.000000,,,,,3325547.000000,16476327.000000,,,,,,,,,,,3872415.000000,,,,-207690649.000000,45599920.000000,357510318.000000,107900000.000000,,,,-203604736.000000,-88204000.000000,,,,,-86926220.000000,-35436759.000000,,,,-8472951.000000,,,454110.000000,2380158.000000,,,45599920.000000,-74166586.000000,253025979.000000,,,,178859393.000000
12M 2011,141474780.000000,1066273623.000000,,,-793513708.000000,-131285135.000000,141474780.000000,,85014515.000000,-232236461.000000,160965745.000000,-127139984.000000,-76995827.000000,,,,,,,,,,-6125239.000000,,,-29156910.000000,,,-12116752.000000,,395683731.000000,11218765.000000,,,,,,,,,,,917447.000000,,,,85014515.000000,298385835.000000,775013440.000000,150673196.000000,,,,-485987172.000000,-44550000.000000,,,,,-86554990.000000,11909810.000000,,,,,-21998313.000000,,-120136.000000,,,,298385835.000000,524875130.000000,178859393.000000,,,216644.000000,703951167.000000
12M 2012,209437655.000000,974044011.000000,,,-615457083.000000,-149149273.000000,209437655.000000,,-392618321.000000,-143690189.000000,90531714.000000,-161171764.000000,,,,-28041570.000000,,,,-67736590.000000,,-31762718.000000,-1943176.000000,,,-53048179.000000,,,-48140400.000000,,9396007.000000,20955675.000000,,,,,,,,,,,10153998.000000,,,11878871.000000,-392618321.000000,-10228902.000000,252224879.000000,230750818.000000,,50714500.000000,,-329970969.000000,-119651633.000000,,,,,-91778682.000000,28013957.000000,,,,-22531772.000000,-8000000.000000,,,,,,-10228902.000000,-193409568.000000,703951167.000000,11510682.000000,,1609493.000000,523661774.000000
12M 2013,261714993.000000,923326504.000000,,,-536912825.000000,-124698686.000000,261714993.000000,,-289334863.000000,-115000000.000000,183867199.000000,-154528904.000000,,,,-67130523.000000,,,,-100290982.000000,,,-1538483.000000,,,-5984016.000000,,,-40985204.000000,143135.000000,,11987987.000000,,,,,,,,,,,124928.000000,,,,-289334863.000000,-226817963.000000,110000000.000000,123061777.000000,,5214374.000000,80387690.000000,-421517764.000000,-41450000.000000,,,,,-77992144.000000,-1186566.000000,,,,-3335330.000000,,,,,,,-226817963.000000,-254437833.000000,523651774.000000,-502449.000000,,-4737494.000000,263973998.000000
12M 2014,163267782.000000,736103149.000000,,,-498041931.000000,-74793436.000000,163267782.000000,,-313818811.000000,-7500000.000000,5406469.000000,-142387297.000000,-126363802.000000,,,-41021506.000000,,,,-11144401.000000,,,-153587.000000,,,-4156444.000000,,,,458150.000000,17400000.000000,9357015.000000,,,,,-16334839.000000,,,,,,2621431.000000,,,,-313818811.000000,93942049.000000,465012073.000000,80385852.000000,,3297927.000000,,-160857143.000000,-79300643.000000,,,-134360957.000000,,-69056776.000000,7084238.000000,,,,-5033368.000000,-5600000.000000,,-7629154.000000,,,,93942049.000000,-56608980.000000,263973998.000000,-407837.000000,,-317269.000000,206639912.000000
12M 2015,111334117.000000,624996980.000000,,,-482125981.000000,-31536882.000000,111334117.000000,,-149212724.000000,-2000000.000000,56573323.000000,-92360829.000000,-157761576.000000,,,-11017582.000000,,,,,,,-2844495.000000,,-550856.000000,-3084553.000000,,,,1550850.000000,659995.000000,6487228.000000,,-75000000.000000,,,127465408.000000,,,,,,55789.000000,2614574.000000,,,-149212724.000000,295907320.000000,737579016.000000,70690000.000000,,,,-378344318.000000,,,-3074888.000000,,,-69385857.000000,-789191.000000,,,,-4045475.000000,-6400000.000000,,-50321967.000000,,,,295907320.000000,258028713.000000,206639912.000000,117712.000000,,-1611104.000000,463175233.000000
12M 2016,44664753.000000,521735174.000000,,,-453553796.000000,-23516625.000000,44664753.000000,,-584434632.000000,-63000000.000000,218901936.000000,-87858518.000000,-261521269.000000,,,-325942.000000,,,,,,,-21127908.000000,,,-128988.000000,,,,750000.000000,,4629175.000000,,,-373831.000000,,,,29620713.000000,-404000000.000000,,,,,,,-584434632.000000,246448032.000000,330000000.000000,267105804.000000,,,,-174704430.000000,-80005665.000000,,-1708040.000000,,,-93370876.000000,4731239.000000,,,,,-5600000.000000,,,,,,246448032.000000,-293321847.000000,463175233.000000,-5963019.000000,-62223.000000,732740.000000,164560884.000000
12M 2017,444753985.000000,1101867718.000000,,,-490117616.000000,-166996117.000000,444753985.000000,,-243940420.000000,-2665000.000000,43024398.000000,-184894894.000000,-93179667.000000,,,-28105415.000000,,,,,25217205.000000,,-1908202.000000,,,-5485067.000000,,,,,10821392.000000,4512765.000000,,,,,-1306670.000000,,,,-9971265.000000,,,,,,-243940420.000000,121007026.000000,370612648.000000,567062708.000000,,,,-468240207.000000,-240689343.000000,,,,,-124691425.000000,-119977890.000000,,,191642042.000000,,-6720000.000000,,-60007529.000000,12016022.000000,,,121007026.000000,321820591.000000,164560884.000000,3072130.000000,-54537.000000,-358490.000000,489040578.000000
