Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Beban Bunga,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,110101064744.000000,-82752671167.000000,27348393577.000000,-8690464404.000000,-8690464404.000000,-8690464404.000000,18657929173.000000,1592032653.000000,8055129.000000,-46205625.000000,-3573060780.000000,5203243929.000000,1592032653.000000,20249961826.000000,-1678939437.000000,18571022389.000000,388717803.000000,18959740192.000000,18571022389.000000,18571022389.000000,,18571022389.000000,18959740192.000000,18959740192.000000,,18959740192.000000
12M 2019,207203695294.000000,-172200749625.000000,35002945669.000000,-12032409870.000000,-12032409870.000000,-12032409870.000000,22970535799.000000,4566712049.000000,5555317091.000000,-164263172.000000,-3059460821.000000,2235118951.000000,4566712049.000000,27537247848.000000,-3824963783.000000,23712284065.000000,-99602758.000000,23612681307.000000,23712284065.000000,23712284065.000000,,23712284065.000000,23612681307.000000,23612681307.000000,,23612681307.000000
12M 2020,125916873577.000000,-138323919188.000000,-12407045611.000000,-16080639586.000000,-16080639586.000000,-16080639586.000000,-28487685197.000000,3123931065.000000,8049402994.000000,-29867545.000000,-6457192069.000000,1561587685.000000,3123931065.000000,-25363754132.000000,-3798260556.000000,-29162014688.000000,72457495.000000,-29089557193.000000,-29162014688.000000,-29162014688.000000,,-29162014688.000000,-29089557193.000000,-29089557193.000000,,-29089557193.000000
12M 2021,54902595928.000000,-267860931312.000000,-212958335384.000000,-14645393278.000000,-14645393278.000000,-14645393278.000000,-227603728662.000000,-2203899587.000000,1130426958.000000,-35065120.000000,-5755184664.000000,2455923239.000000,-2203899587.000000,-229807628249.000000,-1798020588.000000,-231605648837.000000,34841183.000000,-231570807654.000000,-231605648837.000000,-231605648837.000000,,-231605648837.000000,-231570807654.000000,-231570807654.000000,,-231570807654.000000
12M 2022,918021149.000000,-34403155512.000000,-33485134363.000000,-8651180622.000000,-8651180622.000000,-8651180622.000000,-42136314985.000000,-390692892.000000,33651503.000000,-39148597.000000,-5755017466.000000,5369821668.000000,-390692892.000000,-42527007877.000000,-687084686.000000,-43214092563.000000,19165950.000000,-43194926613.000000,-43214092563.000000,-43214092563.000000,,-43214092563.000000,-43194926613.000000,-43194926613.000000,,-43194926613.000000
12M 2023,853734399.000000,-506803185.000000,346931214.000000,-11985610283.000000,-11985610283.000000,-11985610283.000000,-11638679069.000000,-4083245479.000000,44820871.000000,-33693024.000000,-4860375976.000000,766002650.000000,-4083245479.000000,-15721924548.000000,-169709197.000000,-15891633745.000000,29610186.000000,-15862023559.000000,-15891633745.000000,-15891633745.000000,,-15891633745.000000,-15862023559.000000,-15862023559.000000,,-15862023559.000000
12M 2024,1328006083.000000,-1194915217.000000,133090866.000000,-7638814326.000000,-7638814326.000000,-7638814326.000000,-7505723460.000000,3063352538.000000,2850188.000000,-38279582.000000,-3972157744.000000,7070939676.000000,3063352538.000000,-4442370922.000000,-533233003.000000,-4975603925.000000,5382482.000000,-4970221443.000000,-4975603925.000000,-4975603925.000000,,-4975603925.000000,-4970221443.000000,-4970221443.000000,,-4970221443.000000
