Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Usaha,Penghasilan Bunga Yang Diterima,Pembayaran Pajak Penghasilan Dan Pajak Lainnya,Beban Keuangan,Penerimaan (Pembayaran) Lainnya - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penurunan (Kenaikan) Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham,Penambahan Modal Disetor,Penerimaan (Pembayaran) Utang Bank,Penerimaan (Pembayaran) Utang Lain-Lain Berelasi,Penerimaan (Pembayaran) Piutang Lain-Lain Berelasi,Penerimaan Pinjaman Lain-Lain,Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-13296690909.000000,26791650086.000000,-27753740524.000000,-4001919999.000000,-8843712784.000000,8055129.000000,-1081000301.000000,-3573060780.000000,5157038264.000000,-13296690909.000000,-2652165550.000000,,-672795757.000000,-1979369793.000000,-2652165550.000000,9607131639.000000,,,-41846442056.000000,45517544420.000000,5581232812.000000,,354796463.000000,9607131639.000000,,-6341724820.000000,7212226612.000000,870501792.000000
12M 2019,-49165016261.000000,222135994236.000000,-258281379387.000000,-3400144255.000000,-4482943394.000000,5555317091.000000,-9442923088.000000,-3223723993.000000,1974786529.000000,-49165016261.000000,2076514793.000000,,-82855000.000000,2159369793.000000,2076514793.000000,251342075171.000000,,198817262875.000000,65871953781.000000,-22509514859.000000,9293762510.000000,,-131389136.000000,251342075171.000000,,204253573703.000000,870501792.000000,205124075495.000000
12M 2020,89153940475.000000,126606549614.000000,-22256751317.000000,-4926783146.000000,-9728753515.000000,8049402994.000000,-3736709721.000000,-6487059614.000000,1634045180.000000,89153940475.000000,-743737000.000000,,-743737000.000000,,-743737000.000000,2980051556.000000,,31620000.000000,3093619325.000000,,,,-145187769.000000,2980051556.000000,,91390255031.000000,205124075495.000000,296514330526.000000
12M 2021,-246072015025.000000,24619451047.000000,-250215210001.000000,-6753351497.000000,-8454196561.000000,1130426958.000000,-2743224094.000000,-5790249784.000000,2134338907.000000,-246072015025.000000,-1967205071.000000,,-1967205071.000000,,-1967205071.000000,-41333212076.000000,,,,-41254992518.000000,,,-78219558.000000,-41333212076.000000,,-289372432172.000000,296514330526.000000,7141898354.000000
12M 2022,11323744800.000000,43926080222.000000,-21994818774.000000,-4442344082.000000,-3799386927.000000,33651503.000000,630711785.000000,-5794166063.000000,2764017136.000000,11323744800.000000,-1167956486.000000,,-1167956486.000000,,-1167956486.000000,-10000000000.000000,,,-10000000000.000000,,,,,-10000000000.000000,,155788314.000000,7141898354.000000,7297686668.000000
12M 2023,9739911131.000000,21889915481.000000,-307549937.000000,-2301777937.000000,-6073662608.000000,44820871.000000,-1356000301.000000,-4894069000.000000,2738234562.000000,9739911131.000000,-520705027.000000,,-520705027.000000,,-520705027.000000,-12969456223.000000,,,-13000000000.000000,-364644095.000000,438008411.000000,,-42820539.000000,-12969456223.000000,-57870367.000000,-3808120486.000000,7297686669.000000,3489566183.000000
12M 2024,3100110686.000000,7790035507.000000,-1666850860.000000,-2630484654.000000,-3488449294.000000,2850188.000000,-2123471386.000000,-4010437326.000000,9226918511.000000,3100110686.000000,-203856100.000000,,-203856100.000000,,-203856100.000000,-5108063894.000000,,,-5000000000.000000,,,,-108063894.000000,-5108063894.000000,107508990.000000,-2104300318.000000,3489566183.000000,1385265865.000000
