Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Beban Penjualan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,415563943454.000000,-332296729488.000000,83267213966.000000,-43317890821.000000,-19539418682.000000,-23778472139.000000,,,-43317890821.000000,39949323145.000000,-23077109501.000000,447389277.000000,-3601134716.000000,,-14411850705.000000,,,-5511513357.000000,-23077109501.000000,16872213644.000000,4703732021.000000,21575945665.000000,,21575945665.000000,,,21575945665.000000,21575945665.000000,,,21575945665.000000,,,,
12M 2009,359943644019.000000,-288392510127.000000,71551133892.000000,-36031400220.000000,-13370194185.000000,-22661206035.000000,,,-36031400220.000000,35519733672.000000,-6115730850.000000,84250135.000000,2212212842.000000,,-35698169208.000000,,,27285975381.000000,-6115730850.000000,29404002822.000000,-1361839915.000000,28042162907.000000,-713941148.000000,27328221759.000000,,,27328221759.000000,28042162907.000000,-713941148.000000,,27328221759.000000,,,,
12M 2010,582295693684.000000,-477418452759.000000,104877240925.000000,-36232541954.000000,-6157672339.000000,-30074869615.000000,,,-36232541954.000000,68644698971.000000,-61361845260.000000,464340228.000000,1261241419.000000,,-64765943307.000000,,,1678516400.000000,-61361845260.000000,7282853711.000000,8621800335.000000,15904654046.000000,-1332144246.000000,14572509800.000000,,,14572509800.000000,15904654046.000000,-1332144246.000000,,14572509800.000000,,,,
12M 2011,650546996469.000000,-543673623648.000000,106873372821.000000,-54319043482.000000,-22211714386.000000,-32107329096.000000,,,-54319043482.000000,52554329339.000000,-74312105320.000000,1764135741.000000,-46063396477.000000,15483030284.000000,-52922916316.000000,,,7427041448.000000,-74312105320.000000,-21757775981.000000,1517532364.000000,-20240243617.000000,,-20240243617.000000,,-20240243617.000000,-20240243616.000000,-20697619228.000000,457375612.000000,,-20240243616.000000,-20240243616.000000,-20697619228.000000,457375612.000000,-20240243616.000000
12M 2012,780233550859.000000,-650673304346.000000,129560246513.000000,-60490068023.000000,-20191301445.000000,-40298766578.000000,,,-60490068023.000000,69070178490.000000,-5292192707.000000,,,,-5547425509.000000,,,255232802.000000,-5292192707.000000,63777985783.000000,7261453909.000000,71039439692.000000,,71039439692.000000,,71039439692.000000,71039439692.000000,69162140613.000000,1877299079.000000,,71039439692.000000,71039439692.000000,69162140613.000000,1877299079.000000,71039439692.000000
12M 2013,910845835792.000000,-739757702265.000000,171088133527.000000,-76830955639.000000,-21582184693.000000,-55248770946.000000,,,-76830955639.000000,94257177888.000000,12448828707.000000,,,,,,,12448828707.000000,12448828707.000000,106706006595.000000,-31345700327.000000,75360306268.000000,,75360306268.000000,,75360306268.000000,75360306268.000000,70106785429.000000,5253520839.000000,,75360306268.000000,75360306268.000000,70106785429.000000,5253520839.000000,75360306268.000000
12M 2014,898976979994.000000,-739947969045.000000,159029010949.000000,-66544584053.000000,-21588552429.000000,-44956031624.000000,,,-66544584053.000000,92484426896.000000,26247842022.000000,,,,,,,26247842022.000000,26247842022.000000,118732268918.000000,-26492865760.000000,92239403158.000000,,92239403158.000000,,92239403158.000000,92239403158.000000,87596104005.000000,4643299153.000000,,92239403158.000000,92239403158.000000,87596104005.000000,4643299153.000000,92239403158.000000
12M 2015,800392438557.000000,-844723765039.000000,-44331326482.000000,-130484551476.000000,-45027460439.000000,-85457091037.000000,,,-130484551476.000000,-174815877958.000000,-33250598434.000000,12013550057.000000,-9253138465.000000,,,,,-36011010026.000000,-33250598434.000000,-208066476392.000000,44347231493.000000,-163719244899.000000,,-163719244899.000000,-18368916750.000000,-182088161649.000000,-163719244899.000000,-151660170996.000000,-12059073903.000000,,-163719244899.000000,-182088161649.000000,-168799318550.000000,-13288843099.000000,-182088161649.000000
12M 2016,863715000000.000000,-915876000000.000000,-52161000000.000000,-114275000000.000000,-25747000000.000000,-88528000000.000000,,,-114275000000.000000,-166436000000.000000,509000000.000000,2864000000.000000,2506000000.000000,,,,,-4861000000.000000,509000000.000000,-165927000000.000000,-86572000000.000000,-252499000000.000000,,-252499000000.000000,-9158000000.000000,-261657000000.000000,-252499000000.000000,-240198000000.000000,-12301000000.000000,,-252499000000.000000,-9158000000.000000,-8620000000.000000,-538000000.000000,-9158000000.000000
12M 2017,810064124425.000000,-807285117720.000000,2779006705.000000,-100072506995.000000,-11565792744.000000,-88506714251.000000,,,-100072506995.000000,-97293500290.000000,2582824110.000000,723269302.000000,-2737413804.000000,,,,,4596968612.000000,2582824110.000000,-94710676180.000000,9409699625.000000,-85300976555.000000,,-85300976555.000000,-7998798750.000000,-93299775305.000000,-85300976555.000000,-80734111970.000000,-4566864585.000000,,-85300976555.000000,-7998798750.000000,-7488622757.000000,-510175993.000000,-7998798750.000000
