Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Beban Usaha Serta Beban Lain-Lain,"Pembayaran Gaji, Upah Dan Kesejahteraan Karyawan",Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan,Pengembalian Pajak,Pembayaran Imbalan Pasca Kerja,Pencairan Bank Yang Dibatasi Penggunaanya,Penerimaan Jasa Giro/Bunga Bank,Pendapatan (Beban) Lain-Lain,Penerimaan Dari Aktivitas Operasi Lainnya,Piutang /Hutang Hubungan Istimewa,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Pembayaran Simpanan Jaminan,Penjualan Aset Yang Tidak Digunakan Dalam Operasi,Uang Muka Pembelian Aset Tak Berwujud,Perolehan Aset Tak Berwujud,Piutang Dari Pihak Berelasi,Penurunan Aset Tidak Lancar Lain-Lain,Hasil Penjualan Properti Investasi,Penerimaan Kembali Penghapusan Investasi,Pembayaran Peningkatan Penyertaan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Pajak Piutang,Pembayaran Hutang Jangka Panjang,Pembayaran Jaminan Transaksi Sewa,Pembayaran Hutang Bank,Pembayaran Liabilitas Sewa,Penerimaan Hutang Bank,Perubahan Modal Saham Pada Entitas Anak Oleh Kepentingan Nonpengendali,Penerimaan Fasilitas Pinjaman /Kredit Bank,Pembayaran Fasilitas Pinjaman/Kredit Bank,Pembayaran Utang Senior Amortizing Loan,Pembayaran Utang Obligasi Konversi,Penerimaan Penjualan Saham Hmetd (Put Ii),Pembayaran Utang Sewa Dan Utang Cicilan Kendaraan,Pembayaran (Penerimaan) Piutang Lain-Lain,Pembayaran Deviden,Penambahan (Pembayaran) Kepada Pihak Berelasi,Arus Kas Bersih Aktivitas Pendanaan,Penerimaan (Pembayaran) Jaminan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Entitas Anak Yang Diakuisisi,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-10941228997.000000,416712093089.000000,-330479965387.000000,-44491951523.000000,-15927750471.000000,-18934295645.000000,,,,447398277.000000,,,-18266757337.000000,-10941228997.000000,-1823289690.000000,-1881515984.000000,,,,,,,58226294.000000,,,,-1823289690.000000,13396919033.000000,204400000000.000000,-201064000000.000000,,,,14097994036.000000,,,,,,,,-137075003.000000,,,,-3900000000.000000,13396919033.000000,632400346.000000,2710730685.000000,,,,3343131031.000000
12M 2009,-39498084053.000000,394316776213.000000,-304920578138.000000,-47446789833.000000,-41331906391.000000,-40199836039.000000,,,,84250135.000000,,,,-39498084053.000000,-4412698389.000000,-4366983765.000000,,,,,,,-45714624.000000,,85000000000.000000,-85000000000.000000,-4412698389.000000,45728760095.000000,50000000000.000000,,,,,,,,,,,,-4155551421.000000,-115688484.000000,,,,,45728760095.000000,1817977653.000000,3343131031.000000,,7641629679.000000,,12802738363.000000
12M 2010,36856941565.000000,670561023186.000000,-466047259408.000000,-75125020097.000000,-64935025572.000000,-28061116772.000000,,,,464340228.000000,,,,36856941565.000000,-24078031689.000000,-24568311828.000000,105441249.000000,,,,,,384838890.000000,,,,-24078031689.000000,-22354876313.000000,-199750000000.000000,,,,,,,370271169849.000000,,,,,-215331594872.000000,277770934.000000,,,,22177777776.000000,-22354876313.000000,-9575966437.000000,12802738364.000000,,,,3226771927.000000
12M 2011,39280263185.000000,769871273003.000000,-577417247756.000000,-80554612691.000000,-44411269032.000000,-38948463788.000000,,,,1764135741.000000,8976447708.000000,,,39280263185.000000,-10988950073.000000,-27381120990.000000,1028054546.000000,-46986400.000000,,,,,15411102771.000000,,,,-10988950073.000000,39046445268.000000,,,,,,,,735682500000.000000,-370271169849.000000,-78000000000.000000,-247000000000.000000,,-1013705639.000000,-351179244.000000,,,,,39046445268.000000,67337758380.000000,3226771927.000000,,,,70564530307.000000
12M 2012,131131527922.000000,743333041456.000000,-554655609274.000000,-88396835751.000000,-5547425509.000000,,36056668564.000000,,,5684254664.000000,-5342566228.000000,,,131131527922.000000,-96475085676.000000,-98309240349.000000,1694363636.000000,11000000.000000,,,,,128791037.000000,,,,-96475085676.000000,49393022639.000000,,,,,,,,,-784382000000.000000,,,834299809664.000000,-13609557.000000,-511177468.000000,,,,,49393022639.000000,84049464885.000000,70564530308.000000,,,,154613995193.000000
12M 2013,202177490839.000000,950200176193.000000,-748573220267.000000,,,-12768783300.000000,,,,13319318213.000000,,,,202177490839.000000,-63578494628.000000,-67278830384.000000,3361580910.000000,,,,,338754846.000000,,,,,-63578494628.000000,-3522369110.000000,,,,,,,,,,,,,,,-3522369110.000000,,,,-3522369110.000000,135076627101.000000,154613995193.000000,,,,289690622294.000000
12M 2014,53807189894.000000,832947262894.000000,-758496841202.000000,,,-41843078630.000000,,,,21199846832.000000,,,,53807189894.000000,-98996217221.000000,-118850236056.000000,20596558973.000000,,,-742540138.000000,,,,,,,-98996217221.000000,-23994495707.000000,,,,,,,,,,,,,,,-22163027930.000000,-1831467777.000000,,,-23994495707.000000,-69183523034.000000,289690622294.000000,19566534.000000,,,220526665794.000000
12M 2015,-42053692493.000000,707895080400.000000,-747157057574.000000,,,-16354709067.000000,1568991265.000000,,,11994002483.000000,,,,-42053692493.000000,-86337499606.000000,-90977370935.000000,5053352722.000000,,,-413481393.000000,,,,,,,-86337499606.000000,-22681147363.000000,,,,,,,,,,,,,,,-22681147363.000000,,,,-22681147363.000000,-151072339462.000000,220526665794.000000,13728057.000000,,-14694774478.000000,54773279911.000000
12M 2016,25239000000.000000,875628000000.000000,-847584000000.000000,,,-5705000000.000000,,,,2900000000.000000,,,,25239000000.000000,-46051000000.000000,-46600000000.000000,581000000.000000,,,,-32000000.000000,,,,,,-46051000000.000000,,,,,,,,,,,,,,,,,,,,,-20812000000.000000,54773000000.000000,,,,33961000000.000000
12M 2017,-17868868446.000000,781615402439.000000,-799907332489.000000,,,-1979814259.000000,,,,738330408.000000,,1664545455.000000,,-17868868446.000000,-6707591954.000000,-11021281955.000000,2808000001.000000,,,,-10630000.000000,,,1516320000.000000,,,-6707591954.000000,,,,,,,,,,,,,,,,,,,,,-24576460400.000000,33960630274.000000,,,,9384169874.000000
