Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Pengurangan (Penambahan) Jaminan Operasional,Pembayaran Uang Muka,Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Kenaikan Aset Dalam Penyelesaian,Kenaikan Aset Lain-Lain,Kenaikan Jaminan Gedung,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Beban Keuangan Lainnya,Penerimaan Sehubungan Dengan Penawaran Umum Perdana,Pembayaran Atas Liabilitas Sewa,Penerimaan Dari Penerbitan Saham Melalui Right Issue,Penambahan Modal Tanpa Hak Memesan Efek Terlebih Dahulu,Pembelian Kembali Saham Oleh Perusahaan,Penerimaan Dari Kepentingan Non-Pengendali Pada Anak Yang Didirikan,Penerbitan Modal Saham Entitas Anak Yang Menjadi Bagian Kepentingan Nonpengendali,Penerimaan Dari Penerbitan Modal Saham,Pembayaran Biaya Emisi Saham,Pembayaran Bunga,Kenaikan/(Penurunan) Utang Lain-Lain Dari Pihak Berelasi,Kenaikan,Penurunan,Total Kenaikan/(Penurunan) Utang Lain-Lain Dari Pihak Berelasi,Penurunan Utang Lain-Lain Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-1205245655.000000,22427230.000000,-26146450.000000,-524516337.000000,-677010098.000000,-1205245655.000000,-1053673822.000000,4428627.000000,,,,-291202449.000000,-766900000.000000,,,,-1053673822.000000,2348019950.000000,-1980050.000000,,,,,,,,850000000.000000,,,,1500000000.000000,,1500000000.000000,,2348019950.000000,89100473.000000,136225161.000000,225325634.000000
12M 2019,-3310973091.000000,106100695.000000,-93707850.000000,-1594442522.000000,-1728923414.000000,-3310973091.000000,-3097592792.000000,32293942.000000,,,,-73428356.000000,-3009680878.000000,,,-46777500.000000,-3097592792.000000,6843785748.000000,-6344608.000000,,,,,,,,11500000000.000000,,,,,-3500000000.000000,-3500000000.000000,-1149869644.000000,6843785748.000000,435219865.000000,225325634.000000,660545499.000000
12M 2020,-5602222242.000000,103817965.000000,-84898595.000000,-4185620129.000000,-1435521483.000000,-5602222242.000000,-4503567353.000000,92100847.000000,,-2288000000.000000,,-50888200.000000,-2255000000.000000,,,-1780000.000000,-4503567353.000000,9872726966.000000,,12000000000.000000,,,,,,,,-1027273034.000000,,,,-1100000000.000000,-1100000000.000000,,9872726966.000000,-233062629.000000,660545498.000000,427482869.000000
12M 2021,-8782974700.000000,855087100.000000,-642956074.000000,-7806422444.000000,-1188683282.000000,-8782974700.000000,-4661779452.000000,2840548.000000,,-672000000.000000,,-148620000.000000,-3844000000.000000,,,,-4661779452.000000,19701228273.000000,,,-42255000.000000,20880454750.000000,,,,,,-1136971477.000000,,,,,,,19701228273.000000,6256474121.000000,427482869.000000,6683956990.000000
12M 2022,-2205102793.000000,2712685351.000000,-2239881474.000000,-973074262.000000,-1704832408.000000,-2205102793.000000,-538824000.000000,,,-400625000.000000,,-46979000.000000,-93000000.000000,,,1780000.000000,-538824000.000000,2503689999.000000,,,-75792483.000000,,2563200000.000000,-100000000.000000,,125000000.000000,,,-8717518.000000,,,,,,2503689999.000000,-240236794.000000,6683956990.000000,6443720196.000000
12M 2023,-6321603034.000000,6280958025.000000,-9239473085.000000,-946634505.000000,-2416453469.000000,-6321603034.000000,-66760968.000000,,-12965968.000000,,,,,,,-53795000.000000,-66760968.000000,542590000.000000,,,-79350445.000000,,252000000.000000,-24900000.000000,,,,,-5159555.000000,,,,,400000000.000000,542590000.000000,-5845774002.000000,6443720196.000000,597946194.000000
12M 2024,-2164494350.000000,1991602652.000000,-2194209793.000000,,-1961887209.000000,-2164494350.000000,11864100.000000,,,,,-16305900.000000,-25625000.000000,,,53795000.000000,11864100.000000,1742188000.000000,,,-55012000.000000,,547200000.000000,,,,,,,,,,,1250000000.000000,1742188000.000000,-410442250.000000,597946194.000000,187503944.000000
