Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Dalam Pelaksanaan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,225325634.000000,5864320.000000,,,5864320.000000,,,,,21642150.000000,252832104.000000,,,239086230.000000,,3913422917.000000,4152509147.000000,4405341251.000000,,,4779061961.000000,1450900.000000,,,1450900.000000,4700000000.000000,,,4700000000.000000,63263711.000000,14347350.000000,,,,,4779061961.000000,49407061.000000,,,,49407061.000000,49407061.000000,4828469022.000000,,1000000000.000000,,-1423127771.000000,,,-1423127771.000000,,,-423127771.000000,4405341251.000000,156250000.000000
12M 2019,,,660545498.000000,300000.000000,,,300000.000000,7128145.000000,7128145.000000,,7128145.000000,1685566696.000000,2353540339.000000,,,232364466.000000,,5605911166.000000,5838275632.000000,8191815971.000000,,,1353381715.000000,1900000.000000,,,1900000.000000,1150130356.000000,,,1150130356.000000,38001359.000000,163350000.000000,,,,,1353381715.000000,225427407.000000,,,,225427407.000000,225427407.000000,1578809122.000000,,12500000000.000000,,-5886993151.000000,,,-5886993151.000000,,,6613006849.000000,8191815971.000000,156250000.000000
12M 2020,,,427482869.000000,,,,,2602153312.000000,2558615000.000000,43538312.000000,2602153312.000000,2323380231.000000,5353016412.000000,,,146926117.000000,,5930205943.000000,6077132060.000000,11430148472.000000,,,284590464.000000,,,,,67685.000000,,,67685.000000,4522779.000000,280000000.000000,,,,,284590464.000000,103885223.000000,,,,103885223.000000,103885223.000000,388475687.000000,,24500000000.000000,,-13458327215.000000,,,-13458327215.000000,,,11041672785.000000,11430148472.000000,306250000.000000
12M 2021,,,6683956990.000000,239770000.000000,370000.000000,239400000.000000,239770000.000000,12528523.000000,12528523.000000,,12528523.000000,5600736199.000000,12536991712.000000,,,430282463.000000,,9122102389.000000,9552384852.000000,22089376564.000000,,,329260562.000000,,2200000.000000,,2200000.000000,,,,,7539079.000000,45800000.000000,,75792483.000000,75792483.000000,197929000.000000,329260562.000000,305940762.000000,,141298374.000000,141298374.000000,164642388.000000,305940762.000000,635201324.000000,,45380454750.000000,,-23926279510.000000,,,-23926279510.000000,,,21454175240.000000,22089376564.000000,723805095.000000
12M 2022,,,6443720196.000000,,,,,,,,,1240363841.000000,7684084037.000000,,23820047.000000,568287500.000000,,6015654253.000000,6607761800.000000,14291845837.000000,,,223396143.000000,,,1950000.000000,1950000.000000,,50000000.000000,,50000000.000000,15885698.000000,72700000.000000,,79350445.000000,79350445.000000,3510000.000000,223396143.000000,312394719.000000,,61947929.000000,61947929.000000,250446790.000000,312394719.000000,535790862.000000,,47270454750.000000,673200000.000000,-34194729333.000000,,,-34194729333.000000,19883785.000000,-12754227.000000,13756054975.000000,14291845837.000000,761659095.000000
12M 2023,,,597946194.000000,3708092054.000000,3708092054.000000,,3708092054.000000,,,,,214372270.000000,4520410518.000000,,12127456.000000,347905300.000000,,3382524167.000000,3742556923.000000,8262967441.000000,,,606412008.000000,,1115000.000000,,1115000.000000,,426700000.000000,,426700000.000000,20869079.000000,56250000.000000,,61947929.000000,61947929.000000,39530000.000000,606412008.000000,474552029.000000,,,,474552029.000000,474552029.000000,1080964037.000000,,47450454750.000000,745200000.000000,-41001060087.000000,,,-41001060087.000000,26100.000000,-12617359.000000,7182003404.000000,8262967441.000000,765259095.000000
12M 2024,,,187503944.000000,3411445474.000000,3411445474.000000,,3411445474.000000,,,,,55461436.000000,3654410854.000000,,,165442315.000000,,1213723958.000000,1379166273.000000,5033577127.000000,,,1763306928.000000,,640000.000000,,640000.000000,,1680650000.000000,,1680650000.000000,2866928.000000,79150000.000000,,,,,1763306928.000000,531366943.000000,,,,531366943.000000,531366943.000000,2294673871.000000,,47810454750.000000,932400000.000000,-45991344020.000000,,,-45991344020.000000,83332.000000,-12690806.000000,2738903256.000000,5033577127.000000,772459095.000000
