Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,28291550.000000,-26146450.000000,2145100.000000,-1414136609.000000,-1413995151.000000,-141458.000000,-1414136609.000000,-1411991509.000000,2848577.000000,4428627.000000,-1580050.000000,2848577.000000,-1409142932.000000,,-1409142932.000000,,-1409142932.000000,-1409142932.000000,-1409142932.000000,,-1409142932.000000,-1409142932.000000,-1409142932.000000,,-1409142932.000000
12M 2019,100536375.000000,-93707850.000000,6828525.000000,-4467958337.000000,-4467455655.000000,-502682.000000,-4467958337.000000,-4461129812.000000,25950451.000000,32293942.000000,-6343491.000000,25950451.000000,-4435179361.000000,,-4435179361.000000,-28686019.000000,-4463865380.000000,-4435179361.000000,-4435179361.000000,,-4435179361.000000,-4463865380.000000,-4463865380.000000,,-4463865380.000000
12M 2020,103517965.000000,-84898595.000000,18619370.000000,-5900739966.000000,-5900222376.000000,-517590.000000,-5900739966.000000,-5882120596.000000,-1684221108.000000,237858913.000000,-1922080021.000000,-1684221108.000000,-7566341704.000000,,-7566341704.000000,-4992360.000000,-7571334064.000000,-7566341704.000000,-7566341704.000000,,-7566341704.000000,-7571334064.000000,-7571334064.000000,,-7571334064.000000
12M 2021,896928100.000000,-642956074.000000,253972026.000000,-9773140638.000000,-9773140638.000000,,-9773140638.000000,-9519168612.000000,-998330748.000000,131696589.000000,-1130027337.000000,-998330748.000000,-10517499360.000000,,-10517499360.000000,49547065.000000,-10467952295.000000,-10517499360.000000,-10517499360.000000,,-10517499360.000000,-10467952295.000000,-10467952295.000000,,-10467952295.000000
12M 2022,2667334351.000000,-2239881474.000000,427452877.000000,-10790852513.000000,-10790852513.000000,,-10790852513.000000,-10363399636.000000,155717210.000000,61624867.000000,94092343.000000,155717210.000000,-10207682426.000000,23820047.000000,-10183862379.000000,-102457887.000000,-10286320266.000000,-10183862379.000000,-10165991937.000000,-17870442.000000,-10183862379.000000,-10286320266.000000,-10268449824.000000,-17870442.000000,-10286320266.000000
12M 2023,9953030079.000000,-9239473085.000000,713556994.000000,-7415966074.000000,-7415966074.000000,,-7415966074.000000,-6702409080.000000,37018818.000000,65741974.000000,-28723156.000000,37018818.000000,-6665390262.000000,-11757144.000000,-6677147406.000000,-124004165.000000,-6801151571.000000,-6677147406.000000,-6682336127.000000,5188721.000000,-6677147406.000000,-6801151571.000000,-6806330754.000000,5179183.000000,-6801151571.000000
12M 2024,1935948217.000000,-1760936234.000000,175011983.000000,-5283393817.000000,-5283393817.000000,,-5283393817.000000,-5108381834.000000,59264247.000000,1852224.000000,57412023.000000,59264247.000000,-5049117587.000000,-11176527.000000,-5060294114.000000,69993966.000000,-4990300148.000000,-5060294114.000000,-5060276177.000000,-17937.000000,-5060294114.000000,-4990300148.000000,-4990282380.000000,-17768.000000,-4990300148.000000
