Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diberikan,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pinjaman Yang Diterima,Utang Pajak,Liabilitas Pajak Tangguhan,Adjustment,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,22449000000.000000,178435000000.000000,261017000000.000000,,20702000000.000000,1737522000000.000000,1758224000000.000000,26384000000.000000,,3692000000.000000,259080000000.000000,2509281000000.000000,,,646000000.000000,2058575000000.000000,86062000000.000000,1972513000000.000000,2058575000000.000000,46631000000.000000,,8638000000.000000,,,22803000000.000000,2137293000000.000000,,333552000000.000000,16762000000.000000,21674000000.000000,100000000.000000,21574000000.000000,21674000000.000000,,371988000000.000000,2509281000000.000000,3335518900.000000
12M 2014,,36122000000.000000,316880000000.000000,810270000000.000000,,25258000000.000000,2413032000000.000000,2438290000000.000000,29315000000.000000,,1465000000.000000,478694000000.000000,4111036000000.000000,,,401000000.000000,3482969000000.000000,66306000000.000000,3416663000000.000000,3482969000000.000000,123742000000.000000,,5288000000.000000,,,25959000000.000000,3638359000000.000000,,423552000000.000000,22860000000.000000,26265000000.000000,200000000.000000,26065000000.000000,26265000000.000000,,472677000000.000000,4111036000000.000000,4235518900.000000
12M 2015,,32386000000.000000,266175000000.000000,412255000000.000000,,27810000000.000000,2717442000000.000000,2745252000000.000000,26908000000.000000,7047000000.000000,1248000000.000000,726097000000.000000,4217368000000.000000,,,329000000.000000,3494487000000.000000,98817000000.000000,3395670000000.000000,3494487000000.000000,126820000000.000000,,5200000000.000000,,,23435000000.000000,3650271000000.000000,,523274000000.000000,21124000000.000000,19769000000.000000,300000000.000000,19469000000.000000,19769000000.000000,2930000000.000000,567097000000.000000,4217368000000.000000,5232739042.000000
12M 2016,,25130000000.000000,226852000000.000000,307989000000.000000,,23381000000.000000,2851934000000.000000,2875315000000.000000,24647000000.000000,6715000000.000000,1379000000.000000,591923000000.000000,4059950000000.000000,,,188000000.000000,3419553000000.000000,117864000000.000000,3301689000000.000000,3419553000000.000000,38824000000.000000,,4596000000.000000,,,24283000000.000000,3487444000000.000000,,525618000000.000000,21124000000.000000,-103000000.000000,400000000.000000,22758000000.000000,-103000000.000000,2709000000.000000,549348000000.000000,4036792000000.000000,5256176644.000000
12M 2017,,21699000000.000000,223896000000.000000,331468000000.000000,,44173000000.000000,2708857000000.000000,2753030000000.000000,21471000000.000000,6837000000.000000,1791000000.000000,532324000000.000000,3892516000000.000000,,,179000000.000000,3284755000000.000000,65275000000.000000,3219480000000.000000,3284755000000.000000,7671000000.000000,,4728000000.000000,,,31029000000.000000,3328362000000.000000,,525618000000.000000,21124000000.000000,14839000000.000000,400000000.000000,14439000000.000000,14839000000.000000,2573000000.000000,564154000000.000000,3892516000000.000000,5256176644.000000
12M 2018,,30007000000.000000,232119000000.000000,411836000000.000000,,13382000000.000000,2908772000000.000000,2922154000000.000000,15792000000.000000,4239000000.000000,651000000.000000,534353000000.000000,4151151000000.000000,,,51891000000.000000,3488648000000.000000,127191000000.000000,3361457000000.000000,3488648000000.000000,41796000000.000000,,4523000000.000000,,,31490000000.000000,3618348000000.000000,,525618000000.000000,21124000000.000000,-16283000000.000000,400000000.000000,-16683000000.000000,-16283000000.000000,2344000000.000000,532803000000.000000,4151151000000.000000,5256176644.000000
12M 2019,,56028000000.000000,340948000000.000000,374956000000.000000,,13699000000.000000,3857108000000.000000,3870807000000.000000,134776000000.000000,55932000000.000000,8107000000.000000,1580290000000.000000,6421844000000.000000,,,162000000.000000,4868738000000.000000,12627000000.000000,4856111000000.000000,4868738000000.000000,293299000000.000000,,9549000000.000000,,,47496000000.000000,5219244000000.000000,,710835000000.000000,75501000000.000000,-265119000000.000000,400000000.000000,-265519000000.000000,-265119000000.000000,681383000000.000000,1202600000000.000000,6421844000000.000000,7108349644.000000
12M 2020,,49952000000.000000,298840000000.000000,1698475000000.000000,,,4835160000000.000000,4835160000000.000000,171496000000.000000,52044000000.000000,,2748068000000.000000,9854035000000.000000,,,162000000.000000,4870579000000.000000,,4870579000000.000000,4870579000000.000000,26746000000.000000,2942070000000.000000,8974000000.000000,5253000000.000000,,100413000000.000000,7954197000000.000000,,1122601000000.000000,360965000000.000000,-594301000000.000000,400000000.000000,-594701000000.000000,-594301000000.000000,1010573000000.000000,1899838000000.000000,9854035000000.000000,11226007038.000000
12M 2021,,70906000000.000000,413053000000.000000,2815637000000.000000,,,5878426000000.000000,5878426000000.000000,181661000000.000000,39005000000.000000,,4888222000000.000000,14286910000000.000000,,,162000000.000000,6322652000000.000000,,6322652000000.000000,6322652000000.000000,314759000000.000000,4526594000000.000000,5806000000.000000,,,121355000000.000000,11291328000000.000000,,1766649000000.000000,808912000000.000000,-581564000000.000000,400000000.000000,-581964000000.000000,-581564000000.000000,1001585000000.000000,2995582000000.000000,14286910000000.000000,17666492048.000000
12M 2022,,101892000000.000000,866351000000.000000,2670716000000.000000,,,7849119000000.000000,7849119000000.000000,147716000000.000000,27638000000.000000,15809000000.000000,6625346000000.000000,18304587000000.000000,,,,8380025000000.000000,,8380025000000.000000,8380025000000.000000,953120000000.000000,4592413000000.000000,8559000000.000000,,,202205000000.000000,14136322000000.000000,,2764954000000.000000,906080000000.000000,-478077000000.000000,400000000.000000,-478477000000.000000,-478077000000.000000,975308000000.000000,4168265000000.000000,18304587000000.000000,27649535711.000000
