Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2013,,,,,,,,,,,,,,,0.0
12M 2014,,,,,,,,,11.51,,0.1,,,,0.0
12M 2015,,,,,,,,,14.5,14.76,0.1,0.1,,,0.0
12M 2016,,,,,,,,,14.54,15.86,0.09,0.09,,,0.0
12M 2017,,,,,,,,,15.57,17.02,0.09,0.09,,,0.0
12M 2018,,,,,,,,,18.45,21.67,0.09,0.08,,,0.0
12M 2019,,,,,,,,,7.17,5.74,0.1,0.08,,,0.0
12M 2020,,,,,,,,,2.82,2.94,0.05,0.05,,,0.0
12M 2021,,,,,,,,,3.08,3.71,0.05,0.04,,,0.0
12M 2022,,,,,,,,,4.78,5.3,0.05,0.05,,,0.0
12M 2023,,,,,,,,,9.44,10.28,0.07,0.06,,,0.0
12M 2024,,,,,,,,,9.75,10.65,0.07,0.07,,,0.0
