Period,Arus Kas Dari Aktivitas Operasi,Pendapatan Bunga Yang Diterima,Beban Bunga Yang Dibayar,Penerimaan Pendapatan Lainnya,Pembayaran Umum Dan Administrasi,Pembayaran Tenaga Kerja,Pembayaran Kas Untuk Pajak,Pembayaran Beban Lainnya,Kenaikan Dalam Aset Operasi:,Penematan Pada Bank Lain,Efek-Efek,Tagihan Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Tagihan Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Kredit Yang Dlberlkan,Biaya Dibayar Dimuka Dan Aset Lainnya,Aset Lain-Lain,Total Kenaikan Dalam Aset Operasi:,Kenaikan (Penurunan) Dalam Liabilitas Operasi:,Liabilitas Segera,Simpanan Nasabah,Simpanan Dari Bank Lain,Utang Pajak,Biaya Yang Masih Harus Dibayar Dan Liabilitas Lainnya,Total Kenaikan (Penurunan) Dalam Liabilitas Operasi:,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembelian Aset Tak Berwujud,Penempatan Pada Efek-Efek Tersedia Untuk Dijual,Hasil Penjualan Agunan Yang Diambil Alih,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Saham,Penerimaan Dari Pinjaman Yang Diterima,Pembayaran Dari Pinjaman Yang Diterima,Penerimaan Atas Right Issue,Pembayaran Biaya Emisi,Pembayaran Liabilitas Sewa,Dana Setoran Modal,Modal Saham Dibeli Kembali,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Efek Penggabungan Usaha,Kas Dan Setara Kas Akhir Periode
12M 2013,58727000000.000000,157261000000.000000,-90920000000.000000,2470000000.000000,-6371000000.000000,-35581000000.000000,,-1042000000.000000,,,-161322000000.000000,,,-960814000000.000000,-11860000000.000000,,-1133996000000.000000,,12000000.000000,1148996000000.000000,15612000000.000000,2211000000.000000,75000000.000000,1166906000000.000000,,58727000000.000000,-22742000000.000000,-22869000000.000000,,,,127000000.000000,-22742000000.000000,100000000000.000000,100000000000.000000,,,,,,,,,100000000000.000000,135985000000.000000,375800000000.000000,,511785000000.000000
12M 2014,728046000000.000000,324076000000.000000,-233078000000.000000,2445000000.000000,-27793000000.000000,-46968000000.000000,-7269000000.000000,-1789000000.000000,,,-90972000000.000000,,,-679376000000.000000,-13366000000.000000,,-783714000000.000000,,-245000000.000000,1424394000000.000000,77111000000.000000,2129000000.000000,-1253000000.000000,1502136000000.000000,,728046000000.000000,-9740000000.000000,-9960000000.000000,,,,220000000.000000,-9740000000.000000,96098000000.000000,96098000000.000000,,,,,,,,,96098000000.000000,814404000000.000000,511785000000.000000,,1326189000000.000000
12M 2015,-511254000000.000000,407996000000.000000,-287123000000.000000,123000000.000000,-42383000000.000000,-54364000000.000000,-4387000000.000000,-2227000000.000000,,,-231197000000.000000,,,-317120000000.000000,6144000000.000000,,-542173000000.000000,,-72000000.000000,11518000000.000000,3077000000.000000,-1419000000.000000,180000000.000000,13284000000.000000,,-511254000000.000000,-11751000000.000000,-13214000000.000000,-369000000.000000,,,1832000000.000000,-11751000000.000000,97986000000.000000,97986000000.000000,,,,,,,,,97986000000.000000,-425019000000.000000,1326189000000.000000,,901170000000.000000
12M 2016,-306147000000.000000,375423000000.000000,-245450000000.000000,940000000.000000,-50372000000.000000,-62491000000.000000,-3588000000.000000,-2712000000.000000,,-39020000000.000000,17098000000.000000,,,-134853000000.000000,1047000000.000000,,-155728000000.000000,,-140000000.000000,-74934000000.000000,-87995000000.000000,416000000.000000,484000000.000000,-162169000000.000000,,-306147000000.000000,-6408000000.000000,-4621000000.000000,-1787000000.000000,,,,-6408000000.000000,2344000000.000000,2344000000.000000,,,,,,,,,2344000000.000000,-310211000000.000000,901170000000.000000,,590959000000.000000
12M 2017,16756000000.000000,372781000000.000000,-233606000000.000000,1774000000.000000,-46312000000.000000,-72541000000.000000,-1636000000.000000,-3021000000.000000,,38033000000.000000,29230000000.000000,,,116402000000.000000,-23002000000.000000,,160663000000.000000,,-10000000.000000,-134798000000.000000,-31153000000.000000,-1002000000.000000,5617000000.000000,-161346000000.000000,,16756000000.000000,-7305000000.000000,-5017000000.000000,-2288000000.000000,,,,-7305000000.000000,,,,,,,,,,,,9451000000.000000,590959000000.000000,,600410000000.000000
12M 2018,121168000000.000000,343384000000.000000,-208292000000.000000,7210000000.000000,-45049000000.000000,-72984000000.000000,-58000000.000000,-3355000000.000000,,986000000.000000,62204000000.000000,,,-208061000000.000000,-4117000000.000000,,-148988000000.000000,,-19000000.000000,203893000000.000000,34125000000.000000,-147000000.000000,11448000000.000000,249300000000.000000,,121168000000.000000,-20473000000.000000,-1694000000.000000,,-19104000000.000000,,325000000.000000,-20473000000.000000,,,,,,,,,,,,100695000000.000000,600410000000.000000,,701105000000.000000
12M 2019,-669292000000.000000,428107000000.000000,-284621000000.000000,8997000000.000000,-87381000000.000000,-68673000000.000000,-4000000.000000,-1085000000.000000,,,-445154000000.000000,,,-466777000000.000000,829665000000.000000,,-82266000000.000000,,-51730000000.000000,-769654000000.000000,251503000000.000000,-2580000000.000000,-9905000000.000000,-582366000000.000000,,-669292000000.000000,-160494000000.000000,-105677000000.000000,-54853000000.000000,,,36000000.000000,-160494000000.000000,699464000000.000000,,,,,,,700000000000.000000,-536000000.000000,,699464000000.000000,-130322000000.000000,701105000000.000000,292816000000.000000,863599000000.000000
12M 2020,-2430311000000.000000,429581000000.000000,-253334000000.000000,30921000000.000000,-121876000000.000000,-140961000000.000000,,-698000000.000000,,,653671000000.000000,,,-1161669000000.000000,-1582867000000.000000,-715000000.000000,-2091580000000.000000,,,1841000000.000000,-266553000000.000000,-575000000.000000,-17077000000.000000,-282364000000.000000,,-2430311000000.000000,-33894000000.000000,-26220000000.000000,-7674000000.000000,,,,-33894000000.000000,3922638000000.000000,,2942070000000.000000,,,-2770000000.000000,-16662000000.000000,1000000000000.000000,,,3922638000000.000000,1458433000000.000000,863599000000.000000,,2322032000000.000000
12M 2021,-1340110000000.000000,536422000000.000000,-230253000000.000000,79535000000.000000,-89534000000.000000,-153402000000.000000,,-2640000000.000000,,,-403162000000.000000,,,-1084206000000.000000,-1707493000000.000000,,-3194861000000.000000,,,1452072000000.000000,288013000000.000000,-3168000000.000000,-22294000000.000000,1714623000000.000000,,-1340110000000.000000,-18268000000.000000,-17837000000.000000,-439000000.000000,,,8000000.000000,-18268000000.000000,2645442000000.000000,,4553534000000.000000,-2983757000000.000000,94882000000.000000,-2887000000.000000,-16330000000.000000,1000000000000.000000,,,2645442000000.000000,1287064000000.000000,2322032000000.000000,,3609096000000.000000
12M 2022,-279385000000.000000,780857000000.000000,-322096000000.000000,401192000000.000000,-78577000000.000000,-156773000000.000000,,-4207000000.000000,,,-773615000000.000000,,,-2062959000000.000000,-781215000000.000000,,-3617789000000.000000,,,2057374000000.000000,638361000000.000000,2753000000.000000,19520000000.000000,2718008000000.000000,,-279385000000.000000,-27033000000.000000,-30805000000.000000,-1523000000.000000,,3240000000.000000,2055000000.000000,-27033000000.000000,848293000000.000000,,4486903000000.000000,-4705075000000.000000,98135000000.000000,-2629000000.000000,-29041000000.000000,1000000000000.000000,,,848293000000.000000,541875000000.000000,3609096000000.000000,,4150971000000.000000
