Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Usaha,Pembayaran Beban Keuangan,Penerimaan (Pembayaran) Pajak,Penerimaan Pendapatan Bunga,Pembayaran Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembayaran Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Pembayaran Piutang Lain-Lain,Penerimaan Piutang Lain-Lain,Pihak Ketiga,Total Penerimaan Piutang Lain-Lain,Pembayaran Piutang,Pihak Berelasi,Total Pembayaran Piutang,Penerimaan Piutang,Pihak Berelasi,Total Penerimaan Piutang,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Bank,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Liabilitas Sewa,Pembayaran Utang,Pihak Berelasi,Total Pembayaran Utang,Penerimaan Utang,Pihak Berelasi,Total Penerimaan Utang,Pembayaran Utang Lain-Lain,Pihak Ketiga,Total Pembayaran Utang Lain-Lain,Penerimaan Utang Lain-Lain,Pihak Ketiga,Total Penerimaan Utang Lain-Lain,Pembayaran Dividen Interim,Setoran Modal Saham,Agio Saham,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-2740094315.000000,16663599155.000000,-11750893374.000000,-2623628690.000000,-4524827883.000000,-37960319.000000,404026685.000000,608051.000000,-871017940.000000,-2740094315.000000,60484288.000000,-420949364.000000,-58306151.000000,,,-103000000.000000,,-103000000.000000,,331443896.000000,331443896.000000,,-690180869.000000,-690180869.000000,,1200000000.000000,1200000000.000000,-198523224.000000,60484288.000000,2313562100.000000,,,-14859900.000000,-1310000000.000000,,-1002688000.000000,-1002688000.000000,,2971110000.000000,2971110000.000000,,-350000000.000000,-350000000.000000,,2020000000.000000,2020000000.000000,-6124300000.000000,6124300000.000000,,,2313562100.000000,-366047927.000000,,1042595835.000000,676547908.000000
12M 2022,-1664031963.000000,31006777468.000000,-17282558652.000000,-5137735496.000000,-5186746861.000000,-217930761.000000,-3539653421.000000,1113421.000000,-1307297661.000000,-1664031963.000000,-3552331632.000000,-1889939363.000000,-198693849.000000,27027027.000000,,-400000000.000000,,-400000000.000000,,192591360.000000,192591360.000000,,-2003603820.000000,-2003603820.000000,,841748505.000000,841748505.000000,-121461492.000000,-3552331632.000000,6223775105.000000,-2344869686.000000,9988750665.000000,-59439600.000000,-1100000000.000000,,-260666274.000000,-260666274.000000,,,,,,,,,,,,,,6223775105.000000,1007411510.000000,,676547908.000000,1683959418.000000
12M 2023,-130740567273.000000,43305051164.000000,-153492372231.000000,-8884447608.000000,-5546508066.000000,-449302383.000000,-8997194073.000000,1158349309.000000,2165856615.000000,-130740567273.000000,-5844790795.000000,-1886155423.000000,-3618687797.000000,,,,,,,,,,-5458340317.000000,-5458340317.000000,,5216713400.000000,5216713400.000000,-98320658.000000,-5844790795.000000,165694451327.000000,-16387051275.000000,17743170296.000000,-50945427.000000,-1220810943.000000,,,,,,,,-2000000000.000000,-2000000000.000000,,,,-4919846957.000000,8000000000.000000,164529935633.000000,,165694451327.000000,29109093259.000000,,1683959418.000000,30793052677.000000
12M 2024,-21402282339.000000,3350743443.000000,-4863805684.000000,-9076500112.000000,-7668272101.000000,-1338950000.000000,-2502643844.000000,607352856.000000,89793103.000000,-21402282339.000000,-3273103330.000000,-1097904399.000000,-5295609501.000000,,,,,,,,,,-3957761820.000000,-3957761820.000000,,7341015975.000000,7341015975.000000,-262843585.000000,-3273103330.000000,-2976840884.000000,-1580969585.000000,1557414190.000000,-36575482.000000,-1276718240.000000,,,,,,,,,,,,,-1639991767.000000,,,,-2976840884.000000,-27652226553.000000,,30793052677.000000,3140826124.000000
