Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,3.20 B,,0.00,0.00,14.63 B,0.00%,0.00%,69.45%,342.85
12M 2022,3.20 B,,0.00,0.00,20.50 B,0.00%,0.00%,42.06%,84.92
12M 2023,4.00 B,4.08,74.51,20.35,22.25 B,6.58%,7.00%,14.26%,45.20
12M 2024,4.00 B,0.45,333.33,13.23,6.77 B,0.70%,0.76%,1.93%,3.42
