Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,5.80,313.67,5.80,313.67,325 B,5 B,330 B,314 B,709 B
12M 2009,3.98,338.93,3.98,338.93,153 B,3 B,156 B,148 B,724 B
12M 2010,4.84,386.76,4.84,386.76,2 B,1 B,3 B,(67 B),868 B
12M 2011,2.13,426.42,2.13,426.42,50 B,0 B,50 B,(198 B),"1,016 B"
12M 2012,1.72,459.53,1.72,459.53,50 B,1 B,51 B,(76 B),"1,143 B"
12M 2013,1.14,491.87,1.14,491.87,,0 B,0 B,(131 B),"1,224 B"
12M 2014,1.48,534.96,1.48,534.96,,0 B,0 B,(174 B),"1,319 B"
12M 2015,2.23,605.03,2.23,605.03,,0 B,0 B,(314 B),"1,499 B"
12M 2016,2.76,687.75,2.76,687.75,,0 B,0 B,(379 B),"1,740 B"
12M 2017,2.45,733.24,2.45,733.24,50 B,0 B,50 B,(486 B),"1,680 B"
12M 2018,2.18,769.84,2.18,769.84,100 B,0 B,100 B,6 B,"1,773 B"
12M 2019,1.36,772.05,1.36,772.05,150 B,1 B,151 B,(44 B),"1,760 B"
12M 2020,1.26,819.29,1.26,819.29,1 B,2 B,3 B,(599 B),"1,862 B"
12M 2021,1.09,909.12,1.09,909.12,1 B,0 B,1 B,"(1,094 B)","2,122 B"
12M 2022,1.57,1016.47,1.57,1016.47,1 B,0 B,1 B,"(1,501 B)","2,393 B"
12M 2023,1.39,1148.58,1.39,1148.58,0 B,1 B,1 B,"(1,041 B)","2,544 B"
12M 2024,1.06,1129.24,1.06,1129.24,0 B,3 B,3 B,(564 B),"2,381 B"
