Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Untuk Beban Usaha,Penerimaan Dari (Pembayaran Untuk):,Pajak Penghasilan Badan,Biaya Keuangan,Pendapatan Bunga,Tagihan Pajak Penghasilan,Klaim Asuransi,Kegiatan Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Pembelian Aset Tetap,Pembayaran Untuk Akuisisi Kepentingan Nonpengendali Entitas Anak,Perolehan Aset Hak Guna,Hasil Penjualan Saham Anak Perusahaan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari:,Utang Bank Jangka Pendek,Utang Bank - Bersih,Piutang Pihak Hubungan Istimewa,Utang Pihak Hubungan Istimewa,Penerbitan Modal Saham Anak Perusahaan Dari Pemegang Saham Minoritas,Total Penerimaan Dari:,Pembayaran Untuk:,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Utang Bank - Bersih,Dividen Tunai,Utang Sewa Pembiayaan,Dividen Tunai Kepada Pemegang Saham Nonpengendali Entitas Anak,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-119854000000.000000,1030669000000.000000,-997575000000.000000,,,-997575000000.000000,,,-109003000000.000000,-27274000000.000000,885000000.000000,,,-17556000000.000000,-119854000000.000000,-124202000000.000000,-124482000000.000000,270000000.000000,,,,10000000.000000,-124202000000.000000,250937000000.000000,,232111000000.000000,,24836000000.000000,12000000.000000,10000000.000000,256969000000.000000,,,-4000000000.000000,,,-2032000000.000000,,-6032000000.000000,250937000000.000000,6881000000.000000,,9311000000.000000,16192000000.000000
12M 2009,187061000000.000000,1176937000000.000000,-740250000000.000000,,,-740250000000.000000,,,-201802000000.000000,-49511000000.000000,937000000.000000,8920000000.000000,,-8170000000.000000,187061000000.000000,-21785000000.000000,-22048000000.000000,263000000.000000,,,,,-21785000000.000000,-173720000000.000000,,,,,,,,,-169057000000.000000,-2500000000.000000,,,-2163000000.000000,,-173720000000.000000,-173720000000.000000,-8444000000.000000,,16192000000.000000,7748000000.000000
12M 2010,223150000000.000000,947361000000.000000,-671356000000.000000,,,-671356000000.000000,,,-46477000000.000000,-11458000000.000000,151000000.000000,4606000000.000000,,323000000.000000,223150000000.000000,-8030000000.000000,-17240000000.000000,9210000000.000000,,,,,-8030000000.000000,-153350000000.000000,,146403000000.000000,,,,,146403000000.000000,,-297483000000.000000,,,,-2270000000.000000,,-299753000000.000000,-153350000000.000000,61770000000.000000,,7748000000.000000,69518000000.000000
12M 2011,233599000000.000000,1075712000000.000000,-870906000000.000000,,,-870906000000.000000,,,-36282000000.000000,-213000000.000000,10045000000.000000,69008000000.000000,,-13765000000.000000,233599000000.000000,-71430000000.000000,-17601000000.000000,113000000.000000,,-53942000000.000000,,,-71430000000.000000,16839000000.000000,,82199000000.000000,,,,,82199000000.000000,,-33175000000.000000,,,-30000000000.000000,-2182000000.000000,-3000000.000000,-65360000000.000000,16839000000.000000,179008000000.000000,5000000.000000,69518000000.000000,248531000000.000000
12M 2012,-76926000000.000000,906977000000.000000,-962262000000.000000,,,-962262000000.000000,,,-51788000000.000000,-883000000.000000,7982000000.000000,12671000000.000000,,10377000000.000000,-76926000000.000000,-14312000000.000000,-16812000000.000000,2500000000.000000,,,,,-14312000000.000000,-31262000000.000000,,50023000000.000000,,,,,50023000000.000000,,-50774000000.000000,,,-30000000000.000000,-511000000.000000,,-81285000000.000000,-31262000000.000000,-122500000000.000000,94000000.000000,248531000000.000000,126125000000.000000
12M 2013,100149000000.000000,922607000000.000000,,-495555000000.000000,-46348000000.000000,-541903000000.000000,-248786000000.000000,,-51246000000.000000,-950000000.000000,6120000000.000000,2232000000.000000,,12075000000.000000,100149000000.000000,-15551000000.000000,-16267000000.000000,716000000.000000,,,,,-15551000000.000000,-80023000000.000000,,86611000000.000000,,,,,86611000000.000000,,-136634000000.000000,,,-30000000000.000000,,,-166634000000.000000,-80023000000.000000,4575000000.000000,143000000.000000,126125000000.000000,130843000000.000000
12M 2014,125734000000.000000,1176826000000.000000,,-848306000000.000000,-51685000000.000000,-899991000000.000000,-198846000000.000000,,-57498000000.000000,-901000000.000000,6748000000.000000,737000000.000000,103004000000.000000,-4345000000.000000,125734000000.000000,-45266000000.000000,-48054000000.000000,2788000000.000000,,,,,-45266000000.000000,-36901000000.000000,,,,,,,,,-901000000.000000,,,-36000000000.000000,,,-36901000000.000000,-36901000000.000000,43567000000.000000,15000000.000000,130843000000.000000,174425000000.000000
12M 2015,241946000000.000000,1502223000000.000000,,-1047088000000.000000,-60141000000.000000,-1107229000000.000000,-195200000000.000000,,-51841000000.000000,-947000000.000000,11597000000.000000,1417000000.000000,89896000000.000000,-7970000000.000000,241946000000.000000,-38813000000.000000,-39607000000.000000,794000000.000000,,,,,-38813000000.000000,-63006000000.000000,,,28000000000.000000,,,,28000000000.000000,,-28000000000.000000,,,-63000000000.000000,,-6000000.000000,-91006000000.000000,-63006000000.000000,140127000000.000000,103000000.000000,174425000000.000000,314655000000.000000
12M 2016,205035000000.000000,1605257000000.000000,,-1058862000000.000000,-255388000000.000000,-1314250000000.000000,-80259000000.000000,,-99744000000.000000,-930000000.000000,14386000000.000000,6549000000.000000,82731000000.000000,-8705000000.000000,205035000000.000000,-41321000000.000000,-41406000000.000000,85000000.000000,,,,,-41321000000.000000,-99000000000.000000,,,,,,,,,,,,-99000000000.000000,,,-99000000000.000000,-99000000000.000000,64714000000.000000,224000000.000000,314655000000.000000,379593000000.000000
12M 2017,590514000000.000000,2563549000000.000000,,-1423270000000.000000,-339539000000.000000,-1762809000000.000000,-87547000000.000000,,-132536000000.000000,-78000000.000000,18552000000.000000,,,-8617000000.000000,590514000000.000000,-220686000000.000000,-220689000000.000000,3000000.000000,,,,,-220686000000.000000,-214000000000.000000,,100000000000.000000,,,,,100000000000.000000,,-50000000000.000000,,,-264000000000.000000,,,-314000000000.000000,-214000000000.000000,155828000000.000000,198000000.000000,379593000000.000000,535619000000.000000
