Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,16192000000.000000,877641000000.000000,849127000000.000000,28514000000.000000,877641000000.000000,858000000.000000,858000000.000000,,858000000.000000,444052000000.000000,29252000000.000000,1367995000000.000000,,,7446000000.000000,271025000000.000000,16511000000.000000,294982000000.000000,1662977000000.000000,,,659465000000.000000,320137000000.000000,,94692000000.000000,13442000000.000000,108134000000.000000,,87940000000.000000,,87940000000.000000,113227000000.000000,25303000000.000000,,2224000000.000000,2500000000.000000,4724000000.000000,,659465000000.000000,27584000000.000000,388000000.000000,,,,4902000000.000000,4902000000.000000,22294000000.000000,27584000000.000000,687049000000.000000,,300000000000.000000,86395000000.000000,550165000000.000000,1000000000.000000,549165000000.000000,550165000000.000000,34915000000.000000,4453000000.000000,975928000000.000000,1662977000000.000000,3000000000.000000
12M 2009,,,7748000000.000000,483524000000.000000,471112000000.000000,12412000000.000000,483524000000.000000,1653000000.000000,1653000000.000000,,1653000000.000000,535996000000.000000,13700000000.000000,1042621000000.000000,,,6431000000.000000,272579000000.000000,90444000000.000000,369454000000.000000,1412075000000.000000,,,318416000000.000000,151080000000.000000,,76887000000.000000,24719000000.000000,101606000000.000000,,32568000000.000000,,32568000000.000000,15226000000.000000,15660000000.000000,,2276000000.000000,,2276000000.000000,,318416000000.000000,28795000000.000000,33000000.000000,,,,2687000000.000000,2687000000.000000,26075000000.000000,28795000000.000000,347211000000.000000,,300000000000.000000,86395000000.000000,625945000000.000000,2000000000.000000,623945000000.000000,625945000000.000000,48071000000.000000,4453000000.000000,1064864000000.000000,1412075000000.000000,3000000000.000000
12M 2010,,,69518000000.000000,440043000000.000000,430640000000.000000,9403000000.000000,440043000000.000000,2026000000.000000,2026000000.000000,,2026000000.000000,462402000000.000000,9916000000.000000,983905000000.000000,,586000000.000000,11067000000.000000,259304000000.000000,108415000000.000000,379372000000.000000,1363277000000.000000,,,116260000000.000000,,,40405000000.000000,7936000000.000000,48341000000.000000,,27408000000.000000,,27408000000.000000,19934000000.000000,18395000000.000000,,2182000000.000000,,2182000000.000000,,116260000000.000000,31853000000.000000,25000000.000000,,,,511000000.000000,511000000.000000,31317000000.000000,31853000000.000000,148113000000.000000,,300000000000.000000,86395000000.000000,769434000000.000000,3000000000.000000,766434000000.000000,769434000000.000000,54882000000.000000,4453000000.000000,1215164000000.000000,1363277000000.000000,3000000000.000000
12M 2011,,,248531000000.000000,415549000000.000000,397754000000.000000,17795000000.000000,415549000000.000000,12374000000.000000,12374000000.000000,,12374000000.000000,523299000000.000000,16664000000.000000,1216417000000.000000,,2586000000.000000,11836000000.000000,256350000000.000000,31345000000.000000,302117000000.000000,1518534000000.000000,,,200115000000.000000,49524000000.000000,,56812000000.000000,5620000000.000000,62432000000.000000,,32547000000.000000,,32547000000.000000,22026000000.000000,33075000000.000000,,511000000.000000,,511000000.000000,,200115000000.000000,39065000000.000000,127000000.000000,,,,,,38938000000.000000,39065000000.000000,239180000000.000000,,300000000000.000000,86395000000.000000,885561000000.000000,4000000000.000000,881561000000.000000,885561000000.000000,98000000.000000,7300000000.000000,1279354000000.000000,1518534000000.000000,3000000000.000000
12M 2012,,,126125000000.000000,388412000000.000000,371060000000.000000,17352000000.000000,388412000000.000000,13947000000.000000,13947000000.000000,,13947000000.000000,744730000000.000000,30940000000.000000,1304154000000.000000,,134000000.000000,15942000000.000000,253165000000.000000,14208000000.000000,283449000000.000000,1587603000000.000000,,,161466000000.000000,49648000000.000000,,45426000000.000000,4462000000.000000,49888000000.000000,,21267000000.000000,,21267000000.000000,13351000000.000000,13246000000.000000,,,,,14066000000.000000,161466000000.000000,47433000000.000000,942000000.000000,,,,,,46491000000.000000,47433000000.000000,208899000000.000000,,300000000000.000000,93695000000.000000,984882000000.000000,10000000000.000000,974882000000.000000,984882000000.000000,127000000.000000,,1378704000000.000000,1587603000000.000000,3000000000.000000
12M 2013,,,130843000000.000000,566940000000.000000,551993000000.000000,14947000000.000000,566940000000.000000,1403000000.000000,1403000000.000000,,1403000000.000000,693081000000.000000,16764000000.000000,1409031000000.000000,,286000000.000000,28308000000.000000,249245000000.000000,25813000000.000000,303652000000.000000,1712683000000.000000,,,184612000000.000000,,,80315000000.000000,2495000000.000000,82810000000.000000,,18315000000.000000,,18315000000.000000,13141000000.000000,40424000000.000000,,,,,29922000000.000000,184612000000.000000,52326000000.000000,187000000.000000,,,,,,52139000000.000000,52326000000.000000,236938000000.000000,,300000000000.000000,93695000000.000000,1081907000000.000000,20000000000.000000,1061907000000.000000,1081907000000.000000,143000000.000000,,1475745000000.000000,1712683000000.000000,3000000000.000000
12M 2014,,,174425000000.000000,627437000000.000000,614031000000.000000,13406000000.000000,627437000000.000000,164064000000.000000,164064000000.000000,,164064000000.000000,534245000000.000000,29821000000.000000,1529992000000.000000,,173000000.000000,28439000000.000000,275534000000.000000,36905000000.000000,341051000000.000000,1871043000000.000000,,,211119000000.000000,,,79419000000.000000,9719000000.000000,89138000000.000000,,18525000000.000000,,18525000000.000000,28592000000.000000,54407000000.000000,,,,,20457000000.000000,211119000000.000000,54900000000.000000,181000000.000000,,,,,,54719000000.000000,54900000000.000000,266019000000.000000,,300000000000.000000,93695000000.000000,1211170000000.000000,30000000000.000000,1181170000000.000000,1211170000000.000000,159000000.000000,,1605024000000.000000,1871043000000.000000,3000000000.000000
12M 2015,,,314655000000.000000,635331000000.000000,618708000000.000000,16623000000.000000,635331000000.000000,87023000000.000000,87023000000.000000,,87023000000.000000,712599000000.000000,28776000000.000000,1778384000000.000000,,151000000.000000,31821000000.000000,293093000000.000000,38151000000.000000,363216000000.000000,2141600000000.000000,,,279244000000.000000,,,120545000000.000000,,120545000000.000000,,23475000000.000000,,23475000000.000000,37973000000.000000,82068000000.000000,,,,,15183000000.000000,279244000000.000000,47060000000.000000,197000000.000000,544000000.000000,,,,,46319000000.000000,47060000000.000000,326304000000.000000,,300000000000.000000,93695000000.000000,1421401000000.000000,40000000000.000000,1381401000000.000000,1421401000000.000000,200000000.000000,,1815296000000.000000,2141600000000.000000,3000000000.000000
12M 2016,,,379593000000.000000,947480000000.000000,937592000000.000000,9888000000.000000,947480000000.000000,1831000000.000000,1831000000.000000,,1831000000.000000,688921000000.000000,24084000000.000000,2041909000000.000000,,,38647000000.000000,318022000000.000000,17599000000.000000,374268000000.000000,2416177000000.000000,,,301524000000.000000,,,122175000000.000000,,122175000000.000000,,37419000000.000000,,37419000000.000000,47954000000.000000,76775000000.000000,,,,,17201000000.000000,301524000000.000000,51128000000.000000,123000000.000000,589000000.000000,,,,,50416000000.000000,51128000000.000000,352652000000.000000,,300000000000.000000,99910000000.000000,1658657000000.000000,60000000000.000000,1598657000000.000000,1658657000000.000000,286000000.000000,4672000000.000000,2063525000000.000000,2416177000000.000000,3000000000.000000
12M 2017,,,535617000000.000000,831040000000.000000,818613000000.000000,12427000000.000000,831040000000.000000,2001000000.000000,2001000000.000000,,2001000000.000000,650839000000.000000,22273000000.000000,2041770000000.000000,,91000000.000000,33058000000.000000,512280000000.000000,35137000000.000000,580566000000.000000,2622336000000.000000,,,362250000000.000000,50000000000.000000,,139028000000.000000,,139028000000.000000,,38314000000.000000,,38314000000.000000,33176000000.000000,84115000000.000000,,,,,17617000000.000000,362250000000.000000,59976000000.000000,28000000.000000,984000000.000000,,,,,58964000000.000000,59976000000.000000,422226000000.000000,,300000000000.000000,99910000000.000000,1795056000000.000000,60000000000.000000,1735056000000.000000,1795056000000.000000,391000000.000000,4753000000.000000,2200110000000.000000,2622336000000.000000,3000000000.000000
