Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,211942872861.000000,-192226216475.000000,19716656386.000000,-13390551718.000000,-426239170.000000,-12964312548.000000,,-13390551718.000000,6326104668.000000,-3404391664.000000,,-3404391664.000000,-3404391664.000000,2921713004.000000,-788729314.000000,,,-788729314.000000,2132983690.000000,,2132983690.000000,-778672555.000000,1354311135.000000,2132983690.000000,2132983690.000000,,2132983690.000000,1354311135.000000,1354311135.000000,,1354311135.000000
12M 2018,274477488108.000000,-235218888541.000000,39258599567.000000,-16251942420.000000,-636438510.000000,-15615503910.000000,,-16251942420.000000,23006657147.000000,-5249677146.000000,,-5249677146.000000,-5249677146.000000,17756980001.000000,-4454589401.000000,,,-4454589401.000000,13302390600.000000,,13302390600.000000,14916219281.000000,28218609881.000000,13302390600.000000,13302390600.000000,,13302390600.000000,28218609881.000000,28218609881.000000,,28218609881.000000
12M 2019,289383952242.000000,-261598132711.000000,27785819531.000000,-19884323781.000000,-693591595.000000,-19190732186.000000,,-19884323781.000000,7901495750.000000,-3858547289.000000,,-3858547289.000000,-3858547289.000000,4042948461.000000,-1977222526.000000,,,-1977222526.000000,2065725935.000000,,2065725935.000000,-1099475509.000000,966250426.000000,2065725935.000000,2065725935.000000,,2065725935.000000,966250426.000000,966250426.000000,,966250426.000000
12M 2020,217013915602.000000,-193634054167.000000,23379861435.000000,-17696134453.000000,-384605873.000000,-17311528580.000000,,-17696134453.000000,5683726982.000000,-3399788493.000000,,-3399788493.000000,-3399788493.000000,2283938489.000000,-2139535077.000000,,,-2139535077.000000,144403412.000000,,144403412.000000,3534007905.000000,3678411317.000000,144403412.000000,144403412.000000,,144403412.000000,3678411317.000000,3678411317.000000,,3678411317.000000
12M 2021,270440097202.000000,-242805225830.000000,27634871372.000000,-16202998541.000000,-67435990.000000,-16135562551.000000,,-16202998541.000000,11431872831.000000,6207875021.000000,,6207875021.000000,6207875021.000000,17639747852.000000,-5340303700.000000,-5300189400.000000,-40114300.000000,-5340303700.000000,12299444152.000000,,12299444152.000000,2414420241.000000,14713864393.000000,12299444152.000000,12299444152.000000,,12299444152.000000,14713864393.000000,14713864393.000000,,14713864393.000000
12M 2022,250320655340.000000,-225641407406.000000,24679247934.000000,-14452600286.000000,-355999862.000000,-14096600424.000000,,-14452600286.000000,10226647648.000000,3478177792.000000,,3478177792.000000,3478177792.000000,13704825440.000000,-3153777468.000000,-1876299335.000000,-1277478133.000000,-3153777468.000000,10551047972.000000,,10551047972.000000,-791624953.000000,9759423019.000000,10551047972.000000,10550618663.000000,429309.000000,10551047972.000000,9759423019.000000,9758993710.000000,429309.000000,9759423019.000000
12M 2023,208635900710.000000,-207460110633.000000,1175790077.000000,-25596002122.000000,-7984467850.000000,-17611534272.000000,,-25596002122.000000,-24420212045.000000,-9612426021.000000,-10102099642.000000,489673621.000000,-9612426021.000000,-34032638066.000000,-58649377.000000,,-58649377.000000,-58649377.000000,-34091287443.000000,,-34091287443.000000,-17755720218.000000,-51847007661.000000,-34091287443.000000,-34088043909.000000,-3243534.000000,-34091287443.000000,-51847007661.000000,-51843764127.000000,-3243534.000000,-51847007661.000000
12M 2024,239479149464.000000,-247942828559.000000,-8463679095.000000,-30328853501.000000,-10198362820.000000,-20130490681.000000,,-30328853501.000000,-38792532596.000000,23866086163.000000,-12557543460.000000,36423629623.000000,23866086163.000000,-14926446433.000000,-1331696459.000000,,-1331696459.000000,-1331696459.000000,-16258142892.000000,,-16258142892.000000,257779786.000000,-16000363106.000000,-16258142892.000000,-16250006159.000000,-8136733.000000,-16258142892.000000,-16000363106.000000,-15992226373.000000,-8136733.000000,-16000363106.000000
