Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha Dan Karyawan,Penerimaan Klaim Asuransi,Penerimaan (Pembayaran) Lainnya,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Properti Investasi,Penerimaan Investasi Jangka Panjang,Penerimaan Atas Pengembalian Uang Jaminan,Penerimaan Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Investasi Jangka Pendek,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Aset Hak Guna,Penambahan Investasi Jangka Pendek,Pencairan (Penempatan) Deposito Berjangka,Perolehan Investasi Jangka Panjang,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Saham Setelah Dikurangi Biaya Emisi Saham,Peningkatan Modal Disetor,Peningkatan (Penurunan) Utang Bank Jangka Pendek,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Lain-Lain,Setoran Modal Saham Dari Kepentingan Non-Pengendali Kepada Entitas Anak,Penurunan Utang Pihak Berelasi,Peningkatan (Penurunan) Utang Bank Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2017,16922183583.000000,210520389583.000000,-132589752316.000000,-46644379790.000000,,-9413005907.000000,-3479368289.000000,-1471699698.000000,16922183583.000000,-15711010049.000000,,,,67500000.000000,-12778510049.000000,,,,,,-3000000000.000000,-15711010049.000000,-1105115448.000000,,,-4441872224.000000,,,,,-8663243224.000000,12000000000.000000,-1105115448.000000,106058086.000000,166159615.000000,,272217701.000000
12M 2018,6168950310.000000,245183463655.000000,-166349963031.000000,-43110632932.000000,,-22126415215.000000,-3769435769.000000,-3658066398.000000,6168950310.000000,-29799429798.000000,,3000000000.000000,,19545455.000000,-7717683844.000000,-10000000000.000000,-15101291409.000000,,,,,-29799429798.000000,23949686087.000000,48319370553.000000,7000000000.000000,-7880076958.000000,,,,,-11489607508.000000,-12000000000.000000,23949686087.000000,319206599.000000,272217701.000000,,591424300.000000
12M 2019,44330009817.000000,313547268090.000000,-200821328120.000000,-47676782580.000000,,-13918976381.000000,-1137193497.000000,-5662977695.000000,44330009817.000000,-33225467289.000000,,,4162378098.000000,,-21219926003.000000,4805479451.000000,-20973398835.000000,,,,,-33225467289.000000,-9034957902.000000,,1128.000000,5199231032.000000,,,,,-14234190062.000000,,-9034957902.000000,2069584626.000000,591424300.000000,,2661008926.000000
12M 2020,20750645228.000000,213739292982.000000,-139590916422.000000,-43770406152.000000,,-5903292759.000000,-2193960733.000000,-1530071688.000000,20750645228.000000,-51238404553.000000,,,,4090909.000000,-44521909176.000000,,-5665030732.000000,-1055555554.000000,,,,-51238404553.000000,36872994903.000000,,40044.000000,,47491053862.000000,-10618099003.000000,,,,,36872994903.000000,3073166294.000000,2661008926.000000,,5734175220.000000
12M 2021,25839967464.000000,267088980307.000000,-202818849282.000000,-44479740991.000000,13464444006.000000,-888345152.000000,-5191506866.000000,-1335014558.000000,25839967464.000000,-42866900215.000000,,,,893068638.000000,-40622888647.000000,,-965199764.000000,,-2171880442.000000,,,-42866900215.000000,14570923479.000000,,,,24570923479.000000,-10000000000.000000,,,,,14570923479.000000,-3217298707.000000,5734175220.000000,,2516876513.000000
12M 2022,-1906909864.000000,259629590330.000000,-209114750909.000000,-43096704671.000000,,2303848641.000000,-6179411090.000000,-5449482165.000000,-1906909864.000000,-26439856672.000000,,,,113662388.000000,-13137519060.000000,,,,,-13416000000.000000,,-26439856672.000000,42417729092.000000,,,,531709481038.000000,-488654095999.000000,-638655947.000000,1000000.000000,,,42417729092.000000,-598714115.000000,2516876513.000000,,1918162398.000000
12M 2023,-35797554568.000000,178932110110.000000,-165600347040.000000,-35916114225.000000,,-2134535330.000000,-9701194120.000000,-1377473963.000000,-35797554568.000000,-35994463865.000000,,,,239729730.000000,-45809495616.000000,,-3840697979.000000,,,13416000000.000000,,-35994463865.000000,70794412954.000000,,,,607446028398.000000,-536007083363.000000,-644532081.000000,,,,70794412954.000000,-997605479.000000,1918162398.000000,,920556919.000000
12M 2024,-249852308755.000000,,-192983941348.000000,-24308388639.000000,,-19301565270.000000,-12456797514.000000,-801615984.000000,-249852308755.000000,8223416567.000000,32635135135.000000,,,,-21933685672.000000,,-2478032896.000000,,,,,8223416567.000000,-488333417223.000000,,,,,-487670137256.000000,-663279967.000000,,,,-488333417223.000000,-550652768.000000,,,369904151.000000
