Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Beban Pajak Final,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Adjustment,Pembayaran Beban Bunga Dan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Pembayaran Utang Bank,Setoran Modal,Penawaran Umum Perdana Saham,Pelaksanaan Waran,Total Setoran Modal,Penerimaan Atas Agio Saham,Penawaran Umum Perdana Saham,Pembayaran Emisi Saham,Pelaksanaan Waran,Total Penerimaan Atas Agio Saham,Pembayaran Liabilitas Sewa,Penerimaan Utang Pemegang Saham,Pembayaran Utang Kepada Pemegang Saham,Penerimaan (Pengeluaran) Kas Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,11759421772.000000,24980691743.000000,-823234246.000000,-11334791004.000000,-89961469.000000,,-973283252.000000,11759421772.000000,,,,-5819634287.000000,2720097207.000000,-782500000.000000,,,,,,,,,,,,-7757231494.000000,,-5819634287.000000,5939787485.000000,57439523.000000,5997227008.000000
12M 2019,2045891561.000000,13407765820.000000,-538295525.000000,-9692555329.000000,-340414464.000000,,-790608941.000000,2045891561.000000,,,,-8026563720.000000,2811707246.000000,-2871111150.000000,,,,,,,,,,,,-7967159816.000000,,-8026563720.000000,-5980672159.000000,5997227008.000000,16554849.000000
12M 2020,13405457115.000000,16349069828.000000,-245383261.000000,-1868699750.000000,-105243781.000000,,-724285921.000000,13405457115.000000,,,,-13409483596.000000,15773640477.000000,-15798600000.000000,,,,,,,,,,,,-13384524073.000000,,-13409483596.000000,-4026481.000000,16554849.000000,12528368.000000
12M 2021,-12322571450.000000,3832959197.000000,-182781330.000000,-15576486508.000000,-234224232.000000,,-162038577.000000,-12322571450.000000,-1854222000.000000,-1854222000.000000,-1854222000.000000,14215253323.000000,,-3500000000.000000,,8000000000.000000,38750.000000,8000038750.000000,,12000000000.000000,-1969879542.000000,77500.000000,10030197958.000000,,,-314983385.000000,,14215253323.000000,38459873.000000,12528370.000000,50988243.000000
12M 2022,-1066002016.000000,91710927.000000,,-936313729.000000,-214207547.000000,,-7191667.000000,-1066002016.000000,,,,1091742503.000000,,-1000000000.000000,,,10000.000000,10000.000000,,,,20000.000000,20000.000000,,2091712503.000000,,,1091742503.000000,25740487.000000,50988243.000000,76728730.000000
12M 2023,2077646836.000000,7072824199.000000,,-4638357363.000000,-356820000.000000,,,2077646836.000000,,,,-2091712509.000000,,,,,,,,,,,,,,-2091712509.000000,,-2091712509.000000,-14065673.000000,76728730.000000,62663057.000000
12M 2024,1831888969.000000,2944646384.000000,,-759577415.000000,-353180000.000000,,,1831888969.000000,,,,-164097828.000000,,,,,,,,,,,,-164097828.000000,479800000.000000,-479800000.000000,,-164097828.000000,1667791141.000000,62663057.000000,1730454198.000000
