Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Bank Jangka Pendek,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pemegang Saham,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,5997227008.000000,4254614832.000000,4254614832.000000,,4254614832.000000,,,10251841840.000000,,27643354166.000000,,27643354166.000000,37895196006.000000,,,6473899774.000000,,,,,35786680.000000,515887.000000,6437597207.000000,,6473899774.000000,23009769453.000000,22666667268.000000,,343102185.000000,23009769453.000000,29483669227.000000,,1000000000.000000,,7347016624.000000,,7347016624.000000,7347016624.000000,64510155.000000,8411526779.000000,37895196006.000000,1000.000000
12M 2019,,,16554849.000000,8790033180.000000,8790033180.000000,,8790033180.000000,431993507.000000,,9238581536.000000,,23694303569.000000,,23694303569.000000,32932885105.000000,,,7121727099.000000,,231887655.000000,,231887655.000000,40675785.000000,470970356.000000,6378193303.000000,,7121727099.000000,15107903826.000000,14699507452.000000,,408396374.000000,15107903826.000000,22229630925.000000,,1000000000.000000,,9629440452.000000,,9629440452.000000,9629440452.000000,73813728.000000,10703254180.000000,32932885105.000000,1000.000000
12M 2020,,,12528370.000000,620405333.000000,620405333.000000,,620405333.000000,73968832.000000,351550000.000000,1058452535.000000,,19745252973.000000,136748188.000000,19882001161.000000,20940453696.000000,,,7698532772.000000,,181883210.000000,,181883210.000000,57591888.000000,1039474655.000000,6353233780.000000,66349239.000000,7698532772.000000,914952438.000000,314983379.000000,,599969059.000000,914952438.000000,8613485210.000000,,12000000000.000000,,262862456.000000,,262862456.000000,262862456.000000,64106030.000000,12326968486.000000,20940453696.000000,240000000.000000
12M 2021,,,50988243.000000,2880157137.000000,,2880157137.000000,2880157137.000000,10314848203.000000,1986644500.000000,15232638083.000000,,17611794752.000000,103928620.000000,17715723372.000000,32948361455.000000,,,2970758897.000000,,13511302.000000,,13511302.000000,59447371.000000,1831450985.000000,1000000000.000000,66349239.000000,2970758897.000000,526986966.000000,,,526986966.000000,526986966.000000,3497745863.000000,,20000038750.000000,10030197958.000000,-671845186.000000,,-671845186.000000,-671845186.000000,92224070.000000,29450615592.000000,32948361455.000000,400000775.000000
12M 2022,,,76728730.000000,9333900755.000000,7166071118.000000,2167829637.000000,9333900755.000000,12512920891.000000,,21923550376.000000,,13430966404.000000,73844016.000000,13504810420.000000,35428360796.000000,,,2888495423.000000,,285541302.000000,,285541302.000000,81651736.000000,2423553796.000000,,97748589.000000,2888495423.000000,2510932238.000000,2091712503.000000,,419219735.000000,2510932238.000000,5399427661.000000,,20000048750.000000,10030217958.000000,-125447620.000000,,,-125447620.000000,124114046.000000,30028933134.000000,35428360795.000000,400000975.000000
12M 2023,,,62663057.000000,9411076556.000000,7718183811.000000,1692892745.000000,9411076556.000000,15937808225.000000,,25411547838.000000,,9250138060.000000,41024448.000000,9291162508.000000,34702710346.000000,,,3597509988.000000,,11481302.000000,,11481302.000000,91154071.000000,3366812823.000000,,128061792.000000,3597509988.000000,417915139.000000,,,417915139.000000,417915139.000000,4015425127.000000,,20000048750.000000,10030217958.000000,516338348.000000,,,516338348.000000,140680163.000000,30687285219.000000,34702710346.000000,400000975.000000
12M 2024,,,1730454198.000000,12332430170.000000,12283070886.000000,49359284.000000,12332430170.000000,16509689703.000000,,30572574071.000000,,5069309716.000000,8204880.000000,5077514596.000000,35650088667.000000,,,4221235867.000000,,85756302.000000,,85756302.000000,14926742.000000,4120552823.000000,,,4221235867.000000,406053951.000000,,,406053951.000000,406053951.000000,4627289818.000000,,20000048750.000000,10030217958.000000,826411767.000000,,,826411767.000000,166120374.000000,31022798849.000000,35650088667.000000,400000975.000000
