Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,27441141517.000000,-16590732250.000000,10850409267.000000,-741030554.000000,-741030554.000000,-741030554.000000,10109378713.000000,-2925636650.000000,-973283251.000000,-1952353399.000000,-2925636650.000000,7183742063.000000,,,,,,7183742063.000000,,7183742063.000000,64510155.000000,64510155.000000,64510155.000000,7248252218.000000,7183742063.000000,7183742063.000000,,7183742063.000000,7248252218.000000,7248252218.000000,,7248252218.000000
12M 2019,17943184168.000000,-13165669913.000000,4777514255.000000,-691939207.000000,-691939207.000000,-691939207.000000,4085575048.000000,-1803151220.000000,-790608941.000000,-1012542279.000000,-1803151220.000000,2282423828.000000,,,,,,2282423828.000000,,2282423828.000000,9303573.000000,9303573.000000,9303573.000000,2291727401.000000,2282423828.000000,2282423828.000000,,2282423828.000000,2291727401.000000,2291727401.000000,,2291727401.000000
12M 2020,8179441984.000000,-6038136852.000000,2141305132.000000,-303763551.000000,-303763551.000000,-303763551.000000,1837541581.000000,-1204119577.000000,-724285921.000000,-479833656.000000,-1204119577.000000,633422004.000000,,,,,,633422004.000000,,633422004.000000,-9707698.000000,-9707698.000000,-9707698.000000,623714306.000000,633422004.000000,633422004.000000,,633422004.000000,623714306.000000,623714306.000000,,623714306.000000
12M 2021,6092711000.000000,-6049956998.000000,42754002.000000,-630375586.000000,-630375586.000000,-630375586.000000,-587621584.000000,-347086058.000000,-162038577.000000,-185047481.000000,-347086058.000000,-934707642.000000,,,,,,-934707642.000000,,-934707642.000000,28118040.000000,28118040.000000,28118040.000000,-906589602.000000,-934707642.000000,-934707642.000000,,-934707642.000000,-906589602.000000,-906589602.000000,,-906589602.000000
12M 2022,6545454546.000000,-5131664956.000000,1413789590.000000,-645296606.000000,-645296606.000000,-645296606.000000,768492984.000000,-222095418.000000,-7191667.000000,-214903751.000000,-222095418.000000,546397566.000000,,,,,,546397566.000000,,546397566.000000,31889976.000000,31889976.000000,31889976.000000,578287542.000000,546397566.000000,546397566.000000,,546397566.000000,578287542.000000,578287542.000000,,578287542.000000
12M 2023,7150000000.000000,-5273035764.000000,1876964236.000000,-716649747.000000,-716649747.000000,-716649747.000000,1160314489.000000,-518528521.000000,,-518528521.000000,-518528521.000000,641785968.000000,,,,,,641785968.000000,,641785968.000000,16566117.000000,16566117.000000,16566117.000000,658352085.000000,641785968.000000,641785968.000000,,641785968.000000,658352085.000000,658352085.000000,,658352085.000000
12M 2024,5866000000.000000,-4376737479.000000,1489262521.000000,-646423627.000000,-646423627.000000,-646423627.000000,842838894.000000,-532765475.000000,,-532765475.000000,-532765475.000000,310073419.000000,,,,,,310073419.000000,,310073419.000000,25440211.000000,25440211.000000,25440211.000000,335513630.000000,310073419.000000,310073419.000000,,310073419.000000,335513630.000000,335513630.000000,,335513630.000000
