Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,51834636665.000000,-38840310841.000000,12994325824.000000,-10630846904.000000,-2516652938.000000,-8114193966.000000,-10630846904.000000,2363478920.000000,755494701.000000,,,179302339.000000,576192362.000000,755494701.000000,3118973621.000000,-803602661.000000,2315370960.000000,-112882492.000000,2202488468.000000,2315370960.000000,2315370960.000000,,2315370960.000000,2202488468.000000,2202488468.000000,,2202488468.000000
12M 2018,63362413566.000000,-44508397972.000000,18854015594.000000,-15299860027.000000,-2743277231.000000,-12556582796.000000,-15299860027.000000,3554155567.000000,-19019615.000000,,,22500000.000000,-41519615.000000,-19019615.000000,3535135952.000000,-897073514.000000,2638062438.000000,562765475.000000,3200827913.000000,2638062438.000000,2638062438.000000,,2638062438.000000,3200827913.000000,3200827913.000000,,3200827913.000000
12M 2019,75622705756.000000,-58725830067.000000,16896875689.000000,-13662920918.000000,-2744883048.000000,-10918037870.000000,-13662920918.000000,3233954771.000000,243255365.000000,,,41000000.000000,202255365.000000,243255365.000000,3477210136.000000,-1158906506.000000,2318303630.000000,-102887287.000000,2215416343.000000,2318303630.000000,2318502475.000000,-198845.000000,2318303630.000000,2215416343.000000,2215615188.000000,-198845.000000,2215416343.000000
12M 2020,68821011923.000000,-52841332678.000000,15979679245.000000,-18535713094.000000,-1919391582.000000,-16616321512.000000,-18535713094.000000,-2556033849.000000,519291279.000000,,,,519291279.000000,519291279.000000,-2036742570.000000,-1148476854.000000,-3185219424.000000,920375492.000000,-2264843932.000000,-3185219424.000000,-3182352583.000000,-2866841.000000,-3185219424.000000,-2264843932.000000,-2260326464.000000,-4517468.000000,-2264843932.000000
12M 2021,76363244394.000000,-56379532986.000000,19983711408.000000,-18044863615.000000,-2610859847.000000,-15434003768.000000,-18044863615.000000,1938847793.000000,814625528.000000,,,144743750.000000,669881778.000000,814625528.000000,2753473321.000000,-1585860798.000000,1167612523.000000,34869223.000000,1202481746.000000,1167612523.000000,1166921438.000000,691085.000000,1167612523.000000,1202481746.000000,1201539368.000000,942378.000000,1202481746.000000
12M 2022,73083784552.000000,-54182085153.000000,18901699399.000000,-17870098613.000000,-2516152066.000000,-15353946547.000000,-17870098613.000000,1031600786.000000,171076193.000000,,,188067091.000000,-16990898.000000,171076193.000000,1202676979.000000,-466596420.000000,736080559.000000,1409754093.000000,2145834652.000000,736080559.000000,735491695.000000,588864.000000,736080559.000000,2145834652.000000,2145427305.000000,407347.000000,2145834652.000000
12M 2023,67912989559.0,-52301531292.0,15611458267.0,-13862130022.0,-2177378813.0,-11684751209.0,-13862130022.0,1749328245.0,-865179562.0,5385756.0,-325101471.0,27516667.0,-572980514.0,-865179562.0,884148683.0,-446988648.0,437160035.0,-176122262.0,261037773.0,437160035.0,437669053.0,-509018.0,437160035.0,261037773.0,261365335.0,-327562.0,261037773.0
12M 2024,72944336594.0,-57397346207.0,15546990387.0,-13896047969.0,-1912884846.0,-11983163123.0,-13896047969.0,1650942418.0,-607907647.0,7693343.0,-127073442.0,-96867286.0,-391660262.0,-607907647.0,1043034771.0,-645870220.0,397164551.0,-101085989.0,296078562.0,397164551.0,396660223.0,504328.0,397164551.0,296078562.0,295700490.0,378072.0,296078562.0
