Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Pajak Penghasilan,Kegiatan Opersional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Pembelian Tanah,Uang Muka Sewa,Investasi Penyertaan Saham,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Uang Muka Pembelian Aset Tak Berwujud,Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Tambahan Modal Disetor,Agio Saham,Emisi Saham,Utang Pihak Berelasi,Pembayaran Utang Sewa,Pembayaran Utang Pembiayaan,Setoran Modal Entitas Anak Oleh Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Bank Entitas Anak Pada Saat Akuisisi,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2017,-142430943.000000,52629403498.000000,-48121363403.000000,,-4650471038.000000,-142430943.000000,-7018357845.000000,-7000000000.000000,,,-240555402.000000,,,222197557.000000,-7018357845.000000,7910439813.000000,8000000000.000000,,,,,,-89560187.000000,,7910439813.000000,749651025.000000,,1329401976.000000,,2079053001.000000
12M 2018,-2208272813.000000,61769935489.000000,-53595619714.000000,,-10382588588.000000,-2208272813.000000,-19533147795.000000,-18823333333.000000,,,-732314462.000000,,,22500000.000000,-19533147795.000000,26686814143.000000,20000000000.000000,6864944500.000000,,,,,-178130357.000000,,26686814143.000000,4945393535.000000,,2079053001.000000,,7024446536.000000
12M 2019,208368123.000000,72509271017.000000,-67217361734.000000,,-5083541160.000000,208368123.000000,-683206557.000000,,,-299000000.000000,-277756557.000000,-147450000.000000,,41000000.000000,-683206557.000000,-144695373.000000,16000000.000000,,,,,,-160695373.000000,,-144695373.000000,-619533807.000000,41235219.000000,7024446536.000000,,6446147948.000000
12M 2020,2638297027.000000,72041350162.000000,-62999772526.000000,-955117537.000000,-5448163072.000000,2638297027.000000,-349642407.000000,,,,-117588700.000000,-232053707.000000,,,-349642407.000000,-1743052633.000000,,,,,-1154089400.000000,-440239862.000000,-148723371.000000,,-1743052633.000000,545601987.000000,,6446147948.000000,,6991749935.000000
12M 2021,871383143.000000,72586249950.000000,-63820804703.000000,-1473298495.000000,-6420763609.000000,871383143.000000,-1071897493.000000,,,,-611810911.000000,-366585560.000000,-377551022.000000,284050000.000000,-1071897493.000000,-1330833439.000000,,,,,,-1106974950.000000,-223858489.000000,,-1330833439.000000,-1531347789.000000,,6991749935.000000,,5460402146.000000
12M 2022,-1672100392.000000,66128089965.000000,-61822346031.000000,-134212646.000000,-5843631680.000000,-1672100392.000000,-832227185.000000,,,,-335449100.000000,-939002910.000000,,442224825.000000,-832227185.000000,-1081266598.000000,,,,,,-577792960.000000,-503473638.000000,,-1081266598.000000,-3585594175.000000,,5460402146.000000,,1874807971.000000
12M 2023,3101148764.000000,69651145391.000000,-60081479616.000000,-547591280.000000,-5920925731.000000,3101148764.000000,-162030033.000000,,,,-7720500.000000,-201309533.000000,,47000000.000000,-162030033.000000,-1631881173.000000,,,,,315441762.000000,-1510545721.000000,-436777214.000000,,-1631881173.000000,1307237558.000000,,1874807971.000000,,3182045529.000000
12M 2024,1580761690.000000,71151425501.000000,-64175007047.000000,-649215577.000000,-4746441187.000000,1580761690.000000,-146864033.000000,,,,-153119900.000000,-195041430.000000,,201297297.000000,-146864033.000000,-1939265849.000000,,,,,-300000000.000000,-1381425356.000000,-257840493.000000,,-1939265849.000000,-505368192.000000,,3182045529.000000,,2676677337.000000
