Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan (Pembayaran) Lain-Lain,Penerimaan Tagihan Pajak Penghasilan,Penerimaan Bunga,Pembayaran Gaji Dan Tunjangan,Beban Keuangan,Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Perolehan Aset Takberwujud,Pencairan Aset Keuangan Lancar Lainnya,Penambahan Aset Takberwujud,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan Modal Disetor,Tambahan Modal Disetor,Penerimaan Dari Penawaran Saham Setelah Dikurangi Biaya Emisi Saham,Penerimaan Utang Pembiayaan Konsumen,Penerimaan Pinjaman Bank,Kenaikan (Penurunan) Utang Bank,Kenaikan (Penurunan) Utang Sewa Pembiayaan Konsumen,Kenaikan (Penurunan) Keuangan Lainnya,Kenaikan (Penurunan) Utang Pembiayaan Jangka Pendek,Kenaikan (Penurunan) Utang Pembiayaan Jangka Panjang,Kenaikan Deposito Berjangka Yang Dibatasi Penggunaanya,Pembagian Dividen,Pembayaran Dividen,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Pembayaran Pinjaman Beragunan,Penerimaan Pinjaman Beragunan,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,27705998002.000000,905734273599.000000,-869355493460.000000,14249351784.000000,,,,-16839290383.000000,-6082843538.000000,27705998002.000000,-2533526583.000000,233529152.000000,-2767055735.000000,,,,,,-2533526583.000000,-17654501954.000000,,,,,,-7567323000.000000,,,,,,,,-10087178954.000000,,,,,-17654501954.000000,7517969465.000000,32694156307.000000,40212125772.000000
12M 2018,-27239054054.000000,897726399346.000000,-867435585277.000000,-12615418697.000000,,,,-35748640099.000000,-9165809327.000000,-27239054054.000000,-2630832521.000000,124127008.000000,-2754959529.000000,,,,,,-2630832521.000000,26076784296.000000,27434000000.000000,,38055940006.000000,,,2298427000.000000,,,,,,,,-41711582710.000000,,,,,26076784296.000000,-3793102279.000000,40212125772.000000,36419023493.000000
12M 2019,14744667.000000,1309566219489.000000,-1304611695233.000000,20450038181.000000,,,,-10778889802.000000,-14610927968.000000,14744667.000000,-4502203302.000000,360491406.000000,-4862694708.000000,,,,,,-4502203302.000000,21576147735.000000,1997331700.000000,,,,,951426000.000000,,,18627390035.000000,,,,,,,,,,21576147735.000000,17088689100.000000,36419023493.000000,53507712593.000000
12M 2020,20615253467.000000,1371916439813.000000,-1339453639065.000000,13796003644.000000,,,,-14280174597.000000,-11363376328.000000,20615253467.000000,-4174820724.000000,508629661.000000,-3877894830.000000,-805555555.000000,,,,,-4174820724.000000,12623906327.000000,388450000.000000,,,,,-24487088000.000000,,,39078468048.000000,-92183333.000000,,,,,-2263740388.000000,,,,12623906327.000000,29064339070.000000,53507712593.000000,82572051663.000000
12M 2021,21238344872.000000,1363706772357.000000,-1328384299271.000000,14915814494.000000,,,,-13299821769.000000,-15700120939.000000,21238344872.000000,-5477504342.000000,1551870000.000000,-2183492977.000000,-4845881365.000000,,,,,-5477504342.000000,-17150871244.000000,695878000.000000,,,,,-16643938264.000000,,,,118316109.000000,,,,,-1321127089.000000,,,,-17150871244.000000,-1390030714.000000,82572051663.000000,81182020949.000000
12M 2022,-10395209781.000000,1483204096083.000000,-1482070396704.000000,9537334239.000000,,,,-13497572147.000000,-7568671252.000000,-10395209781.000000,-19345396973.000000,298283699.000000,-11544766082.000000,-8098914590.000000,,,,,-19345396973.000000,-4115595642.000000,1574407740.000000,,,,,43476453663.000000,,,-52298623334.000000,844519401.000000,,,,,2287646888.000000,,,,-4115595642.000000,-33856202396.000000,81182020949.000000,47325818553.000000
12M 2023,-13177841744.000000,1703424690429.000000,-1702991788351.000000,14882120888.000000,,,,-13375880699.000000,-15116984011.000000,-13177841744.000000,-9682708332.000000,852180678.000000,-6017076003.000000,-4517813007.000000,,,,,-9682708332.000000,61702094635.000000,46144771100.000000,,,,,25580801427.000000,,,-7701376666.000000,495351997.000000,,,,,-2817453223.000000,,,,61702094635.000000,38841544559.000000,47325818553.000000,86167363112.000000
12M 2024,26198579922.000000,1856831537485.000000,-1802253656385.000000,,6639315881.000000,968053060.000000,,-11980445881.000000,-24006224238.000000,26198579922.000000,-7946751802.000000,1712639638.000000,-7883721440.000000,,,,-1775670000.000000,,-7946751802.000000,-52707121138.000000,,,,,,-35952438450.000000,,,-827074689.000000,,-2443300000.000000,,-7994142310.000000,,-5490165689.000000,,,,-52707121138.000000,-34455293018.000000,86167363112.000000,51712070094.000000
