Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2017,28 B,(3 B),25 B,22671765.70
12M 2018,(27 B),(3 B),(30 B),-46.14
12M 2019,0 B,(5 B),(5 B),-7.39
12M 2020,21 B,(4 B),17 B,25.45
12M 2021,21 B,(2 B),19 B,28.91
12M 2022,(10 B),(12 B),(22 B),-33.06
12M 2023,(13 B),(6 B),(19 B),-24.01
12M 2024,26 B,(8 B),18 B,22.91
