Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Pemasaran,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,911091952810.0,-787472364140.0,123619588670.0,-88776323411.0,-88475759938.0,-300563473.0,-88776323411.0,34843265259.0,-10950322760.0,194047830.0,-20955617244.0,9811246654.0,-10950322760.0,23892942499.0,-7952198473.0,-9725793910.0,6214950116.0,2474076355.0,8689026471.0,6214950116.0,4199226020.0,2015724096.0,6214950116.0,8689026471.0,6669234553.0,2019791918.0,8689026471.0
12M 2018,896972332330.0,-790670845727.0,106301486603.0,-81039494300.0,-80096918717.0,-942575583.0,-81039494300.0,25261992303.0,-1549279681.0,591715987.0,-15219997432.0,13079001764.0,-1549279681.0,23712712622.0,-8320718051.0,-2136217216.0,13255777355.0,-3648665595.0,9607111760.0,13255777355.0,12620857957.0,634919398.0,13255777355.0,9607111760.0,8782811904.0,824299856.0,9607111760.0
12M 2019,1348096644306.000000,-1211644347891.000000,136452296415.000000,-95274783966.000000,-94644242681.000000,-630541285.000000,-95274783966.000000,41177512449.000000,5466241536.000000,649965575.000000,-10751109820.000000,15567385781.000000,5466241536.000000,46643753985.000000,-15241153687.000000,,31402600298.000000,1846263075.000000,33248863373.000000,31402600298.000000,27100743310.000000,4301856988.000000,31402600298.000000,33248863373.000000,28892330785.000000,4356532588.000000,33248863373.000000
12M 2020,1368035589028.000000,-1238804282963.000000,129231306065.000000,-105940976690.000000,-105623430360.000000,-317546330.000000,-105940976690.000000,23290329375.000000,2178604793.000000,817403747.000000,-14615011575.000000,15976212621.000000,2178604793.000000,25468934168.000000,-8979525890.000000,,16489408278.000000,-138601986.000000,16350806292.000000,16489408278.000000,16639634330.000000,-150226052.000000,16489408278.000000,16350806292.000000,16603813327.000000,-253007035.000000,16350806292.000000
12M 2021,1389331929729.000000,-1240606056404.000000,148725873325.000000,-102755758095.000000,-102448004930.000000,-307753165.000000,-102755758095.000000,45970115230.000000,-17845298.000000,677379421.000000,-12851392719.000000,12156168000.000000,-17845298.000000,45952269932.000000,-13319868203.000000,,32632401729.000000,16778393.000000,32649180122.000000,32632401729.000000,28269832457.000000,4362569272.000000,32632401729.000000,32649180122.000000,28289179955.000000,4360000167.000000,32649180122.000000
12M 2022,1529120178492.000000,-1365514833356.000000,163605345136.000000,-123192473951.000000,-122596662651.000000,-595811300.000000,-123192473951.000000,40412871185.000000,-85201942.000000,569001199.000000,-14066573346.000000,13412370205.000000,-85201942.000000,40327669243.000000,-11485188868.000000,,28842480375.000000,-135794607.000000,28706685768.000000,28842480375.000000,23830173986.000000,5012306389.000000,28842480375.000000,28706685768.000000,23736652898.000000,4970032870.000000,28706685768.000000
12M 2023,1780352921109.000000,-1607074808327.000000,173278112782.000000,-130736988457.000000,-130382222227.000000,-354766230.000000,-130736988457.000000,42541124325.000000,6656393985.000000,778055675.000000,-13358308329.000000,19236646639.000000,6656393985.000000,49197518310.000000,-14645863366.000000,,34551654944.000000,736980173.000000,35288635117.000000,34551654944.000000,27618497085.000000,6933157859.000000,34551654944.000000,35288635117.000000,28224622034.000000,7064013083.000000,35288635117.000000
12M 2024,1870248720441.000000,-1713216663140.000000,157032057301.000000,-134616232989.000000,-134338731288.000000,-277501701.000000,-134616232989.000000,22415824312.000000,7500362783.000000,968053060.000000,-11995013794.000000,18527323517.000000,7500362783.000000,29916187095.000000,-17661459530.000000,,12254727565.000000,810268598.000000,13064996163.000000,12254727565.000000,5686943161.000000,6567784404.000000,12254727565.000000,13064996163.000000,6287364835.000000,6777631328.000000,13064996163.000000
