Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,930531734608.000000,-363927903299.000000,566603831309.000000,-438925685268.000000,-167513400989.000000,-270497396182.000000,5196523259.000000,-6111411356.000000,-438925685268.000000,127678146041.000000,-52074339989.000000,5260750776.000000,-57335090765.000000,-52074339989.000000,75603806052.000000,-22876954043.000000,52726852009.000000,-2924553000.000000,49802299009.000000,52726852009.000000,52726852009.000000,,52726852009.000000,49802299009.000000,49802299009.000000,,49802299009.000000
12M 2017,944837322446.000000,-363167575634.000000,581669746812.000000,-480330082018.000000,-164391127883.000000,-296093904388.000000,7821199269.000000,-27666249016.000000,-480330082018.000000,101339664794.000000,-42955549265.000000,3778226720.000000,-46733775985.000000,-42955549265.000000,58384115529.000000,-14962380915.000000,43421734614.000000,-2012780842.000000,41408953772.000000,43421734614.000000,43421734614.000000,,43421734614.000000,41408953772.000000,41408953772.000000,,41408953772.000000
12M 2018,961136629003.000000,-380496768468.000000,580639860535.000000,-493828074077.000000,-168783724646.000000,-314989581543.000000,1833758469.000000,-11888526357.000000,-493828074077.000000,86811786458.000000,-2773002895.000000,7425980739.000000,-10198983634.000000,-2773002895.000000,84038783563.000000,-22091487874.000000,61947295689.000000,3218721750.000000,65166017439.000000,61947295689.000000,61947295689.000000,,61947295689.000000,65166017439.000000,65166017439.000000,,65166017439.000000
12M 2019,1028952947818.000000,-426417881003.000000,602535066815.000000,-511633150274.000000,-223896745986.000000,-289339532124.000000,3867843466.000000,-2264715630.000000,-511633150274.000000,90901916541.000000,8633556591.000000,9250525703.000000,-616969112.000000,8633556591.000000,99535473132.000000,-22776643675.000000,76758829457.000000,-1777694250.000000,74981135207.000000,76758829457.000000,76758829457.000000,,76758829457.000000,74981135207.000000,74981135207.000000,,74981135207.000000
12M 2020,956634474111.000000,-439655714828.000000,516978759283.000000,-468218974536.000000,-186627103432.000000,-282574403816.000000,9069276052.000000,-8086743340.000000,-468218974536.000000,48759784747.000000,8056575651.000000,8595046948.000000,-538471297.000000,8056575651.000000,56816360398.000000,-12770532085.000000,44045828313.000000,677111760.000000,44722940073.000000,44045828313.000000,44045828313.000000,,44045828313.000000,44722940073.000000,44722940073.000000,,44722940073.000000
12M 2021,1019133657275.000000,-464038494499.000000,555095162776.000000,-436645927877.000000,-184194989415.000000,-255451833251.000000,5461196269.000000,-2460301480.000000,-436645927877.000000,118449234899.000000,7707706931.000000,8248926236.000000,-541219305.000000,7707706931.000000,126156941830.000000,-26090326740.000000,100066615090.000000,2231426340.000000,102298041430.000000,100066615090.000000,100066615090.000000,,100066615090.000000,102298041430.000000,102298041430.000000,,102298041430.000000
12M 2022,1129360552136.000000,-500329164288.000000,629031387848.000000,-481825142459.000000,-206929679815.000000,-272111543719.000000,4067958774.000000,-6851877699.000000,-481825142459.000000,147206245389.000000,6708068395.000000,7136532978.000000,-428464583.000000,6708068395.000000,153914313784.000000,-32656976880.000000,121257336904.000000,-277485780.000000,120979851124.000000,121257336904.000000,121257336904.000000,,121257336904.000000,120979851124.000000,120979851124.000000,,120979851124.000000
12M 2023,1135790489555.000000,-466026945540.000000,669763544015.000000,-519832436805.000000,-237959733247.000000,-289652624103.000000,10765063251.000000,-2985142706.000000,-519832436805.000000,149931107210.000000,10747298270.000000,11251751764.000000,-504453494.000000,10747298270.000000,160678405480.000000,-33251940941.000000,127426464539.000000,1458775500.000000,128885240039.000000,127426464539.000000,127426464539.000000,,127426464539.000000,128885240039.000000,128885240039.000000,,128885240039.000000
12M 2024,1158489850210.000000,-486382261523.000000,672107588687.000000,-557206083739.000000,-256059333492.000000,-303252516550.000000,9820040184.000000,-7714273881.000000,-557206083739.000000,114901504948.000000,8890031095.000000,9351467304.000000,-461436209.000000,8890031095.000000,123791536043.000000,-26681399518.000000,97110136525.000000,2929785300.000000,100039921825.000000,97110136525.000000,97110136525.000000,,97110136525.000000,100039921825.000000,100039921825.000000,,100039921825.000000
