Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pengeluaran Kas Kepada,Pemasok,Karyawan,Beban Operasi Lainnya,Total Pengeluaran Kas Kepada,Penerimaan Dari:,Penghasilan Bunga,Penghasilan Lainnya,Total Penerimaan Dari:,Pembayaran Atas:,Beban Bunga,Pajak,Total Pembayaran Atas:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Pembelian Aset Tak Berwujud,Investasi Obligasi,Penambahan Auc,Pembayaran Deviden,Penerimaan Atas Tambahan Modal,Agio Saham,Beban Emisi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,"Pembayaran Hutang Swiss Life Singapore, Ltd",Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,104527860403.000000,941688682076.000000,,-318027245974.000000,-97771927102.000000,-350152905945.000000,-765952079021.000000,,5260750776.000000,3448237474.000000,8708988250.000000,,-56730000000.000000,-23187730902.000000,-79917730902.000000,104527860403.000000,-71949652748.000000,182281817.000000,-72013666733.000000,-118267832.000000,,,,,,,-71949652748.000000,,,,,32578207655.000000,332836325112.000000,365414532767.000000
12M 2017,29589753950.000000,936719406336.000000,,-282582610371.000000,-114666291911.000000,-362973772701.000000,-760222674983.000000,,3778226720.000000,3884439460.000000,7662666180.000000,,-46733775985.000000,-107835867598.000000,-154569643583.000000,29589753950.000000,225108822415.000000,11703038.000000,-64525993303.000000,,,,-57600000000.000000,146100000000.000000,203550000000.000000,-2426887320.000000,225108822415.000000,-100000000000.000000,,-100000000000.000000,-100000000000.000000,154698576365.000000,365414532767.000000,520113109132.000000
12M 2018,103821716190.000000,937827805782.000000,,-308052475210.000000,-123412798101.000000,-378926920070.000000,-810392193381.000000,,7425980739.000000,759236794.000000,8185217533.000000,,-10198983634.000000,-21600130110.000000,-31799113744.000000,103821716190.000000,-82801197058.000000,693972684.000000,-65840196742.000000,,,,-17654973000.000000,,,,-82801197058.000000,-260000000000.000000,,-260000000000.000000,-260000000000.000000,-238979480868.000000,520113109132.000000,281133628264.000000
12M 2019,158440399914.000000,1039840092612.000000,,-337341306953.000000,-135987057770.000000,-398515319947.000000,-871843684670.000000,,9250525703.000000,3239545743.000000,12490071446.000000,,-616969112.000000,-21429110362.000000,-22046079474.000000,158440399914.000000,-91511054996.000000,204304532.000000,-66704109517.000000,,,,-25011250011.000000,,,,-91511054996.000000,,,,,66929344918.000000,281133628265.000000,348062973183.000000
12M 2020,202642422392.000000,996406489155.000000,,-303286517723.000000,-142605375045.000000,-351634383591.000000,-797526276359.000000,,8595046948.000000,12136235926.000000,20731282874.000000,,,-16969073278.000000,-16969073278.000000,202642422392.000000,-71969466250.000000,148088623.000000,-72117554873.000000,,,,,,,,-71969466250.000000,,,,,130672956142.000000,348062973183.000000,478735929325.000000
12M 2021,213482549779.000000,1032980217295.000000,,-335622070975.000000,-140907564027.000000,-337981548596.000000,-814511183598.000000,,8248926236.000000,5049073976.000000,13298000212.000000,,,-18284484130.000000,-18284484130.000000,213482549779.000000,-81732288425.000000,70771718.000000,-40608060143.000000,,,,-41195000000.000000,,,,-81732288425.000000,,,,,131750261354.000000,478735929325.000000,610486190679.000000
12M 2022,178373991059.000000,1113089037387.000000,,-386942647398.000000,-148748867275.000000,-378906506288.000000,-914598020961.000000,,7136532978.000000,5052397741.000000,12188930719.000000,,,-32305956086.000000,-32305956086.000000,178373991059.000000,-76427071256.000000,210593200.000000,-76637664456.000000,,,,,,,,-76427071256.000000,-205975000000.000000,-205975000000.000000,,-205975000000.000000,-104028080197.000000,610486190679.000000,506458110482.000000
12M 2023,201470972367.000000,1138188140020.000000,,-318961040835.000000,-164961172361.000000,-433136108487.000000,-917058321683.000000,,5226197627.000000,8635344390.000000,13861542017.000000,,,-33520387987.000000,-33520387987.000000,201470972367.000000,-342562404401.000000,460109487.000000,-154203602575.000000,,-188818911313.000000,,,,,,-342562404401.000000,-117700000000.000000,-117700000000.000000,,-117700000000.000000,-258791432034.000000,506458110482.000000,247666678448.000000
12M 2024,112367628413.000000,1113681037108.000000,,-362404815615.000000,-159927432160.000000,-468886388613.000000,-991218636388.000000,,674667735.000000,11509285645.000000,12183953380.000000,,,-22278725687.000000,-22278725687.000000,112367628413.000000,-91449059466.000000,389846906.000000,-91838906372.000000,,,,,,,,-91449059466.000000,-117700000000.000000,-117700000000.000000,,-117700000000.000000,-96781431053.000000,247666678448.000000,150885247395.000000
