Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga,"Penerimaan Royalti, Fees, Komisi, Dan Pendapatan Lain","Pembayaran Kas Kepada Pemasok, Karyawan Dan Aktivitas Operasional Lainnya",Pembayaran Pajak Penghasilan,Pembayaran Bunga,Pembayaran Imbalan Kerja,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Hasil Pelepasan Entitas Anak,Hasil Penjualan Aset Tak Berwujud,Perolehan Aset Tetap,Perolehan Properti Investasi,Perolehan Aset Tak Berwujud,Penerimaan Dari Pelepasan Kepemilikan Pada Entitas Ventura Bersama,Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Penerbitan Saham,Penerbitan Saham Dari Non-Pengendali,Penurunan Modal Disetor,Peningkatan Modal Disetor,Pembayaran Dividen,Pembayaran Utang Bank,Pembayaran Utang Pembelian Aset,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Entitas Anak Yang Dilepaskan,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,40515291500.000000,492285158728.000000,1982103248.000000,,-443059929157.000000,-10144076868.000000,-236660941.000000,-311303510.000000,,40515291500.000000,-11396817901.000000,2424545455.000000,,,-13703142901.000000,,-118220455.000000,,,-11396817901.000000,-10286358000.000000,,,,-100000000000.000000,100000000000.000000,-10000000000.000000,,-286358000.000000,-10286358000.000000,18832115599.000000,56739310797.000000,,56739310797.000000,75571426396.000000
12M 2020,30193770448.000000,276974917133.000000,2121604823.000000,,-237050640457.000000,-8466148270.000000,-740584140.000000,-2645378641.000000,,30193770448.000000,-120841876307.000000,1469633259.000000,,,-121725025566.000000,,-586484000.000000,,,-120841876307.000000,121462991706.000000,9996299579.000000,50418021909.000000,61445000000.000000,,,,,-396329782.000000,121462991706.000000,30814885847.000000,75571426396.000000,,75571426396.000000,106386312243.000000
12M 2021,-28801932481.000000,444166919192.000000,766257939.000000,,-469567901430.000000,-2615283651.000000,-297416037.000000,-1254508494.000000,,-28801932481.000000,-41521846959.000000,302636364.000000,,,-40788008323.000000,,-1036475000.000000,,,-41521846959.000000,-10401913972.000000,,,,,,,-9996299579.000000,-405614393.000000,-10401913972.000000,-80725693412.000000,106386312243.000000,,106386312243.000000,25660618831.000000
12M 2022,-3992485093.000000,529173765791.000000,98425494.000000,,-530596980584.000000,-2391216374.000000,,-276479420.000000,,-3992485093.000000,-7251205315.000000,409090909.000000,,,-5600796224.000000,,-59500000.000000,,-2000000000.000000,-7251205315.000000,,,,,,,,,,,-11243690408.000000,25660618831.000000,,25660618831.000000,14416928423.000000
12M 2023,108979799538.000000,606181920441.000000,630194947.000000,,-489186030931.000000,-3161479020.000000,-1615977605.000000,-3868828294.000000,,108979799538.000000,48923386776.000000,252560154.000000,119468300000.000000,,-65370704378.000000,-7492724000.000000,-234045000.000000,,2300000000.000000,48923386776.000000,,,,,,,,,,,157903186314.000000,14416928423.000000,-58250263171.000000,14416928423.000000,114069851566.000000
12M 2024,43535359412.000000,220269704983.000000,4855690446.000000,,-176349667647.000000,-3609265937.000000,-374972395.000000,-1256130038.000000,,43535359412.000000,-16937308472.000000,54054054.000000,,5000000000.000000,-11362254603.000000,-10434107923.000000,-195000000.000000,,,-16937308472.000000,-1250000000.000000,,,,,,-1250000000.000000,,,-1250000000.000000,25348050940.000000,114069851566.000000,,114069851566.000000,139417902506.000000
