Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,41 B,(14 B),27 B,13.41
12M 2020,30 B,(122 B),(92 B),-36.61
12M 2021,(29 B),(41 B),(70 B),-27.84
12M 2022,(4 B),(6 B),(10 B),-3.84
12M 2023,109 B,(65 B),44 B,17.44
12M 2024,44 B,(11 B),32 B,12.87
