Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,468588622192.000000,-402694250176.000000,65894372016.000000,-49329538819.000000,,,-49329538819.000000,16564833197.000000,8065072621.000000,1982103248.000000,,6082969373.000000,8065072621.000000,24629905818.000000,-6957150581.000000,17672755237.000000,325408095.000000,,325408095.000000,17998163332.000000,17672755237.000000,17687325184.000000,-14569947.000000,17672755237.000000,17998163332.000000,17998163332.000000,,17998163332.000000
12M 2020,246089816344.000000,-219110975117.000000,26978841227.000000,-54071512805.000000,,,-54071512805.000000,-27092671578.000000,8185876342.000000,2121604823.000000,-1314292440.000000,7378563959.000000,8185876342.000000,-18906795236.000000,-61892667.000000,-18968687903.000000,-1416167777.000000,,-1416167777.000000,-20384855680.000000,-18968687903.000000,-12030932678.000000,-6937755225.000000,-18968687903.000000,-20384855680.000000,-13447100455.000000,-6937755225.000000,-20384855680.000000
12M 2021,522928604998.000000,-477768300696.000000,45160304302.000000,-61181884613.000000,,,-61181884613.000000,-16021580311.000000,405289442.000000,766257939.000000,-297416037.000000,-63552460.000000,405289442.000000,-15616290869.000000,8455097625.000000,-7161193244.000000,535113451.000000,,535113451.000000,-6626079793.000000,-7161193244.000000,-5879750487.000000,-1281442757.000000,-7161193244.000000,-6626079793.000000,-5351946762.000000,-1274133031.000000,-6626079793.000000
12M 2022,475948102992.000000,-427566404194.000000,48381698798.000000,-60082386521.000000,,,-60082386521.000000,-11700687723.000000,4000398243.000000,98425494.000000,,3901972749.000000,4000398243.000000,-7700289480.000000,2547994737.000000,-5152294743.000000,541730511.000000,541730511.000000,541730511.000000,-4610564232.000000,-5152294743.000000,-7433531506.000000,2281236763.000000,-5152294743.000000,-4610564232.000000,-6885892228.000000,2275327996.000000,-4610564232.000000
12M 2023,703522640947.000000,-664106324313.000000,39416316634.000000,-66196210871.000000,,,-66196210871.000000,-26779894237.000000,51732657045.000000,630194947.000000,-1615977605.000000,52718439703.000000,51732657045.000000,24952762808.000000,-4333279456.000000,20619483352.000000,7140567.000000,7140567.000000,7140567.000000,20626623919.000000,20619483352.000000,22408082950.000000,-1788599598.000000,20619483352.000000,20626623919.000000,22406816008.000000,-1780192089.000000,20626623919.000000
12M 2024,225220200420.000000,-199128315133.000000,26091885287.000000,-36489958331.000000,,,-36489958331.000000,-10398073044.000000,23672208653.000000,5040111254.000000,-374972395.000000,19007069794.000000,23672208653.000000,13274135609.000000,-1061516363.000000,12212619246.000000,-178070008.000000,-178070008.000000,-178070008.000000,12034549238.000000,12212619246.000000,12212797919.000000,-178673.000000,12212619246.000000,12034549238.000000,12034727911.000000,-178673.000000,12034549238.000000
