Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2020,0.00,110990880.70,0.00,110990880.70,15 B,2 B,17 B,12 B,(30 B)
12M 2021,0.00,156339751.85,0.00,156339751.85,8 B,0 B,9 B,(1 B),(15 B)
12M 2022,0.00,260498168.02,0.00,260498168.02,1 B,1 B,1 B,(12 B),5 B
12M 2023,0.00,108.63,0.00,108.24,18 B,4 B,23 B,11 B,(2 B)
12M 2024,4.24,182.70,4.24,182.70,17 B,1 B,18 B,6 B,32 B
