Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Aktivitas Operasi Lainnya,Pendapatan Keuangan,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Kas Dari Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Penerimaan Kas Dari Piutang Lain-Lain,Pembayaran Kas Untuk Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Pembayaran Kas Untuk Piutang Lain-Lain,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Hak Guna,Akuisisi Entitas Anak,Penerimaan Dari Piutang Non Usaha - Pihak Ketiga,Penambahan Uang Muka Investasi Dan Investasi Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari:,Setoran Modal Nonpengendali,Utang Bank,Utang Lain-Lain - Pihak Ketiga,Utang Lain-Lain - Pihak Berelasi,Tambahan Modal Disetor,Penawaran Umum Perdana,Total Penerimaan Dari:,Pembayaran Untuk:,Utang Bank,Utang Pembiayaan Konsumen,Liabilitas Sewa,Utang Lain-Lain - Pihak Ketiga,Utang Lain-Lain - Pihak Berelasi,Setoran Modal Entitas Anak Dari Nonpengendali,Biaya Emisi Saham,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Pendanaan,Kas Neto Kas Dan Setara Kas,Cerukan,Kas Dan Setara Kas Awal Periode,Kas Dan Setra Kas Akhir Periode
12M 2020,20347976501.000000,114835966666.000000,-63036241309.000000,-22508526459.000000,-5183447877.000000,-2042243784.000000,,-1717530736.000000,20347976501.000000,-19988204821.000000,,150000000.000000,,150000000.000000,,,-210000000.000000,-210000000.000000,-19880704821.000000,,,,,-47500000.000000,-19988204821.000000,-21839502.000000,,,,501960000.000000,1200000000.000000,,,1701960000.000000,,,-1223799502.000000,,,-500000000.000000,,,-1723799502.000000,-21839502.000000,337932178.000000,,-9592324413.000000,-9254392235.000000
12M 2021,17507393070.000000,152042515668.000000,-95842864557.000000,-28346372496.000000,-5671086266.000000,-2166528110.000000,,-2508271169.000000,17507393070.000000,-3649598565.000000,,1050000000.000000,,1050000000.000000,,,-450000000.000000,-450000000.000000,-3982928565.000000,,-266670000.000000,,,,-3649598565.000000,-488869258.000000,,,1500000000.000000,,,,,1500000000.000000,,,-1486909258.000000,,-501960000.000000,,,,-1988869258.000000,-488869258.000000,13368925247.000000,,-9254392235.000000,4114533012.000000
12M 2022,34073170833.000000,205292670257.000000,-115272399670.000000,-35065095945.000000,-12481777059.000000,-1392446782.000000,,-7007779968.000000,34073170833.000000,-21526172941.000000,,800000000.000000,,800000000.000000,,,-540855556.000000,-540855556.000000,-18976428497.000000,,-2808888888.000000,,,,-21526172941.000000,-3398002550.000000,,,,,,,,,,-1500000000.000000,-1898002550.000000,,,,,,-3398002550.000000,-3398002550.000000,9148995342.000000,,4114533012.000000,13263528354.000000
12M 2023,51670828548.000000,290145426768.000000,-132348374384.000000,-40370278401.000000,-53209799010.000000,383475326.000000,-1951232545.000000,-10978389206.000000,51670828548.000000,-53491941365.000000,,,,,,,,,-54294732064.000000,,,,802790699.000000,,-53491941365.000000,-14004568301.000000,,,,,,,,,,-353571432.000000,-2379573310.000000,-8171423559.000000,,-3100000000.000000,,,-14004568301.000000,-14004568301.000000,-15825681118.000000,,13359720792.000000,-2465960326.000000
12M 2024,63455928084.000000,347736599956.000000,-181969430417.000000,-58702899232.000000,-20597203616.000000,681207466.000000,-3010296959.000000,-20682049114.000000,63455928084.000000,-129628389474.000000,,,,,,,,,-98866830001.000000,,-942000000.000000,-26154000000.000000,411130527.000000,-4076690000.000000,-129628389474.000000,69910229703.000000,,,1820000000.000000,,,,51700000000.000000,53520000000.000000,,-353571432.000000,-2898390106.000000,-11033272874.000000,312955856.000000,30107940713.000000,2453000000.000000,-2198432454.000000,16390229703.000000,69910229703.000000,3737768313.000000,7306974.000000,-2465960326.000000,1279114961.000000
