Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,115867433651.000000,-71885117775.000000,43982315876.000000,-32366440752.000000,-9293399816.000000,-23073040936.000000,-32366440752.000000,11615875124.000000,-7193904500.000000,-2042243784.000000,-5151660716.000000,-7193904500.000000,4421970624.000000,-1559942917.000000,-1949775520.000000,389832603.000000,-1559942917.000000,2862027707.000000,,2862027707.000000,,2862027707.000000,2862027707.000000,2861253464.000000,774243.000000,,2862027707.000000,2862027707.000000,2861253464.000000,774243.000000,2862027707.000000
12M 2021,155261173916.000000,-98235063566.000000,57026110350.000000,-38165597295.000000,-11815887457.000000,-26349709838.000000,-38165597295.000000,18860513055.000000,-3311345343.000000,-2166528110.000000,-1144817233.000000,-3311345343.000000,15549167712.000000,-4096414226.000000,-4491456200.000000,395041974.000000,-4096414226.000000,11452753486.000000,,11452753486.000000,-97815653.000000,11354937833.000000,11452753486.000000,11435008937.000000,17744549.000000,,11452753486.000000,11354937833.000000,11337217787.000000,17720046.000000,11354937833.000000
12M 2022,209708540972.000000,-122204281276.000000,87504259696.000000,-50835768784.000000,-15401658262.000000,-35434110522.000000,-50835768784.000000,36668490912.000000,-1162189985.000000,-1392446782.000000,230256797.000000,-1162189985.000000,35506300927.000000,-9517069353.000000,-9739430140.000000,222360787.000000,-9517069353.000000,25989231574.000000,,25989231574.000000,88141373.000000,26077372947.000000,25989231574.000000,25951805970.000000,37425604.000000,,25989231574.000000,26077372947.000000,26039604042.000000,37768905.000000,26077372947.000000
12M 2023,289580376362.000000,-131449669891.000000,158130706471.000000,-90784726510.000000,-19840096583.000000,-70944629927.000000,-90784726510.000000,67345979961.000000,-12861619720.000000,-1951232545.000000,-10910387175.000000,-12861619720.000000,54484360241.000000,-12342131660.000000,-12342131660.000000,,-12342131660.000000,42142228581.000000,-16089295903.000000,26052932678.000000,-52182080.000000,26000750598.000000,26052932678.000000,26027489844.000000,25442834.000000,,26052932678.000000,26000750598.000000,25975361754.000000,25388844.000000,26000750598.000000
12M 2024,348191610324.000000,-84611629053.000000,263579981271.000000,-117559852377.000000,-27891161737.000000,-89668690640.000000,-117559852377.000000,146020128894.000000,-796921659.000000,-3010296959.000000,2213375300.000000,-796921659.000000,145223207235.000000,-33376651484.000000,-33376651484.000000,,-33376651484.000000,111846555751.000000,-12403658063.000000,99442897688.000000,186646730.000000,99629544418.000000,99442897688.000000,96589613487.000000,2853284201.000000,,99442897688.000000,99629544418.000000,96772419536.000000,2857124882.000000,99629544418.000000
