Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,20 B,(20 B),0 B,1869086.72
12M 2021,18 B,(4 B),14 B,54097858.02
12M 2022,34 B,(19 B),15 B,60386969.34
12M 2023,52 B,(54 B),(3 B),-2.39
12M 2024,63 B,(99 B),(35 B),-25.75
