Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Adjustment,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Adjustment,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Adjustment,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Total Liabilitas Jangka Panjang,Adjustment,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Adjustment,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,11063314155.000000,1901011328.000000,69437666839.000000,16694514514.000000,5438335779.000000,279347000.000000,27453332889.000000,28180902.000000,132295703406.000000,,,1250437500.000000,40966948877.000000,,,2748466758.000000,44965853135.000000,177261556541.000000,,,92062808389.000000,11524946978.000000,57590984151.000000,9319992348.000000,294546976.000000,,131494800.000000,1171272239.000000,1302767039.000000,12029570897.000000,92062808389.000000,,2705745736.000000,,378726145.000000,1411977565.000000,915042026.000000,2705745736.000000,,2705745736.000000,,94768554125.000000,,60000000000.000000,727123989.000000,15345659079.000000,,15345659079.000000,15345659079.000000,,200567062.000000,,,6219652286.000000,82493002416.000000,177261556541.000000,600000000.000000
12M 2016,,,8976968306.000000,1998531638.000000,64113167261.000000,19007870005.000000,28069265583.000000,373785000.000000,66625921549.000000,2333286461.000000,191498795803.000000,,,1250437500.000000,63929233151.000000,,,2609973512.000000,67789644163.000000,259288439966.000000,,,113237089594.000000,48484664835.000000,46707368887.000000,539645909.000000,764457071.000000,,3057184875.000000,4350129850.000000,7407314725.000000,9333638167.000000,113237089594.000000,,22240170859.000000,,14956799843.000000,5918798325.000000,1364572691.000000,22240170859.000000,,22240170859.000000,,135477260453.000000,,77000000000.000000,15194211000.000000,25185663191.000000,,25185663191.000000,25185663191.000000,,211653036.000000,,,6219652286.000000,123811179513.000000,259288439966.000000,770000000.000000
12M 2017,,,8804072031.000000,2100543285.000000,63684204546.000000,18484923516.000000,28549069597.000000,767637500.000000,70979688391.000000,1294653322.000000,194664792188.000000,,,1250437500.000000,64642249469.000000,,,1077856974.000000,66970543943.000000,261635336131.000000,,,110188982443.000000,59355155406.000000,28498270504.000000,3921193281.000000,747617444.000000,,3042969653.000000,3476805551.000000,6519775204.000000,11146970604.000000,110188982443.000000,,17732051894.000000,,11913830281.000000,3929445438.000000,1888776175.000000,17732051894.000000,,17732051894.000000,,127921034337.000000,,77000000000.000000,15194211000.000000,35062582297.000000,,35062582297.000000,35062582297.000000,,237856211.000000,,,6219652286.000000,133714301794.000000,261635336131.000000,770000000.000000
12M 2018,,,9892815087.000000,2215964368.000000,66687676372.000000,22726575336.000000,47578872527.000000,4239314256.000000,76340955762.000000,25512072575.000000,255194246283.000000,,,1250437500.000000,67878097502.000000,,,5216878087.000000,74345413089.000000,329539659372.000000,,,201572205687.000000,87677906464.000000,51823172313.000000,2625443083.000000,4118029775.000000,,1220871050.000000,4512610882.000000,5733481932.000000,49594172120.000000,201572205687.000000,,14939281026.000000,,11093980276.000000,1799508744.000000,2045792006.000000,14939281026.000000,,14939281026.000000,,216511486713.000000,,77000000000.000000,15194211000.000000,14402150048.000000,200000000.000000,14202150048.000000,14402150048.000000,,212159325.000000,,,6219652286.000000,113028172659.000000,329539659372.000000,770000000.000000
12M 2019,,,13408068428.000000,,65530255751.000000,21852054613.000000,52423012727.000000,3854776169.000000,82429894300.000000,20736626188.000000,260234688176.000000,,,1250437500.000000,61647861752.000000,,,476550000.000000,63374849252.000000,323609537428.000000,,,212767921488.000000,93037344386.000000,58168349489.000000,5265914884.000000,17989648143.000000,,1220871050.000000,2583544500.000000,3804415550.000000,34502249036.000000,212767921488.000000,,9718362143.000000,,4790561385.000000,598709614.000000,3884568876.000000,9273839875.000000,444522268.000000,9718362143.000000,,222486283631.000000,,77000000000.000000,15194211000.000000,8720817086.000000,200000000.000000,8520817086.000000,8720817086.000000,,208225712.000000,,,,101123253798.000000,323609537429.000000,770000000.000000
12M 2020,,,3844653769.000000,,75800156936.000000,21644828228.000000,23575273577.000000,4187003169.000000,68787563160.000000,12744201267.000000,210583680106.000000,,,1250437500.000000,50811026380.000000,,,5632058090.000000,57693521970.000000,268277202076.000000,,,193329877061.000000,43161800344.000000,97380525652.000000,6725229648.000000,16418362834.000000,,933990515.000000,2146167027.000000,3080157542.000000,26563801041.000000,193329877061.000000,,65074785993.000000,,60215747266.000000,598709615.000000,3884568876.000000,64699025757.000000,375760236.000000,65074785993.000000,,258404663054.000000,,77000000000.000000,15194211000.000000,-82452671726.000000,200000000.000000,-82652671726.000000,-82452671726.000000,,130999748.000000,,,,9872539022.000000,268277202076.000000,770000000.000000
12M 2021,,,4657737498.000000,,74660899558.000000,21528902961.000000,15585018845.000000,4228757170.000000,5661461505.000000,13194861268.000000,139517638805.000000,,,1250437500.000000,46768595171.000000,,,5637058090.000000,53656090761.000000,193173729566.000000,,,199508702447.000000,43161800344.000000,97489349521.000000,5920948128.000000,16418362834.000000,,1751482720.000000,2091399591.000000,3842882311.000000,32675359309.000000,199508702447.000000,,64734871856.000000,,59398255061.000000,598709615.000000,3884568876.000000,63881533552.000000,853338304.000000,64734871856.000000,,264243574303.000000,,77000000000.000000,15194211000.000000,-163378644228.000000,200000000.000000,-163578644228.000000,-163378644228.000000,,114588491.000000,,,,-71069844737.000000,193173729566.000000,770000000.000000
