Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Operasi Lainnya,Pendapatan Bunga,Pembayaran Bunga,Pembayaran Untuk Pajak,Penerimaan Restitusi Pajak,Lain-Lain - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Aset Tetap,Perolehan Aset Tidak Lancar Lainnya,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Dividen,Tambahan Setoran Modal,Pembayaran Pokok Liabilitas Sewa,Hasil Dari Penerbitan Saham,Penerimaan Utang Kepada Pemegang Saham,Pembayaran Utang Kepada Pemegang Saham,Pembayaran Utang Sewa Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2019,-10764912121.000000,263615755249.000000,-226939234310.000000,-17432602107.000000,-20593219421.000000,10454502.000000,-7585848433.000000,-5597858000.000000,3756482250.000000,1158149.000000,-10764912121.000000,-119792182.000000,-125592182.000000,,,5800000.000000,-119792182.000000,10123597053.000000,349669348441.000000,-339545751388.000000,,,,,,,,10123597053.000000,-761107250.000000,81124656.000000,1813938202.000000,1133955608.000000
12M 2020,25964545747.000000,231625361386.000000,-176364775885.000000,-14895180340.000000,-7883990313.000000,7683741.000000,-6370299835.000000,-3560524000.000000,3405834750.000000,436243.000000,25964545747.000000,-229668176.000000,-230568176.000000,,,900000.000000,-229668176.000000,-24738647609.000000,246694664868.000000,-274433312477.000000,,,,,3000000000.000000,,,-24738647609.000000,996229962.000000,-184196473.000000,1133955608.000000,1945989097.000000
12M 2021,4875417982.000000,218335915639.000000,-170591503588.000000,-15434236700.000000,-25283583632.000000,163960967.000000,-3351600132.000000,-1964748000.000000,3000630500.000000,582928.000000,4875417982.000000,8253887976.000000,-825192024.000000,,,9079080000.000000,8253887976.000000,-13073631817.000000,128026308985.000000,-137957841161.000000,-9800000000.000000,9800000000.000000,,,,-3000000000.000000,-142099641.000000,-13073631817.000000,55674141.000000,-20789496.000000,1945989097.000000,1980873742.000000
12M 2022,4844001000.000000,224055349000.000000,-196545848000.000000,-17977685000.000000,-3293452000.000000,75121000.000000,-1581350000.000000,-4416373000.000000,4538349000.000000,-10110000.000000,4844001000.000000,-1272588000.000000,-1400118000.000000,,-71920000.000000,199450000.000000,-1272588000.000000,-4013776000.000000,21254017000.000000,-49740813000.000000,-3700000000.000000,25347977000.000000,,3000000000.000000,,,-174957000.000000,-4013776000.000000,-442363000.000000,-12386000.000000,1980874000.000000,1526125000.000000
12M 2023,-6970901624.000000,229691907095.000000,-200810043664.000000,-18572626163.000000,-11434029380.000000,3598997.000000,-753144953.000000,-4571149875.000000,,-525413681.000000,-6970901624.000000,-310098522.000000,-584475529.000000,,,274377007.000000,-310098522.000000,6841951800.000000,34106908941.000000,-25575104215.000000,-1500000000.000000,,,,,,-189852926.000000,6841951800.000000,-439048346.000000,3423691.000000,1526125208.000000,1090500553.000000
12M 2024,9343189173.000000,229211658972.000000,-188531033842.000000,-18352264758.000000,-10073267754.000000,3390131.000000,-1237667144.000000,-4351079850.000000,2337989955.000000,335463463.000000,9343189173.000000,-1553665999.000000,-1519268338.000000,-36077661.000000,,1680000.000000,-1553665999.000000,-7217946275.000000,52144835595.000000,-57401159715.000000,-750000000.000000,,-1029731854.000000,,,,-181890301.000000,-7217946275.000000,571576899.000000,50670.000000,1090500553.000000,1662128122.000000
