Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2019,270308452874.000000,-228464445595.000000,41844007279.000000,-32357296630.000000,-32357296630.000000,-32357296630.000000,9486710649.000000,-5752843500.000000,-7585848433.000000,1815592282.000000,5800000.000000,10454502.000000,1158149.000000,-5752843500.000000,3733867149.000000,-2438011000.000000,1295856149.000000,-365950500.000000,929905649.000000,1295856149.000000,1295856149.000000,,1295856149.000000,929905649.000000,929905649.000000,,929905649.000000
12M 2020,205045830161.000000,-169691309628.000000,35354520533.000000,-33403440347.000000,-33403440347.000000,-33403440347.000000,1951080186.000000,-10361607763.000000,-6370299835.000000,-4000327912.000000,900000.000000,7683741.000000,436243.000000,-10361607763.000000,-8410527577.000000,-482123753.000000,-8892651330.000000,1424294350.000000,-7468356980.000000,-8892651330.000000,-8892651330.000000,,-8892651330.000000,-7468356980.000000,-7468356980.000000,,-7468356980.000000
12M 2021,226399755093.000000,-182516572820.000000,43883182273.000000,-26793312289.000000,-26793312289.000000,-26793312289.000000,17089869984.000000,4650684840.000000,-3351600132.000000,-585705019.000000,7492333095.000000,163960967.000000,931695929.000000,4650684840.000000,21740554824.000000,-3248036347.000000,18492518477.000000,254324060.000000,18746842537.000000,18492518477.000000,18492518477.000000,,18492518477.000000,18746842537.000000,18746842537.000000,,18746842537.000000
12M 2022,230719095000.000000,-187122582000.000000,43596513000.000000,-30135438000.000000,-30135438000.000000,-30135438000.000000,13461075000.000000,-5283921000.000000,-1581350000.000000,-3939075000.000000,171493000.000000,75121000.000000,-10110000.000000,-5283921000.000000,8177154000.000000,-1961597000.000000,6215557000.000000,368578000.000000,6584135000.000000,6215557000.000000,6215557000.000000,,6215557000.000000,6584135000.000000,6584135000.000000,,6584135000.000000
12M 2023,224359271969.000000,-187798281704.000000,36560990265.000000,-32647809304.000000,-32647809304.000000,-32647809304.000000,3913180961.000000,365278065.000000,-753144953.000000,1465396460.000000,174841242.000000,3598997.000000,-525413681.000000,365278065.000000,4278459026.000000,892550203.000000,5171009229.000000,256366051.000000,5427375280.000000,5171009229.000000,5171009229.000000,,5171009229.000000,5427375280.000000,5427375280.000000,,5427375280.000000
12M 2024,221978524057.000000,-190304165594.000000,31674358463.000000,-31058488944.000000,-31058488944.000000,-31058488944.000000,615869519.000000,-2040504683.000000,-1072938998.000000,-1305915377.000000,-503902.000000,3390131.000000,335463463.000000,-2040504683.000000,-1424635164.000000,252308522.000000,-1172326642.000000,417122940.000000,-755203702.000000,-1172326642.000000,-1172326642.000000,,-1172326642.000000,-755203702.000000,-755203702.000000,,-755203702.000000
