Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Others,Total Simpanan Nasabah,Utang Pajak,Others,Total Utang Pajak,Pinjaman Yang Diterima,Surat Berharga Yang Diterbitkan,Beban Akrual,Dana Syirkah Temporer,Others,Total Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,228525000000.000000,1448883000000.000000,,190264000000.000000,37704000000.000000,68689000000.000000,,7182457000000.000000,9156522000000.000000,,,20406000000.000000,1297831000000.000000,1297831000000.000000,1297831000000.000000,95729000000.000000,95729000000.000000,95729000000.000000,,,64720000000.000000,5248048000000.000000,5248048000000.000000,5248048000000.000000,175142000000.000000,6901876000000.000000,,693333000000.000000,188456000000.000000,1350006000000.000000,20000000000.000000,1330006000000.000000,1350006000000.000000,,22851000000.000000,2254646000000.000000,9156522000000.000000,6933330000.000000
12M 2018,,415583000000.000000,2640552000000.000000,275000000000.000000,176801000000.000000,45734000000.000000,99584000000.000000,,8386021000000.000000,12039275000000.000000,,,3199000000.000000,1619254000000.000000,1619254000000.000000,1619254000000.000000,106444000000.000000,106444000000.000000,106444000000.000000,,,128799000000.000000,5992860000000.000000,5992860000000.000000,5992860000000.000000,191787000000.000000,8042343000000.000000,,770370000000.000000,846440000000.000000,2353047000000.000000,25000000000.000000,2328047000000.000000,2353047000000.000000,,27075000000.000000,3996932000000.000000,12039275000000.000000,7703700000.000000
12M 2019,,711333000000.000000,3108402000000.000000,,209550000000.000000,66794000000.000000,144875000000.000000,,11142084000000.000000,15383038000000.000000,,,9624000000.000000,1895885000000.000000,1895885000000.000000,1895885000000.000000,74583000000.000000,74583000000.000000,74583000000.000000,,,184841000000.000000,7550664000000.000000,7550664000000.000000,7550664000000.000000,274121000000.000000,9989718000000.000000,,770370000000.000000,846440000000.000000,3761832000000.000000,45000000000.000000,3716832000000.000000,3761832000000.000000,,14678000000.000000,5393320000000.000000,15383038000000.000000,7703700000.000000
12M 2020,,1109974000000.000000,2979322000000.000000,,332116000000.000000,102308000000.000000,196487000000.000000,,11714798000000.000000,16435005000000.000000,,,47506000000.000000,1857115000000.000000,1857115000000.000000,1857115000000.000000,118253000000.000000,118253000000.000000,118253000000.000000,,200000000000.000000,122010000000.000000,7923366000000.000000,7923366000000.000000,7923366000000.000000,288006000000.000000,10556256000000.000000,,770370000000.000000,846440000000.000000,4245485000000.000000,65000000000.000000,4180485000000.000000,4245485000000.000000,,16454000000.000000,5878749000000.000000,16435005000000.000000,7703700000.000000
12M 2021,,861989000000.000000,1069438000000.000000,,376934000000.000000,129492000000.000000,154560000000.000000,,15951443000000.000000,18543856000000.000000,,,23223000000.000000,2067557000000.000000,2067557000000.000000,2067557000000.000000,57013000000.000000,57013000000.000000,57013000000.000000,,,90133000000.000000,8905903000000.000000,8905903000000.000000,8905903000000.000000,305127000000.000000,11448956000000.000000,,770370000000.000000,846440000000.000000,5460588000000.000000,85000000000.000000,5375588000000.000000,5460588000000.000000,200000000.000000,17302000000.000000,7094900000000.000000,18543856000000.000000,7703700000.000000
12M 2022,,729843000000.000000,731427000000.000000,230500000000.000000,378767000000.000000,170612000000.000000,160622000000.000000,,18760205000000.000000,21161976000000.000000,,,38428000000.000000,2205268000000.000000,2205268000000.000000,2205268000000.000000,59293000000.000000,59293000000.000000,59293000000.000000,100000000000.000000,,90791000000.000000,9843261000000.000000,9843261000000.000000,9843261000000.000000,416940000000.000000,12753981000000.000000,,770370000000.000000,846440000000.000000,6769100000000.000000,105000000000.000000,6664100000000.000000,6769100000000.000000,3040000000.000000,19045000000.000000,8407995000000.000000,21161976000000.000000,7703700000.000000
12M 2023,,497153000000.000000,763443000000.000000,238000000000.000000,376242000000.000000,210744000000.000000,273592000000.000000,,19076192000000.000000,21435366000000.000000,,,29345000000.000000,2221997000000.000000,2221997000000.000000,2221997000000.000000,50901000000.000000,50901000000.000000,50901000000.000000,,,67568000000.000000,9920820000000.000000,9920820000000.000000,9920820000000.000000,367602000000.000000,12658233000000.000000,,770370000000.000000,846440000000.000000,7136434000000.000000,125000000000.000000,7011434000000.000000,7136434000000.000000,3129000000.000000,20760000000.000000,8777133000000.000000,21435366000000.000000,7703700000.000000
12M 2024,,592911000000.000000,1669329000000.000000,247000000000.000000,335055000000.000000,212953000000.000000,226709000000.000000,,18463623000000.000000,21747580000000.000000,,,22963000000.000000,2125081000000.000000,2125081000000.000000,2125081000000.000000,30553000000.000000,30553000000.000000,30553000000.000000,,200000000000.000000,70921000000.000000,9599352000000.000000,9599352000000.000000,9599352000000.000000,382116000000.000000,12430986000000.000000,,770370000000.000000,846440000000.000000,7666787000000.000000,145000000000.000000,7521787000000.000000,7666787000000.000000,3013000000.000000,29984000000.000000,9316594000000.000000,21747580000000.000000,7703700000.000000
