Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Penerimaan Penghasilan Keuangan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Hasil Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Perolehan Aset Tetap,Penurunan (Peningkatan) Kas Dibatasi Penggunannya,Kas Entitas Anak Yang Diakuisisi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal Saham,Penerimaan Tambahan Modal Disetor,Penerimaan Dari Ipo,Penambahan Uang Muka Investasi,Penerimaan Kas Lainnya Dari Aktivitas Pendanaan,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Dari Pihak Berelasi,Penerimaan Pinjaman Bank,Penerimaan Utang Sewa Pembiayaan,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Panjang,Penerimaan Utang Lain-Lain Jangka Panjang,Pembayaran Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Utang Lain-Lain Jangka Panjang,Pembayaran Liabilitas Sewa,Penerimaan (Pembayaran) Utang Sewa Pembiayaan,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2019,-14968003044.000000,190237574739.000000,-175619206363.000000,-16609257703.000000,-1074343704.000000,-11902770013.000000,,,-14968003044.000000,-24305292326.000000,,,-20715755859.000000,-3590936467.000000,1400000.000000,-24305292326.000000,69112983817.000000,68770000000.000000,,,,,,,,,,126959121141.000000,,11600000000.000000,-125972777189.000000,-6325200000.000000,-5258107442.000000,,-660052693.000000,,69112983817.000000,,29839688447.000000,3382518566.000000,-10315188.000000,33211891825.000000
12M 2020,-6726819051.000000,171205688646.000000,-141851705193.000000,-21222670509.000000,-632044487.000000,-14226087508.000000,,,-6726819051.000000,-31854605872.000000,2365831250.000000,-1707517.000000,-34417506112.000000,198776507.000000,,-31854605872.000000,7709382809.000000,,,22988884611.000000,,,,,,,,92378445857.000000,10000000000.000000,,-94112889770.000000,-4051600363.000000,-4058387492.000000,-15435070034.000000,,,7709382809.000000,,-30872042114.000000,33211891825.000000,209253.000000,2340058964.000000
12M 2021,14452134008.000000,147568523635.000000,-100639102000.000000,-17058828833.000000,-817966397.000000,-14600492397.000000,,,14452134008.000000,-18335003853.000000,,,-18333331501.000000,-1672352.000000,,-18335003853.000000,3279422225.000000,,,,-1926315675.000000,,,,231914610158.000000,,-223358633040.000000,,,,,,4969735894.000000,-8319975112.000000,,,3279422225.000000,,-603447620.000000,2340058964.000000,260291.000000,1736871635.000000
12M 2022,31544309811.000000,125089481874.000000,-67185685759.000000,-14449741239.000000,-131004119.000000,-11778740946.000000,,,31544309811.000000,-15076209499.000000,515003240.000000,,-23032305416.000000,7441092677.000000,,-15076209499.000000,-16203427611.000000,,,,,,,,71832568957.000000,,-85462896416.000000,,,,,,2700037786.000000,-5273137938.000000,,,-16203427611.000000,,264672701.000000,1736871635.000000,79911.000000,2001624247.000000
12M 2023,4953149736.000000,110075175140.000000,-81813906626.000000,-11646133346.000000,-68009566.000000,-11597170938.000000,3195072.000000,,4953149736.000000,1658387638.000000,4801000000.000000,,-3142612362.000000,,,1658387638.000000,-6552461014.000000,,,,,,,,,,-6010446542.000000,,,7200000000.000000,,,,-7742014472.000000,,,-6552461014.000000,,59076360.000000,2001624247.000000,295246.000000,2060995853.000000
12M 2024,18528894970.000000,165967029234.000000,-122640192506.000000,-12963784663.000000,-256756728.000000,-11607999773.000000,30599406.000000,,18528894970.000000,-3223662434.000000,39449758.000000,,-3263112192.000000,,,-3223662434.000000,-14880477270.000000,,,,,,,,,,-7258863692.000000,,,3525850000.000000,,,-260084179.000000,-10887379399.000000,,,-14880477270.000000,,424755266.000000,2060995853.000000,385449.000000,2486136568.000000
