Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Tanah Untuk Dikembangkan,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Utang Bank Jangka Pendek,Utang Bank,Beban Akrual,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Pihak Berelasi,Utang Bank,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,5949559618.000000,3945695792.000000,3945695792.000000,,3945695792.000000,,,,,33591293572.000000,47559694.000000,43534108676.000000,,38108027264.000000,,,418891542.000000,1666318183.000000,34577400000.000000,74770636989.000000,118304745665.000000,,,9627638657.000000,,3337643870.000000,3337643870.000000,,,6928406.000000,6928406.000000,1704484360.000000,,,101417593.000000,858523922.000000,3618640506.000000,9627638657.000000,1448723711.000000,,,,,1448723711.000000,1448723711.000000,11076362368.000000,,143344500000.000000,,11784626255.000000,2300000000.000000,9484626255.000000,11784626255.000000,8462406.000000,-47909205364.000000,107228383297.000000,118304745665.000000,326722500.000000
12M 2009,,,15799399743.000000,3235505223.000000,3235505223.000000,,3235505223.000000,,,,,29141092924.000000,7283000.000000,48183280890.000000,,38693927264.000000,,,,337547623.000000,31968600000.000000,71000074887.000000,119183355777.000000,,,3801065150.000000,,791152294.000000,791152294.000000,,,22360078.000000,22360078.000000,323616728.000000,,,191417593.000000,40227554.000000,2432290903.000000,3801065150.000000,1571437525.000000,,,,,1571437525.000000,1571437525.000000,5372502675.000000,,143344500000.000000,,11901811188.000000,2300000000.000000,9601811188.000000,11901811188.000000,8083789.000000,-41443541875.000000,113810853102.000000,119183355777.000000,326722500.000000
12M 2010,,,18822355347.000000,4279085882.000000,4279085882.000000,,4279085882.000000,,,,,25186760550.000000,22000002.000000,48310201781.000000,,41494882464.000000,,,,291002169.000000,27205000000.000000,68990884633.000000,117301086414.000000,,,5905419266.000000,,2025832882.000000,2025832882.000000,,,62301673.000000,62301673.000000,223502651.000000,,,224702720.000000,15819256.000000,3353260084.000000,5905419266.000000,1880139208.000000,,,,,1880139208.000000,1880139208.000000,7785558474.000000,,143344500000.000000,,12370469092.000000,2300000000.000000,10070469092.000000,12370469092.000000,7700723.000000,-46207141875.000000,109515527940.000000,117301086414.000000,326722500.000000
12M 2011,,,2162064005.000000,5161424980.000000,5161424980.000000,,5161424980.000000,,,,,23354916412.000000,6875000.000000,30685280397.000000,,45362581812.000000,,55503099484.000000,,813749765.000000,3572500000.000000,105251931061.000000,135937211458.000000,,,8201784621.000000,,1852563920.000000,1852563920.000000,,,74734178.000000,74734178.000000,138216579.000000,,,267828073.000000,,5868441871.000000,8201784621.000000,2262006977.000000,,,,,2262006977.000000,2262006977.000000,10463791598.000000,,143344500000.000000,,-1589625610.000000,2300000000.000000,-3889625610.000000,-1589625610.000000,7356940.000000,-16288811470.000000,125473419860.000000,135937211458.000000,326722500.000000
12M 2012,,,20774697156.000000,13563470419.000000,13563470419.000000,,13563470419.000000,,,,,30663880497.000000,6875000.000000,65008923072.000000,,35423244634.000000,,51543220544.000000,,598967613.000000,237500000.000000,87802932791.000000,152811855863.000000,,,8335367662.000000,,3056225470.000000,3056225470.000000,,,89500000.000000,89500000.000000,574987300.000000,,,297455225.000000,,4317199667.000000,8335367662.000000,2602276037.000000,,,,,2602276037.000000,2602276037.000000,10937643699.000000,,143344500000.000000,,333541839.000000,2300000000.000000,-1966458161.000000,333541839.000000,7054816.000000,-1810884491.000000,141874212164.000000,152811855863.000000,326722500.000000
12M 2013,,,46566633747.000000,7514477584.000000,7514477584.000000,,7514477584.000000,,,,,31152493350.000000,224375000.000000,85457979681.000000,,35301972748.000000,,36910459451.000000,,1327127663.000000,,73539559862.000000,158997539543.000000,,,28175300065.000000,,2239577700.000000,2239577700.000000,,,673109950.000000,673109950.000000,1385774356.000000,,,125990225.000000,,23750847834.000000,28175300065.000000,2988078965.000000,,,,,2988078965.000000,2988078965.000000,31163379030.000000,,143344500000.000000,-1767134491.000000,-13650235316.000000,2300000000.000000,-15950235316.000000,-13650235316.000000,6803370.000000,-99773050.000000,127834160513.000000,158997539543.000000,326722500.000000
12M 2014,,,43155850124.000000,7226161277.000000,7226161277.000000,,7226161277.000000,,,,,34645518130.000000,11593875000.000000,96621404531.000000,,27668992973.000000,,30677659093.000000,,971828937.000000,,59318481003.000000,155939885534.000000,,,20726964087.000000,,2490600220.000000,2490600220.000000,,,1426237881.000000,1426237881.000000,3346291987.000000,,,648489092.000000,,12815344907.000000,20726964087.000000,3045215141.000000,,,,,3045215141.000000,3045215141.000000,23772179228.000000,,143344500000.000000,-1767134491.000000,-10648501808.000000,2300000000.000000,-12948501808.000000,-10648501808.000000,6115655.000000,1232726950.000000,132167706306.000000,155939885534.000000,326722500.000000
12M 2015,,,32745135084.000000,5435117423.000000,5435117423.000000,,5435117423.000000,,,,,26883692290.000000,296192000.000000,65360136797.000000,,25505164726.000000,,22853522523.000000,,1110365873.000000,67434528011.000000,116903581133.000000,182263717930.000000,,,12583253479.000000,,,,817756322.000000,,,817756322.000000,1279719723.000000,,,192165054.000000,,10293612380.000000,12583253479.000000,1462535613.000000,,,,,1462535613.000000,1462535613.000000,14045789092.000000,,143344500000.000000,-1767134491.000000,-12236883494.000000,2300000000.000000,-14536883494.000000,-12236883494.000000,6028201.000000,38871418622.000000,168217928838.000000,182263717930.000000,326722500.000000
12M 2016,,,17131245214.000000,3982398622.000000,3982398622.000000,,3982398622.000000,,,,,16462245030.000000,277500000.000000,37853388866.000000,,67692781580.000000,,,,1593879887.000000,60349670765.000000,129636332232.000000,167489721098.000000,,,3761077355.000000,,,,,,900847222.000000,900847222.000000,2125090115.000000,,,5731355.000000,106884000.000000,622524663.000000,3761077355.000000,1854797224.000000,174730000.000000,,,,1680067224.000000,1854797224.000000,5615874579.000000,,143344500000.000000,-1653037094.000000,-18835708209.000000,2300000000.000000,-21135708209.000000,-18835708209.000000,15523200.000000,39002568622.000000,161873846519.000000,167489721098.000000,326722500.000000
12M 2017,,,9836539837.000000,34074792102.000000,,,34074792102.000000,,,,,47176371982.000000,10521930200.000000,101609634121.000000,,26413716193.000000,,,,1256071966.000000,89481779970.000000,117151568129.000000,218761202250.000000,,,39964237762.000000,,12845595000.000000,12845595000.000000,,,2536121711.000000,2536121711.000000,2371511564.000000,,11158600000.000000,10027600000.000000,125964000.000000,898845487.000000,39964237762.000000,2649995083.000000,106006000.000000,,,,2543989083.000000,2649995083.000000,42614232845.000000,,143344500000.000000,-1453037094.000000,-4788744521.000000,2300000000.000000,-7088744521.000000,-4788744521.000000,19182398.000000,39025068622.000000,176146969405.000000,218761202250.000000,326722500.000000
