Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Pendapatan Keuangan,Beban Keuangan,Beban Penjualan,Beban Umum Dan Administrasi,Final,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,27600939842.000000,19755661684.000000,47356601526.000000,-6624262890.000000,,278594540.000000,,-891807074.000000,-6011050356.000000,,,,-6624262890.000000,40732338636.000000,542737945.000000,,83333270.000000,459404675.000000,542737945.000000,41275076581.000000,-798655145.000000,-877283000.000000,78627855.000000,-798655145.000000,40476421436.000000,-357377.000000,40476064059.000000,,,,,40476064059.000000,40476421436.000000,-357377.000000,40476064059.000000,,,,
12M 2009,11856905833.000000,7562163969.000000,19419069802.000000,-3934744091.000000,,817088516.000000,,-261792717.000000,-4490039890.000000,,,,-3934744091.000000,15484325711.000000,349653834.000000,,213478736.000000,136175098.000000,349653834.000000,15833979545.000000,-592845292.000000,-592845292.000000,,-592845292.000000,15241134253.000000,-378617.000000,15240755636.000000,,,,,15240755636.000000,15241134253.000000,-378617.000000,15240755636.000000,,,,
12M 2010,15781552358.000000,-9061135576.000000,6720416782.000000,-5430975396.000000,,1145300215.000000,,-874516636.000000,-5701758975.000000,,,,-5430975396.000000,1289441386.000000,-32088930.000000,,,-32088930.000000,-32088930.000000,1257352456.000000,-789077618.000000,,,-789077618.000000,468274838.000000,383066.000000,468657904.000000,,,,,468657904.000000,468274838.000000,383066.000000,468657904.000000,,,,
12M 2011,15724942574.000000,-8337433862.000000,7387508712.000000,-5904420776.000000,,2505960151.000000,,-971590768.000000,-7438790159.000000,,,,-5904420776.000000,1483087936.000000,-14655413392.000000,,149856664.000000,-14805270056.000000,-14655413392.000000,-13172325456.000000,-788113029.000000,,,-788113029.000000,-13960438485.000000,,-13960438485.000000,29918330405.000000,29918330405.000000,29918330405.000000,15957891920.000000,-13960438485.000000,-13960094702.000000,-343783.000000,-13960438485.000000,15957891920.000000,15958235703.000000,-343783.000000,15957891920.000000
12M 2012,41729192546.000000,-22434320111.000000,19294872435.000000,-10004014313.000000,-10296002033.000000,291987720.000000,,,,,,,-10004014313.000000,9290858122.000000,-5281533170.000000,-3959878940.000000,,-1321654230.000000,-5281533170.000000,4009324952.000000,-2086459627.000000,,,-2086459627.000000,1922865325.000000,,1922865325.000000,14477926979.000000,14477926979.000000,14477926979.000000,16400792304.000000,1922865325.000000,1923167449.000000,-302124.000000,1922865325.000000,16400792304.000000,16401094428.000000,-302124.000000,16400792304.000000
12M 2013,20544931500.000000,-8483494807.000000,12061436693.000000,-9938560913.000000,-10679875422.000000,741314509.000000,,,,,,,-9938560913.000000,2122875780.000000,-15079657806.000000,-14632761093.000000,,-446896713.000000,-15079657806.000000,-12956782026.000000,-1027246575.000000,,,-1027246575.000000,-13984028601.000000,,-13984028601.000000,-20000000.000000,-20000000.000000,-20000000.000000,-14004028601.000000,-13984028601.000000,-13983777155.000000,-251446.000000,-13984028601.000000,-14004028601.000000,-14003777155.000000,-251446.000000,-14004028601.000000
12M 2014,49251127287.000000,-25133759481.000000,24117367806.000000,-12505524307.000000,-12964078049.000000,2068090725.000000,-1609536983.000000,,,,,,-12505524307.000000,11611843499.000000,-6148036758.000000,-6148036758.000000,,,-6148036758.000000,5463806741.000000,-2462556364.000000,,,-2462556364.000000,3001250377.000000,,3001250377.000000,1332500000.000000,1332500000.000000,1332500000.000000,4333750377.000000,3001250377.000000,3001733508.000000,-483131.000000,3001250377.000000,4333750377.000000,4334448009.000000,-697632.000000,4333750377.000000
12M 2015,16970149091.000000,-9238808304.000000,7731340787.000000,-8776846780.000000,,2207090991.000000,-2054451259.000000,-968794681.000000,-6993829902.000000,-966861929.000000,,,-8776846780.000000,-1045505993.000000,-2040132167.000000,-2040132167.000000,,,-2040132167.000000,-3085638160.000000,,,,,-3085638160.000000,,-3085638160.000000,37703480317.000000,37703480317.000000,37703480317.000000,34617842157.000000,-3085638160.000000,-3085317061.000000,-321099.000000,-3085638160.000000,34617842157.000000,34618163256.000000,-321099.000000,34617842157.000000
12M 2016,17945077363.000000,-10585186292.000000,7359891071.000000,-7476575817.000000,,1097999144.000000,,-207812033.000000,-7668610047.000000,-698152881.000000,,,-7476575817.000000,-116684746.000000,-6784087462.000000,-7147671463.000000,,363584001.000000,-6784087462.000000,-6900772208.000000,,,,,-6900772208.000000,,-6713147549.000000,244967834.000000,244967834.000000,244967834.000000,-6468179715.000000,-6713147549.000000,-6712642549.000000,-505000.000000,-6713147549.000000,-6468179715.000000,-6467674715.000000,-505000.000000,-6468179715.000000
12M 2017,73176900000.000000,-44772962312.000000,28403937688.000000,-14748011452.000000,,420807328.000000,-2214553133.000000,-2519917681.000000,-9680257689.000000,-754090277.000000,,,-14748011452.000000,13655926236.000000,863854484.000000,947202404.000000,,-83347920.000000,863854484.000000,14519780720.000000,,,,,14519780720.000000,,14519780720.000000,-446657834.000000,-446657834.000000,-446657834.000000,14073122886.000000,14519780720.000000,14516118921.000000,3661799.000000,14519780720.000000,14073122886.000000,14069463688.000000,3659198.000000,14073122886.000000
