Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari (Pembayaran Untuk):,"Kontraktor, Pemasok Dan Lainnya",Gaji Dan Tunjangan Karyawan,Pajak Penghasilan Dan Pajak Lainnya,Beban Operational Lainnya,Beban Keuangan,Pihak-Pihak Berelasi,Pendapatan Keuangan,Total Penerimaan Dari (Pembayaran Untuk):,Pencairan / (Kenaikan) Dana Yang Dibatasi Penggunaannya,Pencairan Investasi Jangka Pendek,Pencairan Investasi Efek Diperdagangkan Dan Deposito Berjangka,Penempatan Investasi Efek Diperdagangkan Dan Deposito Berjangka,Kenaikan/Penurunan Piutang Pihak Berelasi,Kenaikan/Penurunan Hutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan/Penempatan Dana Yang Dibatasi Penggunaannya,Penurunan/Kenaikan Investasi-Neto,Pendapatan Bunga,Penempatan Investasi Surat Berharga,Penerimaan Dividen Dari Entitas Asosiasi,Hasil Pelepasan Investasi Pada Entitas Asosiasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Tanah Untuk Dikembangkan,Penambahan Properti Investasi,Uang Muka Pembelian Tanah,Akuisisi Enitas Anak,Kas Dan Setara Kas Entitas Anak Yang Diakuisisi,Kenaikan Dana Rekening Escrow,Kenaikan Uang Muka Pembelian Aset Tetap,Uang Muka Investasi Pada Asosiasi Dan Entitas Lainnya,Kenaikan Piutang Pihak Berelasi,Penambahan Investasi Pada Entitas Anak Dan Entitas Asosiasi,Penambahan Investasi Pada Entitas Anak Dan Entitas Asosiasi Yang Di Peroleh Dari Kepentingan Nonpengendali,Penempatan Investasi Efek Diperdagangkan Dan Deposito Berjangka-Jangka Panjang,Kas Entitas Anak Yang Didekonsolidasi,Penempatan Investasi Dalam Efek Dimiliki Hingga Jatuh Tempo,Pencairan Investasi Dalam Efek Dimiliki Hingga Jatuh Tempo,Pengembalian Uang Muka Investasi Pada Entitas Asosiasi,Akuisisi Entitas Sepengendali,Perolehan Anak Perusahaan Melaui Pembelian Saham,Penurunan/Kenaikan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Hutang Bank,Pembayaran Hutang Bank,Pembayaran Wesel Bayar,Penerimaan Dari Wesel Bayar,Penerimaan Dari Obligasi,Setoran Modal Dari Kepentingan Nonpengendali,Pembayaran Dividen Oleh Perusahaan,Pembayaran Utang Obligasi,Pembelian Kembali Modal Saham,Pembayaran Dividen Oleh Entitas Anak,Setoran Modal Pada Entitas Anak Oleh Knp,Penurunan Modal Pada Entitas Anak Oleh Knp,Penjualan Kembali Saham Oleh Entitas Anak,Kenaikan Dana Yang Dibatasi Penggunaannya,Proforma Capital,Hasil Pelaksanaan Waran,Penerimaan Dari Pelepasan Investasi Oleh Entitas Anak,Penurunan Modal Pada Entitas Anak Dari Kepentingan Nonpengendali,Pembelian Kembali Saham Oleh Entitas Anak,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Proforma Kas Dan Setara Kas Diperoleh Dari Akuisisi Entitas Sepengendali,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,498523305464.000000,1521607871316.000000,,-747369529434.000000,-127275811233.000000,-109766356779.000000,-149032720182.000000,-14418498536.000000,,120760546921.000000,-1027102369243.000000,,,19461528330.000000,-11086582035.000000,-6928821137.000000,2571678233.000000,498523305464.000000,-301255109751.000000,,,,,,,3601832114.000000,-304856941865.000000,,,,,,,,,,,,,,,,,,,,-301255109751.000000,-31115645215.000000,107070163391.000000,-102934551169.000000,,,,,,,,,,,,-43327377437.000000,,8076120000.000000,,,,,-31115645215.000000,,166152550498.000000,8962767109.000000,2289226087732.000000,,2464341405339.000000
12M 2009,373785695913.000000,1427387070536.000000,,-762760139234.000000,-149213698281.000000,-130171663158.000000,-143498273474.000000,-19881577571.000000,,110052073956.000000,-1095473277762.000000,,,84128551653.000000,-50848669108.000000,8845674079.000000,-253653485.000000,373785695913.000000,-1167403135477.000000,,,,,,,2907498246.000000,-361323204297.000000,,,,,,,,,-58280000000.000000,,-425406731458.000000,,,-219532487194.000000,,,,-103778000000.000000,-1990210774.000000,-1167403135477.000000,420964081544.000000,49692380773.000000,-100492581555.000000,,,,,,,,,,,,-41315258674.000000,,513079541000.000000,,,,,420964081544.000000,,-372653358020.000000,-82426149565.000000,2464341405339.000000,,2009261897754.000000
12M 2010,609302275237.000000,1915761728652.000000,,-927472624873.000000,-174945271555.000000,-146940153833.000000,-162971472829.000000,-27595603339.000000,,111589790243.000000,-1328335336186.000000,-29575611046.000000,,45848669108.000000,-2213424042.000000,-484032277.000000,8300281028.000000,609302275237.000000,-542483756482.000000,,,,,,,2583851925.000000,-619374021110.000000,,,,,,,,,-50448080088.000000,,-103547890010.000000,,,-35137143352.000000,267486416799.000000,,,,-4046890646.000000,-542483756482.000000,164491296671.000000,179930520207.000000,-22799333981.000000,,,,20821862429.000000,,,,-13461751984.000000,,,,,,,,,,,164491296671.000000,,231309815426.000000,-4633567953.000000,2009261897754.000000,,2235938145227.000000
12M 2011,886887364440.000000,3058344353322.000000,,-1318365808764.000000,-222579372839.000000,-210547467246.000000,-281560118415.000000,-51894381365.000000,,106608057019.000000,-1978339091610.000000,-125464326321.000000,,2000000000.000000,,-4471001290.000000,-65182569661.000000,886887364440.000000,-1414901228184.000000,,,,,,,8297515230.000000,-1378691690125.000000,,,,,,,,,-7154727812.000000,,-35901302500.000000,-2207496019.000000,,,,,,,756473042.000000,-1414901228184.000000,400540379977.000000,545380311457.000000,-25600000000.000000,,,,100407542088.000000,-90884900874.000000,,,-36789039994.000000,,,,,,,,,-91973532700.000000,,400540379977.000000,,-127473483767.000000,664975731.000000,2235938145227.000000,,2109129637191.000000
12M 2012,1728003003225.000000,4857694294148.000000,,-2090841123032.000000,-291006723333.000000,-244675369192.000000,-436469807867.000000,-35314755520.000000,,101225264441.000000,-2997082514503.000000,-132336178191.000000,,13210415732.000000,,-13585760750.000000,102746789.000000,1728003003225.000000,-1752513644043.000000,,,,,3270152063.000000,,4794391066.000000,-1608807966136.000000,,,,,,,,,,,-113926990910.000000,-38197546738.000000,,,,,,,354316612.000000,-1752513644043.000000,612922851235.000000,1222925000000.000000,-594713763899.000000,,,,155847475035.000000,-105926356709.000000,,,-65209503192.000000,,,,,,,,,,,612922851235.000000,,588412210417.000000,10566758159.000000,2109129637191.000000,,2708108605767.000000
12M 2013,308069121746.000000,7015270620840.000000,,-4109901826402.000000,-395367122587.000000,-163570865983.000000,-1845564514196.000000,-117142571066.000000,,170619303579.000000,-6460927596655.000000,-282920184548.000000,,37000000000.000000,,-3643505546.000000,3289787655.000000,308069121746.000000,-1645594328790.000000,,,,,,,2996242115.000000,-1568384704023.000000,,,,,,,,,,,-19055852509.000000,-9557532533.000000,,,,,,,-51592481840.000000,-1645594328790.000000,2040934663488.000000,1330145764501.000000,-41279670534.000000,,,,1042584367660.000000,-181622276895.000000,,,-108893521244.000000,,,,,,,,,,,2040934663488.000000,,703409456444.000000,52299163040.000000,2708108605767.000000,,3463817225251.000000
12M 2014,1989104868881.000000,6103797328791.000000,,-2540479126485.000000,-462389137358.000000,-328843744036.000000,-551109120097.000000,-392250120235.000000,,230978292215.000000,-4044092955996.000000,-81105113360.000000,,10439285167.000000,,3136482851.000000,-3070158572.000000,1989104868881.000000,-3697803867049.000000,,,,,,,2037727457.000000,-635091731079.000000,-1478716876205.000000,-1063310681941.000000,-254758084284.000000,,,-136755602072.000000,,-131208618925.000000,,,,,,,,,,,,-3697803867049.000000,1131736513915.000000,1227551058072.000000,-450862212500.000000,,,490519940683.000000,296085229511.000000,-285337618250.000000,,,-146219883601.000000,,,,,,,,,,,1131736513915.000000,,-576962484253.000000,1488533926.000000,3463817225281.000000,,2888343274954.000000
12M 2015,1452270017886.000000,7219826461775.000000,,-3957444603284.000000,-520761399777.000000,-422962372845.000000,-676033290081.000000,-463805313247.000000,,219234292080.000000,-5821772687154.000000,50538335606.000000,,,,3597925048.000000,79982611.000000,1452270017886.000000,-2561856473873.000000,,,,,,,479417754.000000,-833882625963.000000,-709098314593.000000,-484754334220.000000,-77936326862.000000,,,-93674289988.000000,,-13740000001.000000,,,-109250000000.000000,,,,,,-240000000000.000000,,,-2561856473873.000000,1244183112107.000000,1530861374038.000000,-889805456377.000000,617175000000.000000,,,201463073912.000000,-158102048012.000000,,,-56837251259.000000,,,,,,,50247480000.000000,-47000000000.000000,-3819060195.000000,,1244183112107.000000,,134596656120.000000,10975700785.000000,2888571962757.000000,,3034144319662.000000
12M 2016,41055000000.000000,6844783000000.000000,,-4196485000000.000000,-650544000000.000000,-302742000000.000000,-971631000000.000000,-660842000000.000000,,217234000000.000000,-6565010000000.000000,-241318000000.000000,,,,1900000000.000000,700000000.000000,41055000000.000000,-1053199000000.000000,,,,,,,10616000000.000000,-210500000000.000000,-147559000000.000000,-414819000000.000000,-166273000000.000000,,,,,-124664000000.000000,,,,,,,,,,,,-1053199000000.000000,1453790000000.000000,3428788000000.000000,-2044384000000.000000,,,,112966000000.000000,-122530000000.000000,,,-40997000000.000000,,,152878000000.000000,,,,,-32931000000.000000,,,1453790000000.000000,,441646000000.000000,-8205000000.000000,3034144000000.000000,,3467585000000.000000
12M 2017,472142000000.000000,7024276000000.000000,,-4267278000000.000000,-599575000000.000000,-285992000000.000000,-623221000000.000000,-717402000000.000000,,177429000000.000000,-6316039000000.000000,-243022000000.000000,,,,-3369000000.000000,10296000000.000000,472142000000.000000,-1761064000000.000000,,,,,,240915000000.000000,11087000000.000000,-281065000000.000000,-1091278000000.000000,-464907000000.000000,-19543000000.000000,,,,,-156273000000.000000,,,,,,,,,,,,-1761064000000.000000,1050468000000.000000,4316245000000.000000,-4118917000000.000000,-604435000000.000000,1478850000000.000000,,355118000000.000000,-88045000000.000000,-200000000000.000000,-33348000000.000000,-8000000000.000000,,,,,,,,-47000000000.000000,,,1050468000000.000000,,-238454000000.000000,-582000000.000000,3467585000000.000000,,3228549000000.000000
